component,explained_variance_ratio,cumulative
1,0.4764816919873588,0.4764816919873588
2,0.19898954233094535,0.6754712343183041
3,0.1774105893118355,0.8528818236301396
4,0.06956161972292689,0.9224434433530665
5,0.043397554738829974,0.9658409980918965
6,0.020536602268832266,0.9863776003607287
7,0.006188760937649095,0.9925663612983778
8,0.002004837618112554,0.9945711989164904
9,0.0005292417262865096,0.9951004406427769
10,0.0003550186301426842,0.9954554592729196
