PCA_00_bio,PCA_01_bio,PCA_02_bio,PCA_03_bio,PCA_04_bio,snip_id,embryo_id,experiment_date,temperature,short_pert_name,predicted_stage_hpf,surface_area_um,source,timepoint
2.29297281245591,-0.16741443263014402,-0.8046818171082739,0.8065346201721213,0.07052520277459214,20240626_A07_e00_t0000,20240626_A07_e00,20240626,29.0,wt_ab,14.715441814844768,504171.6333400779,reference,14.0
2.480371840806093,-0.12041282450429144,-0.564379513159267,0.48487161923217315,0.045746853938918364,20240626_A07_e00_t0001,20240626_A07_e00,20240626,29.0,wt_ab,15.134757429360285,519213.2179811631,reference,15.0
2.625636746975426,-0.06404180197516508,-0.36501643331915173,0.15601165368280892,0.19857259021541845,20240626_A07_e00_t0002,20240626_A07_e00,20240626,29.0,wt_ab,15.538017349436442,537597.3769869339,reference,15.0
2.32907288771246,0.31950875583173927,-0.7385501920963565,-0.04625215096540354,0.4114274770761991,20240626_A07_e00_t0003,20240626_A07_e00,20240626,29.0,wt_ab,15.938890554412842,561273.9454034569,reference,15.0
2.4165167459002896,0.3751486010248163,-0.6183112940802085,-0.2635715774870895,0.2821528025193597,20240626_A07_e00_t0004,20240626_A07_e00,20240626,29.0,wt_ab,16.33971076428392,565034.3415637282,reference,16.0
2.3093670619977664,0.5265666706137343,-0.7301642420432598,-0.512018264648813,0.3656038750542328,20240626_A07_e00_t0005,20240626_A07_e00,20240626,29.0,wt_ab,16.74215992386034,569630.3813151709,reference,16.0
2.2640870561399056,0.7328926265872153,-0.6681381325950815,-0.6319734250712684,0.2560686695491642,20240626_A07_e00_t0006,20240626_A07_e00,20240626,29.0,wt_ab,17.143956375050863,571719.4902930993,reference,17.0
2.320746056566685,0.7979900908490654,-0.6690367609453859,-0.665649570924482,0.028478139996895534,20240626_A07_e00_t0007,20240626_A07_e00,20240626,29.0,wt_ab,17.547281184405858,586482.5270704607,reference,17.0
2.2839948689644305,0.7904005718128968,-0.5822584220824643,-0.6164379585679538,0.11105270602357385,20240626_A07_e00_t0008,20240626_A07_e00,20240626,29.0,wt_ab,17.950060184666953,601524.111711546,reference,17.0
2.2425228737373133,0.8124953858957341,-0.8413311170485569,-0.6355962299338183,0.1993649792148707,20240626_A07_e00_t0009,20240626_A07_e00,20240626,29.0,wt_ab,18.35214889105394,606259.4253948506,reference,18.0
2.058238649835536,1.0631551258112675,-0.8476729978750941,-0.8082563730646812,0.31562578156759574,20240626_A07_e00_t0010,20240626_A07_e00,20240626,29.0,wt_ab,18.753640035217288,619768.9967854548,reference,18.0
2.0150155493147417,1.0841578949274526,-0.8171789038292032,-0.7102544193099671,0.3931916937818708,20240626_A07_e00_t0011,20240626_A07_e00,20240626,29.0,wt_ab,19.156359191121417,633139.2942441972,reference,19.0
1.907037427437937,1.2861906633130955,-0.8437913829358893,-0.8375024454855641,0.5252324656195174,20240626_A07_e00_t0012,20240626_A07_e00,20240626,29.0,wt_ab,19.558816652338663,660994.0806165773,reference,19.0
1.623603735755442,1.4702296832504085,-0.6889312080910541,-0.94808845376449,0.7064886957444735,20240626_A07_e00_t0013,20240626_A07_e00,20240626,29.0,wt_ab,19.96018133340115,688570.3191252335,reference,19.0
1.6920074159720497,1.6864527362787252,-0.30415848386941646,-0.8590246851830711,0.36400670481590514,20240626_A07_e00_t0014,20240626_A07_e00,20240626,29.0,wt_ab,20.36479762996589,720046.2277260228,reference,20.0
1.4712242105427302,1.9076649076886878,-0.26087624500835405,-0.90566135290415,0.4474186712343693,20240626_A07_e00_t0015,20240626_A07_e00,20240626,29.0,wt_ab,20.76856312808058,716703.6533613373,reference,20.0
1.2574622803899311,2.1847288599532724,-0.048669006800328665,-0.8457066410755928,0.2663892351089947,20240626_A07_e00_t0016,20240626_A07_e00,20240626,29.0,wt_ab,21.170788562861123,721578.2409765037,reference,21.0
0.9632837830426385,2.2959226645879647,-0.02076412584100289,-0.6939229792417619,0.2509685524866303,20240626_A07_e00_t0017,20240626_A07_e00,20240626,29.0,wt_ab,21.57418799710422,733137.9773210414,reference,21.0
0.6633630206955583,2.519018648587288,0.07161252646274158,-0.4284741711221409,0.024395132958584035,20240626_A07_e00_t0018,20240626_A07_e00,20240626,29.0,wt_ab,21.976676963363644,743165.7004150982,reference,21.0
0.44251508263297645,2.476087672283604,0.01980549551165024,-0.4028726646361212,0.4190730617033647,20240626_A07_e00_t0019,20240626_A07_e00,20240626,29.0,wt_ab,22.379738311864216,743444.248278822,reference,22.0
0.27347113309459764,2.293340107130234,0.24249480484370198,-0.4222509974065342,0.48992477361926695,20240626_A07_e00_t0020,20240626_A07_e00,20240626,29.0,wt_ab,22.780681580959744,748597.3837577123,reference,22.0
-0.02579109678509521,2.367628809457996,0.047388254835843184,-0.10323958977943563,0.2432539293239078,20240626_A07_e00_t0021,20240626_A07_e00,20240626,29.0,wt_ab,23.18281519657728,756814.5457375644,reference,23.0
-0.06989032744693725,2.2116997433102825,0.34731239430172617,-0.09163424599864776,0.32311844319679056,20240626_A07_e00_t0022,20240626_A07_e00,20240626,29.0,wt_ab,23.585475163833618,766145.8991723118,reference,23.0
-0.4058679820525755,2.3966023864782935,0.1401689074087329,0.030154504896567656,-0.021370519471890396,20240626_A07_e00_t0023,20240626_A07_e00,20240626,29.0,wt_ab,23.98962728434924,773248.8696972686,reference,23.0
-0.7265787948649212,2.2975305846497536,-0.06254766440556754,0.07857047098245114,0.11587442905946115,20240626_A07_e00_t0024,20240626_A07_e00,20240626,29.0,wt_ab,24.39214072302585,794697.0552040013,reference,24.0
-0.8905812800718216,2.3083281941153575,-0.34389027375860803,0.1655653847503255,0.23365719041178876,20240626_A07_e00_t0025,20240626_A07_e00,20240626,29.0,wt_ab,24.79456662678867,819487.8150754194,reference,24.0
-0.8692314702924897,2.3485978202383437,-0.3352091951379865,0.1377815907802801,-0.01690411105614922,20240626_A07_e00_t0026,20240626_A07_e00,20240626,29.0,wt_ab,25.197077118910048,834250.8518527808,reference,25.0
-0.9781145075660022,2.137052944713957,-0.16416784815184957,0.24505567378363824,0.04608119256560239,20240626_A07_e00_t0027,20240626_A07_e00,20240626,29.0,wt_ab,25.598512803966948,858205.9681330275,reference,25.0
-1.2550334010537259,1.9912800854298158,0.04617697870864084,0.3598596091918728,0.02462198218491908,20240626_A07_e00_t0028,20240626_A07_e00,20240626,29.0,wt_ab,26.001230399390327,875336.6617520413,reference,26.0
-1.4168599519698188,1.9116528306229306,-0.06574956911370865,0.536497072386938,-0.06918931635952243,20240626_A07_e00_t0029,20240626_A07_e00,20240626,29.0,wt_ab,26.40375649597168,890656.7942568503,reference,26.0
-1.450564257695457,1.8333849706780447,-0.05433433910486977,0.5598263914338341,-0.15169101233262366,20240626_A07_e00_t0030,20240626_A07_e00,20240626,29.0,wt_ab,26.8084273521542,906534.0224891067,reference,26.0
-1.5535340004913376,1.7587220703519009,-0.09239880996492184,0.573765509027308,-0.2180272878114543,20240626_A07_e00_t0031,20240626_A07_e00,20240626,29.0,wt_ab,27.21183636073812,915308.2801964064,reference,27.0
-1.6289596944545925,1.6179997626545435,0.005691745086916917,0.5702485792419847,-0.25108709367166726,20240626_A07_e00_t0032,20240626_A07_e00,20240626,29.0,wt_ab,27.61494714809672,905976.9267616592,reference,27.0
-1.866797049073917,1.4898247903779385,-0.05934421820597301,0.6221243324324313,-0.2745730961900892,20240626_A07_e00_t0033,20240626_A07_e00,20240626,29.0,wt_ab,28.018979937191432,925614.5511541872,reference,28.0
-1.839351807938206,1.3350682855169624,-0.20306357593184296,0.6235561963508608,-0.37080558106450046,20240626_A07_e00_t0034,20240626_A07_e00,20240626,29.0,wt_ab,28.42187318933445,924082.5379037064,reference,28.0
-1.7398271429154513,1.1245530768056287,-0.045288392785053436,0.6650708995082953,-0.4011132057367109,20240626_A07_e00_t0035,20240626_A07_e00,20240626,29.0,wt_ab,28.82499554103088,919625.7720841254,reference,28.0
-1.8840967294534339,0.9957398510526422,-0.15896163967273685,0.7304677448204117,-0.26860179765095094,20240626_A07_e00_t0036,20240626_A07_e00,20240626,29.0,wt_ab,29.22742161641948,931742.6041561108,reference,29.0
-1.8479380281457836,0.998894944711063,-0.15869048581283435,0.7648567304514635,-0.3651226839405231,20240626_A07_e00_t0037,20240626_A07_e00,20240626,29.0,wt_ab,29.63055504976061,930767.6866330776,reference,29.0
-1.9862861062375878,0.9870586702941155,-0.39863843758553064,0.7612433134095629,-0.44474256077976737,20240626_A07_e00_t0038,20240626_A07_e00,20240626,29.0,wt_ab,30.03173120453389,934249.534929625,reference,30.0
-1.8399638204269688,0.7795452765015382,-0.12176888749255287,0.7473364774918135,-0.3670178217805742,20240626_A07_e00_t0039,20240626_A07_e00,20240626,29.0,wt_ab,30.43601687284003,920600.6896071588,reference,30.0
-1.8165647928172928,0.8345765625717362,-0.18669778923890273,0.7099008371626566,-0.3475079442295229,20240626_A07_e00_t0040,20240626_A07_e00,20240626,29.0,wt_ab,30.83964943959893,923525.4421762588,reference,30.0
-1.745595219405445,0.6376603257762623,-0.2021302753596041,0.6630253128439014,-0.2298682339637025,20240626_A07_e00_t0041,20240626_A07_e00,20240626,29.0,wt_ab,31.24337699792141,930210.59090563,reference,31.0
-1.6325768915415952,0.4381186176114669,-0.12545938834374779,0.6804464590764122,-0.1995495061997237,20240626_A07_e00_t0042,20240626_A07_e00,20240626,29.0,wt_ab,31.64650810281033,924500.359699292,reference,31.0
-1.5369342863760511,0.3779964648250531,0.01634683427467024,0.6109741379999087,-0.16884729333973642,20240626_A07_e00_t0043,20240626_A07_e00,20240626,29.0,wt_ab,32.04978648763699,914333.3626733732,reference,32.0
-1.4598632088424839,0.19313737760366223,-0.06984495141841142,0.5724526633405563,-0.11246301432669928,20240626_A07_e00_t0044,20240626_A07_e00,20240626,29.0,wt_ab,32.45230575262281,908901.6793307592,reference,32.0
