draw,n_wells,axis_1,axis_2,axis_3
0,12,0.7253558295053971,0.13257945816424832,0.10298794619263715
1,12,0.47101365008039653,0.31520795273565766,0.1531153205372383
2,12,0.7863659467081136,0.12936774298692236,0.05656268409033463
3,12,0.6189104800743491,0.23385644166814304,0.10295288794913444
4,12,0.39585377907200486,0.313892571389034,0.1300471376343807
5,12,0.5506610873481318,0.19269962440900676,0.13526521029019065
6,12,0.594421868955894,0.23800631188577318,0.08154858323004632
7,12,0.8053271609878216,0.10961770459638967,0.05875928615126235
8,12,0.36113071216789605,0.29239353578571503,0.16684102636458303
9,12,0.6050866715508898,0.15853340727859558,0.11862494148048347
10,12,0.8122414172981707,0.12902880357215166,0.031735643820026097
11,12,0.8195023258649764,0.10938136784565344,0.04414348684293667
12,12,0.5189740568397802,0.2049942061768598,0.12347373560719252
13,12,0.9063587436328613,0.0571885849966651,0.01568346459315303
14,12,0.3978952276703741,0.27925389465507844,0.13747658301704385
15,12,0.5534640615425911,0.20123824675588758,0.12599426058400312
16,12,0.5211387793792461,0.3062917693780265,0.07585968096866513
17,12,0.7747095604197596,0.09498112056223419,0.08394380952163824
18,12,0.6740190697267069,0.22582061184754698,0.05204965772254446
19,12,0.7015410309861582,0.1639398587953113,0.07203563341175438
20,12,0.5294379936718012,0.3099833294623775,0.09282347093484465
21,12,0.7342095139060071,0.15210631811640696,0.05420761424949888
22,12,0.6539511112501473,0.1993458853390802,0.0980008096176337
23,12,0.5582819858069922,0.3021781739965365,0.05915896668394159
24,12,0.8562726744119417,0.0619049701396004,0.05679061018446385
25,12,0.5885058119247774,0.2433797078518629,0.09836020548148773
26,12,0.7801420348733499,0.12786229394078966,0.05965316935084721
27,12,0.6367896167942756,0.16202784077147173,0.11793025999901072
28,12,0.9021264410505208,0.05925134888511826,0.026694914173567844
29,12,0.8532324787165686,0.06432161313497677,0.051312716018425956
30,12,0.6962283178758399,0.15870640780724904,0.07591964009799304
31,12,0.6051006691857346,0.20056209437290567,0.1024636892780587
32,12,0.9064349480436051,0.046085673401333314,0.027692451010424883
33,12,0.5588624176240737,0.20228633982130592,0.11789586814001336
34,12,0.5435957111154873,0.23700162581023204,0.1196009550017893
35,12,0.7905403623539194,0.15038742244621947,0.03288859065309432
36,12,0.8497392445354953,0.0781081691402584,0.033120060993161914
37,12,0.8023001731385743,0.09240519189279502,0.058070257481650824
38,12,0.819203988305666,0.10582712537500424,0.04798007968042832
39,12,0.8379950834581797,0.08159023670008546,0.05294372483628896
40,12,0.42671905488622114,0.24589126870263978,0.1814951870208481
41,12,0.4888404098656749,0.23851284922207297,0.12959309102046726
42,12,0.6727918394288469,0.15969414523247039,0.10402777759172491
43,12,0.8182086384708391,0.08016844571459023,0.042158514988044
44,12,0.36406896668507926,0.27256554293054885,0.18159593634399743
45,12,0.5916618708380578,0.23082253633420222,0.12698897197285974
46,12,0.6077516640212529,0.25511109812917254,0.07552851346185964
47,12,0.66664410188805,0.14910682586547705,0.12039869018752868
48,12,0.4760081685197371,0.30270413596987655,0.10475293991248832
49,12,0.5580169880605959,0.24047915552526156,0.10348549295179893
50,12,0.5392518223957646,0.32505998296928695,0.08625636632520038
51,12,0.6432085106120571,0.23687128434410717,0.0630382541008086
52,12,0.6238602281918637,0.13668267007322657,0.12009347376524719
53,12,0.5174825796885453,0.3215735421538357,0.09668286836878418
54,12,0.704775064141046,0.1268112055125584,0.08095386909716813
55,12,0.46858154903113086,0.220936443881966,0.17334832415750046
56,12,0.5973367347610739,0.21267669180590415,0.08855579040705315
57,12,0.8517417244762712,0.08302711508583734,0.05095547631870192
58,12,0.5209736166101686,0.3054682113877047,0.11601826612261185
59,12,0.557743248184718,0.22947805749990682,0.10156305608556468
60,12,0.535473895047402,0.2348551057132247,0.11155718636647322
61,12,0.5297005056664321,0.22478977130083155,0.13432566142652386
62,12,0.42013036832272527,0.22301282525866048,0.1555472302860688
63,12,0.5090004582417953,0.3050205798299847,0.11100983913484411
