PCA_00_bio,PCA_01_bio,PCA_02_bio,PCA_03_bio,PCA_04_bio,PCA_00_bio_se,PCA_01_bio_se,PCA_02_bio_se,PCA_03_bio_se,PCA_04_bio_se
1.8054582871147977,-0.8761994108307475,-0.7940160612858844,2.35964191106448,0.10212365880509232,0.14165168385793975,0.26023828063947074,0.2277134617243823,0.5415365032250168,0.1702743989006179
1.804970555288341,-0.8747668470914886,-0.7955211100401793,2.35777337466119,0.10268802136874859,0.14112087076602295,0.2596706334974737,0.22620980327516815,0.5412262787013937,0.1685456136075711
1.8045794076492974,-0.8732743736260404,-0.7970673004090402,2.3558454642634716,0.10309625739174644,0.14069683798711513,0.25893365524058926,0.22444601916677445,0.5408623071230626,0.16657918618370957
1.8045580435800153,-0.8720327306809681,-0.7979265103645125,2.353788157280471,0.10325035090291994,0.14061938023207562,0.2584393270600742,0.22329765552429018,0.5404471038374556,0.1652366327471252
1.8042715783130396,-0.8704443174233112,-0.7991245056909224,2.351428758291078,0.10357441977257847,0.14066623532254396,0.2577987105242394,0.22222262762187603,0.5398875328040966,0.16408670231054553
1.8040153698877888,-0.8688253035177828,-0.8002211754639531,2.3493439198730015,0.10354449760878674,0.1405707620038983,0.25690937014821824,0.2200771349774666,0.5392368896217303,0.1620044912971382
1.8033212548499526,-0.8670977473406124,-0.8020073011967728,2.347200823714004,0.1041613706121137,0.14064982127951234,0.256274655473414,0.2189284147941581,0.5386062593536053,0.1605966696327759
1.802783677650325,-0.8654814081965049,-0.8036126579707985,2.3451217811228524,0.10459337427806904,0.1405173759808569,0.2559274079287295,0.21789479422037591,0.5380609084694177,0.15912781924178301
1.8022442959822862,-0.8639013132462504,-0.8051743165356089,2.3430977160486104,0.10499326405571165,0.14038627256258465,0.25554132802467294,0.21652344341248753,0.5375419550643376,0.15752708727140707
1.8018925311307765,-0.8626646217936478,-0.80611342183159,2.3417507349361495,0.10528947366314778,0.13982822680329202,0.2549163417727531,0.2142406047784233,0.5368450566500144,0.15462613258648147
1.800681936470468,-0.860609024967557,-0.8089233619468712,2.339045647530228,0.10687075777450034,0.14007582453045642,0.25452291580008424,0.21388808982907545,0.5361743597963139,0.1538448908404591
1.8000678411819084,-0.8590978705667761,-0.8104270869725767,2.337372794443953,0.10761617324663712,0.13956618650259697,0.2538018480969474,0.2115060165333421,0.5352967499245102,0.15067016681050188
1.799123808394649,-0.8571755892111274,-0.8127044022109046,2.334988227993931,0.10881583957917355,0.1394618142004964,0.25317698647811904,0.20980819679117008,0.5344255139651647,0.14845256280784327
1.7979807466916904,-0.8551024936280514,-0.815316348630794,2.3323760079038314,0.11026113335488033,0.13959518684302508,0.252557859029823,0.20831454874568986,0.5335447710637308,0.14664777684914665
1.7972326621629109,-0.8534877840639574,-0.8169408092721245,2.3306307050299235,0.11110654372032164,0.1393177318565446,0.2516786598720854,0.2054057071073408,0.532531646544277,0.14325210422602433
1.7966358142462264,-0.8519177372756174,-0.818313060871557,2.3289662201875414,0.11169629318224718,0.13911394078957065,0.2507197033201701,0.20219451665543856,0.5314461769266827,0.13955802101824455
1.7957944347243007,-0.850007093172426,-0.8204147257268969,2.3264969332401098,0.1127943767085519,0.13895324486097255,0.25031040536135435,0.20046403886518002,0.5306302138264077,0.13727837988316907
1.7948281687931371,-0.8479173376615566,-0.8229408190952797,2.323539133497237,0.11412733311512596,0.1390533372228644,0.2500264868168919,0.19944433047041132,0.5298567147546822,0.13593668717556184
