cohort,target,temperature,timepoint,axis,global_component,loading
Control | 24C | 36hpf,Control,24,36,axis_2,G04,0.07301961832388262
Control | 24C | 36hpf,Control,24,36,axis_2,G05,-0.8065172510750684
Control | 24C | 36hpf,Control,24,36,axis_2,G06,-0.005661080881416777
Control | 24C | 36hpf,Control,24,36,axis_2,G07,0.053700548452864705
Control | 24C | 36hpf,Control,24,36,axis_2,G08,0.023370375594655914
Control | 24C | 36hpf,Control,24,36,axis_2,G09,-0.01688415227698097
Control | 24C | 36hpf,Control,24,36,axis_3,G00,0.03734328652934163
Control | 24C | 36hpf,Control,24,36,axis_3,G01,0.11507068195033188
Control | 24C | 36hpf,Control,24,36,axis_3,G02,0.09762911724366724
Control | 24C | 36hpf,Control,24,36,axis_3,G03,0.8758593141152968
Control | 24C | 36hpf,Control,24,36,axis_3,G04,-0.22996236577183227
Control | 24C | 36hpf,Control,24,36,axis_3,G05,0.17297397727990058
Control | 24C | 36hpf,Control,24,36,axis_3,G06,0.34017757728291653
Control | 24C | 36hpf,Control,24,36,axis_3,G07,-0.09898072767350259
Control | 24C | 36hpf,Control,24,36,axis_3,G08,-0.017620209878984543
Control | 24C | 36hpf,Control,24,36,axis_3,G09,0.0084916211610956
Control | 28C | 24hpf,Control,28,24,axis_1,G00,0.7914511602232981
Control | 28C | 24hpf,Control,28,24,axis_1,G01,0.39799293794279167
Control | 28C | 24hpf,Control,28,24,axis_1,G02,-0.4026638020182318
Control | 28C | 24hpf,Control,28,24,axis_1,G03,-0.13300475848357599
Control | 28C | 24hpf,Control,28,24,axis_1,G04,-0.06386790747531003
Control | 28C | 24hpf,Control,28,24,axis_1,G05,0.16674024830583073
Control | 28C | 24hpf,Control,28,24,axis_1,G06,-0.03350896110532954
Control | 28C | 24hpf,Control,28,24,axis_1,G07,0.030036815354273678
Control | 28C | 24hpf,Control,28,24,axis_1,G08,0.03379561931843533
Control | 28C | 24hpf,Control,28,24,axis_1,G09,-0.0181563886095787
Control | 28C | 24hpf,Control,28,24,axis_2,G00,-0.35908202931684086
Control | 28C | 24hpf,Control,28,24,axis_2,G01,0.5664550833603454
Control | 28C | 24hpf,Control,28,24,axis_2,G02,-0.29628014910214845
Control | 28C | 24hpf,Control,28,24,axis_2,G03,0.2588199478623142
Control | 28C | 24hpf,Control,28,24,axis_2,G04,0.5963531009120208
Control | 28C | 24hpf,Control,28,24,axis_2,G05,0.018114874112630353
Control | 28C | 24hpf,Control,28,24,axis_2,G06,-0.19163070283457065
Control | 28C | 24hpf,Control,28,24,axis_2,G07,0.037706343869207515
Control | 28C | 24hpf,Control,28,24,axis_2,G08,0.032578085755412
Control | 28C | 24hpf,Control,28,24,axis_2,G09,-0.015762190635851124
Control | 28C | 24hpf,Control,28,24,axis_3,G00,0.2749947526407312
Control | 28C | 24hpf,Control,28,24,axis_3,G01,0.393593897161543
Control | 28C | 24hpf,Control,28,24,axis_3,G02,0.5998859562127739
Control | 28C | 24hpf,Control,28,24,axis_3,G03,0.3920423135576641
Control | 28C | 24hpf,Control,28,24,axis_3,G04,-0.058705365678027914
Control | 28C | 24hpf,Control,28,24,axis_3,G05,-0.4988521828119534
Control | 28C | 24hpf,Control,28,24,axis_3,G06,0.019648956352149343
Control | 28C | 24hpf,Control,28,24,axis_3,G07,0.03742589016265172
Control | 28C | 24hpf,Control,28,24,axis_3,G08,-0.03829545193340764
Control | 28C | 24hpf,Control,28,24,axis_3,G09,0.018661549283765826
Control | 28C | 30hpf,Control,28,30,axis_1,G00,0.7058939440736228
Control | 28C | 30hpf,Control,28,30,axis_1,G01,0.08872531232009706
Control | 28C | 30hpf,Control,28,30,axis_1,G02,0.6916711619639642
Control | 28C | 30hpf,Control,28,30,axis_1,G03,0.027798379980419827
Control | 28C | 30hpf,Control,28,30,axis_1,G04,-0.09596632662630382
Control | 28C | 30hpf,Control,28,30,axis_1,G05,0.05350043629479832
Control | 28C | 30hpf,Control,28,30,axis_1,G06,-0.039307451443400004
Control | 28C | 30hpf,Control,28,30,axis_1,G07,0.02885334818599971
Control | 28C | 30hpf,Control,28,30,axis_1,G08,0.013884053290037258
Control | 28C | 30hpf,Control,28,30,axis_1,G09,0.0041978024740558185
Control | 28C | 30hpf,Control,28,30,axis_2,G00,0.0012896248135653762
Control | 28C | 30hpf,Control,28,30,axis_2,G01,0.7686255439336133
Control | 28C | 30hpf,Control,28,30,axis_2,G02,-0.1605491516815325
Control | 28C | 30hpf,Control,28,30,axis_2,G03,-0.17597638126388812
Control | 28C | 30hpf,Control,28,30,axis_2,G04,-0.15563077812880763
Control | 28C | 30hpf,Control,28,30,axis_2,G05,0.5637650833141543
Control | 28C | 30hpf,Control,28,30,axis_2,G06,-0.06969743865232558
Control | 28C | 30hpf,Control,28,30,axis_2,G07,-0.058186113012455215
Control | 28C | 30hpf,Control,28,30,axis_2,G08,0.04350620528849193
Control | 28C | 30hpf,Control,28,30,axis_2,G09,0.016770162378917774
Control | 28C | 30hpf,Control,28,30,axis_3,G00,-0.46016755719738933
Control | 28C | 30hpf,Control,28,30,axis_3,G01,0.32376022507797675
Control | 28C | 30hpf,Control,28,30,axis_3,G02,0.4775513179891564
Control | 28C | 30hpf,Control,28,30,axis_3,G03,-0.38765260939666074
Control | 28C | 30hpf,Control,28,30,axis_3,G04,-0.14845664266758696
Control | 28C | 30hpf,Control,28,30,axis_3,G05,-0.4588150214675186
Control | 28C | 30hpf,Control,28,30,axis_3,G06,0.167085320528998
Control | 28C | 30hpf,Control,28,30,axis_3,G07,-0.18740123197779307
Control | 28C | 30hpf,Control,28,30,axis_3,G08,-0.09246251969379557
Control | 28C | 30hpf,Control,28,30,axis_3,G09,0.030962667321421524
Control | 28C | 36hpf,Control,28,36,axis_1,G00,0.6539988601685329
Control | 28C | 36hpf,Control,28,36,axis_1,G01,0.17255560655199387
Control | 28C | 36hpf,Control,28,36,axis_1,G02,0.6719727483189117
Control | 28C | 36hpf,Control,28,36,axis_1,G03,0.14174536462282636
Control | 28C | 36hpf,Control,28,36,axis_1,G04,-0.2176936802607979
Control | 28C | 36hpf,Control,28,36,axis_1,G05,0.11848478053386031
Control | 28C | 36hpf,Control,28,36,axis_1,G06,-0.07219092480519797
Control | 28C | 36hpf,Control,28,36,axis_1,G07,0.03744707272651232
Control | 28C | 36hpf,Control,28,36,axis_1,G08,0.037966963054806104
Control | 28C | 36hpf,Control,28,36,axis_1,G09,-0.03723500856904102
Control | 28C | 36hpf,Control,28,36,axis_2,G00,-0.0028353886007243304
