cohort,target,temperature,timepoint,n_wells,axis,shared_dim,loading,variance_ratio
Control | 34C | 24hpf,Control,34,24,12,cohort_PC1,G01,0.980702762575498,0.5222816767058531
Control | 34C | 24hpf,Control,34,24,12,cohort_PC1,G02,0.07186691350528313,0.5222816767058531
Control | 34C | 24hpf,Control,34,24,12,cohort_PC1,G03,-0.04529390105228992,0.5222816767058531
Control | 34C | 24hpf,Control,34,24,12,cohort_PC1,G04,-0.058356090121863824,0.5222816767058531
Control | 34C | 24hpf,Control,34,24,12,cohort_PC2,G00,0.31862278901657887,0.2127871286541891
Control | 34C | 24hpf,Control,34,24,12,cohort_PC2,G01,0.113812104593674,0.2127871286541891
Control | 34C | 24hpf,Control,34,24,12,cohort_PC2,G02,-0.40649343159996926,0.2127871286541891
Control | 34C | 24hpf,Control,34,24,12,cohort_PC2,G03,0.8363627301662125,0.2127871286541891
Control | 34C | 24hpf,Control,34,24,12,cohort_PC2,G04,-0.14417626996928176,0.2127871286541891
Control | 34C | 30hpf,Control,34,30,12,cohort_PC1,G00,0.5899835937663972,0.6883111192273703
Control | 34C | 30hpf,Control,34,30,12,cohort_PC1,G01,-0.1277598841739559,0.6883111192273703
Control | 34C | 30hpf,Control,34,30,12,cohort_PC1,G02,0.662931149156917,0.6883111192273703
Control | 34C | 30hpf,Control,34,30,12,cohort_PC1,G03,0.37425585694815394,0.6883111192273703
Control | 34C | 30hpf,Control,34,30,12,cohort_PC1,G04,-0.2367522251211944,0.6883111192273703
Control | 34C | 30hpf,Control,34,30,12,cohort_PC2,G00,0.19998371593189623,0.2444139667046545
Control | 34C | 30hpf,Control,34,30,12,cohort_PC2,G01,0.8725580533025257,0.2444139667046545
Control | 34C | 30hpf,Control,34,30,12,cohort_PC2,G02,-0.22490687935243736,0.2444139667046545
Control | 34C | 30hpf,Control,34,30,12,cohort_PC2,G03,0.15945879808346364,0.2444139667046545
Control | 34C | 30hpf,Control,34,30,12,cohort_PC2,G04,-0.35019815007035915,0.2444139667046545
Control | 34C | 36hpf,Control,34,36,12,cohort_PC1,G00,0.5743397034734264,0.6126497873631153
Control | 34C | 36hpf,Control,34,36,12,cohort_PC1,G01,0.5533423209197801,0.6126497873631153
Control | 34C | 36hpf,Control,34,36,12,cohort_PC1,G02,0.3152685408054027,0.6126497873631153
Control | 34C | 36hpf,Control,34,36,12,cohort_PC1,G03,0.1144218561435322,0.6126497873631153
Control | 34C | 36hpf,Control,34,36,12,cohort_PC1,G04,-0.5014574427688439,0.6126497873631153
Control | 34C | 36hpf,Control,34,36,12,cohort_PC2,G00,-0.03580852274214192,0.32391896111082447
Control | 34C | 36hpf,Control,34,36,12,cohort_PC2,G01,-0.560683921097096,0.32391896111082447
Control | 34C | 36hpf,Control,34,36,12,cohort_PC2,G02,0.6956408618134424,0.32391896111082447
Control | 34C | 36hpf,Control,34,36,12,cohort_PC2,G03,0.4301236956723369,0.32391896111082447
Control | 34C | 36hpf,Control,34,36,12,cohort_PC2,G04,-0.12421227040366087,0.32391896111082447
Control | 35C | 24hpf,Control,35,24,12,cohort_PC1,G00,0.8757908925226319,0.805429586551209
Control | 35C | 24hpf,Control,35,24,12,cohort_PC1,G01,-0.0751493281645137,0.805429586551209
Control | 35C | 24hpf,Control,35,24,12,cohort_PC1,G02,0.17523800700281558,0.805429586551209
Control | 35C | 24hpf,Control,35,24,12,cohort_PC1,G03,-0.348040159853316,0.805429586551209
Control | 35C | 24hpf,Control,35,24,12,cohort_PC1,G04,-0.27477732636044294,0.805429586551209
Control | 35C | 24hpf,Control,35,24,12,cohort_PC2,G00,-0.14701736903831797,0.12735739541453991
Control | 35C | 24hpf,Control,35,24,12,cohort_PC2,G01,0.5533332764479031,0.12735739541453991
Control | 35C | 24hpf,Control,35,24,12,cohort_PC2,G02,0.7476245229858112,0.12735739541453991
Control | 35C | 24hpf,Control,35,24,12,cohort_PC2,G03,0.13156615576663677,0.12735739541453991
Control | 35C | 24hpf,Control,35,24,12,cohort_PC2,G04,-0.3097678125039883,0.12735739541453991
Control | 35C | 30hpf,Control,35,30,10,cohort_PC1,G00,0.726583897708592,0.8048140128143113
Control | 35C | 30hpf,Control,35,30,10,cohort_PC1,G01,-0.3113444198831965,0.8048140128143113
Control | 35C | 30hpf,Control,35,30,10,cohort_PC1,G02,0.48535782337931005,0.8048140128143113
Control | 35C | 30hpf,Control,35,30,10,cohort_PC1,G03,-0.33317369963405574,0.8048140128143113
Control | 35C | 30hpf,Control,35,30,10,cohort_PC1,G04,-0.16900757661963015,0.8048140128143113
Control | 35C | 30hpf,Control,35,30,10,cohort_PC2,G00,-0.18834540516146217,0.11352044164483492
Control | 35C | 30hpf,Control,35,30,10,cohort_PC2,G01,0.3301187362489163,0.11352044164483492
Control | 35C | 30hpf,Control,35,30,10,cohort_PC2,G02,0.40520800933482576,0.11352044164483492
Control | 35C | 30hpf,Control,35,30,10,cohort_PC2,G03,-0.4750867263180052,0.11352044164483492
Control | 35C | 30hpf,Control,35,30,10,cohort_PC2,G04,0.6823831035271403,0.11352044164483492
Control | 35C | 36hpf,Control,35,36,12,cohort_PC1,G00,0.643472086233016,0.5963120707535341
Control | 35C | 36hpf,Control,35,36,12,cohort_PC1,G01,-0.32933521398116183,0.5963120707535341
Control | 35C | 36hpf,Control,35,36,12,cohort_PC1,G02,0.5908185904053597,0.5963120707535341
Control | 35C | 36hpf,Control,35,36,12,cohort_PC1,G03,-0.2967864441629015,0.5963120707535341
Control | 35C | 36hpf,Control,35,36,12,cohort_PC1,G04,-0.20083124971845542,0.5963120707535341
Control | 35C | 36hpf,Control,35,36,12,cohort_PC2,G00,0.10967811208244796,0.18199785717726982
Control | 35C | 36hpf,Control,35,36,12,cohort_PC2,G01,0.6696636025480199,0.18199785717726982
Control | 35C | 36hpf,Control,35,36,12,cohort_PC2,G02,0.4111519010884662,0.18199785717726982
Control | 35C | 36hpf,Control,35,36,12,cohort_PC2,G03,0.5234083560629792,0.18199785717726982
Control | 35C | 36hpf,Control,35,36,12,cohort_PC2,G04,-0.31067535819119607,0.18199785717726982
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC1,G00,0.766862521020724,0.517075722239361
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC1,G01,0.12233703483827363,0.517075722239361
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC1,G02,0.40274360721869257,0.517075722239361
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC1,G03,-0.43845838922151664,0.517075722239361
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC1,G04,-0.20617311058056909,0.517075722239361
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC2,G00,-0.12274989977454706,0.24259780322106683
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC2,G01,0.1676345498071679,0.24259780322106683
atf6 | 24C | 24hpf,atf6,24,24,10,cohort_PC2,G02,0.031196553407488142,0.24259780322106683
