component,explained_variance_ratio,cumulative
1,0.39624734682736157,0.39624734682736157
2,0.29075328832199926,0.6870006351493608
3,0.16388094654818197,0.8508815816975428
4,0.09370247567074735,0.9445840573682902
5,0.036624455682555644,0.9812085130508459
