PCA_00_bio,PCA_01_bio,PCA_02_bio,PCA_03_bio,PCA_04_bio,snip_id,embryo_id,experiment_date,temperature,short_pert_name,predicted_stage_hpf,surface_area_um,source,timepoint
1.6810275831183863,-0.41347006198530145,-1.2134459236149424,1.61608350580336,0.5563580234258713,20240813_24hpf_A02_e00_t0000,20240813_24hpf_A02_e00,20240813_24hpf,19.0,wt_ab,24.0,515163.2540944043,20240813,24.0
2.280940902515445,0.14112607462564272,-0.8394370881507893,0.47933277747871395,-0.38969388858736864,20240813_24hpf_A03_e00_t0000,20240813_24hpf_A03_e00,20240813_24hpf,25.0,wt_ab,24.002791276041663,588179.4295961044,20240813,24.0
-1.1854605067406585,1.9904649166160993,-0.29259671752375055,-0.2943700395628778,0.5314768894778716,20240813_24hpf_A04_e00_t0000,20240813_24hpf_A04_e00,20240813_24hpf,28.5,wt_ab,24.005593077256943,721598.8437854234,20240813,24.0
-1.6802298488859468,1.3988286826613392,0.03856368784057244,0.28908312454689794,0.10276065385443185,20240813_24hpf_A05_e00_t0000,20240813_24hpf_A05_e00,20240813_24hpf,32.0,wt_ab,24.00835043402778,885567.0223684807,20240813,24.0
-1.1571350533330107,2.2806970494954966,-0.421000227063876,-0.3504560130974221,0.23372522383547695,20240813_24hpf_A06_e00_t0000,20240813_24hpf_A06_e00,20240813_24hpf,33.5,wt_ab,24.011121983506943,795309.3093869813,20240813,24.0
-0.2427914923027357,2.3179567918969504,-0.14902482752849336,0.11002687709789308,-0.3352741375997644,20240813_24hpf_A07_e00_t0000,20240813_24hpf_A07_e00,20240813_24hpf,35.0,wt_ab,24.013879296875,930001.5887593728,20240813,24.0
1.7302389258396518,-0.4583348284258806,-1.2185058793279284,1.8180506333933217,0.08230646978313325,20240813_24hpf_B02_e00_t0000,20240813_24hpf_B02_e00,20240813_24hpf,19.0,wt_ab,24.030819835069444,514121.81894461776,20240813,24.0
1.7002030721291923,0.5155720201986196,-1.5491322544920474,-0.1504673752969422,0.2492500701117521,20240813_24hpf_B03_e00_t0000,20240813_24hpf_B03_e00,20240813_24hpf,25.0,wt_ab,24.028039366319444,579616.5183645263,20240813,24.0
-0.5633400125337051,2.0457949634864154,-0.09414862172504904,-0.80779969581201,0.5804558258603284,20240813_24hpf_B04_e00_t0000,20240813_24hpf_B04_e00,20240813_24hpf,28.5,wt_ab,24.02521265190972,785704.9630056167,20240813,24.0
-1.7127034786360515,1.298653524905337,0.4001425772012163,0.15084632523435657,0.2851097027123165,20240813_24hpf_B05_e00_t0000,20240813_24hpf_B05_e00,20240813_24hpf,32.0,wt_ab,24.02235399305556,863349.7391730347,20240813,24.0
