snip_id,total_area,shape,hole_area,hole_fraction,n_components,largest_component_fraction,component_sizes,skeleton_length,branch_points,endpoints,skeleton_success,eccentricity,solidity,extent,mask_original
20251017_part2_B05_e01_t0037_after,141412,"(2189, 1152)",0,0.0,2,0.756753316550222,"[34398, 107014]",853,0,4,True,0.9339321888628734,0.9381699168144007,0.5883721328019431,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
20251017_part2_G07_e01_t0013_after,104021,"(2189, 1152)",0,0.0,1,1.0,[104021],757,0,2,True,0.9694777670487273,0.6355183010648892,0.2785868854917673,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]"
