scope,experiment_id,timepoint_count,passing_timepoint_count,timepoint_pass_rate,well_count,wells_with_any_pass,zero_pass_well_count,well_any_pass_rate,physical_embryo_id_count,embryos_with_any_pass,zero_pass_embryo_count,embryo_any_pass_rate,verdict_mismatch_count
YX1,20260208,31680,6374,0.20119949494949496,90,90,0,1.0,102,93,9,0.9117647058823529,0
YX1,20260210,15892,9000,0.5663226780770199,95,93,2,0.9789473684210527,99,93,6,0.9393939393939394,0
YX1,20260228,17012,8683,0.5104044204091229,96,87,9,0.90625,114,87,27,0.7631578947368421,0
YX1,20260306,26979,6377,0.23636902776233368,96,85,11,0.8854166666666666,149,88,61,0.5906040268456376,0
YX1,20260410_otx_pilot,64157,11072,0.17257664791059432,96,92,4,0.9583333333333334,373,310,63,0.8310991957104558,0
YX1,20260414_sci_b9d2_48hpf_plate01,6612,3910,0.5913490623109497,96,93,3,0.96875,111,93,18,0.8378378378378378,0
YX1,20260415_sci_cep290_48hpf_plate01,4634,2179,0.4702201122140699,95,93,2,0.9789473684210527,103,93,10,0.9029126213592233,0
YX1,20260417_irx_pilot,4968,3611,0.7268518518518519,95,95,0,1.0,184,179,5,0.9728260869565217,0
YX1,20260418_irx_pilot,15251,4390,0.2878499770506852,94,78,16,0.8297872340425532,197,140,57,0.7106598984771574,0
YX1,20260501_zfpm_pilot,8997,5122,0.5693008780704679,92,90,2,0.9782608695652174,200,195,5,0.975,0
YX1,20260502_zfpm_pilot,19369,10795,0.5573338840415096,96,89,7,0.9270833333333334,234,197,37,0.8418803418803419,0
