scope,dataset_count,timepoint_count,timepoint_pass_rate,well_count,well_any_pass_rate,zero_pass_wells,physical_embryo_id_count,embryo_any_pass_rate,zero_pass_embryos
Keyence,29,28761,0.546608254233163,2414,0.8931234465617233,258,2667,0.8166479190101237,489
YX1,26,422276,0.36440621773437276,2389,0.9317706153202177,163,3786,0.7987321711568938,762
All,55,451037,0.3760245833490379,4803,0.9123464501353321,421,6453,0.806136680613668,1251
