scope,experiment_id,flag,triggered_timepoint_count,trigger_rate_all_timepoints
Keyence,20250612_36hpf_ctrl_atf6,persistence_dead_flag,0,0.0
Keyence,20250612_36hpf_ctrl_atf6,sa_outlier_flag,19,0.18627450980392157
Keyence,20250612_36hpf_ctrl_atf6,viability_dead_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,discontinuous_mask_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,edge_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,focus_flag,1,0.010309278350515464
Keyence,20250612_36hpf_wfs1_ctcf,motion_blur_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,overlapping_mask_flag,2,0.020618556701030927
Keyence,20250612_36hpf_wfs1_ctcf,persistence_dead_flag,0,0.0
Keyence,20250612_36hpf_wfs1_ctcf,sa_outlier_flag,24,0.24742268041237114
Keyence,20250612_36hpf_wfs1_ctcf,viability_dead_flag,0,0.0
Keyence,20260324_cep290_24hpf_plate01,discontinuous_mask_flag,1,0.009900990099009901
Keyence,20260324_cep290_24hpf_plate01,edge_flag,1,0.009900990099009901
Keyence,20260324_cep290_24hpf_plate01,focus_flag,4,0.039603960396039604
Keyence,20260324_cep290_24hpf_plate01,motion_blur_flag,1,0.009900990099009901
Keyence,20260324_cep290_24hpf_plate01,overlapping_mask_flag,4,0.039603960396039604
Keyence,20260324_cep290_24hpf_plate01,persistence_dead_flag,0,0.0
Keyence,20260324_cep290_24hpf_plate01,sa_outlier_flag,6,0.0594059405940594
Keyence,20260324_cep290_24hpf_plate01,viability_dead_flag,0,0.0
Keyence,20260324_cep290_24hpf_plate02,discontinuous_mask_flag,0,0.0
Keyence,20260324_cep290_24hpf_plate02,edge_flag,0,0.0
Keyence,20260324_cep290_24hpf_plate02,focus_flag,8,0.07920792079207921
Keyence,20260324_cep290_24hpf_plate02,motion_blur_flag,8,0.07920792079207921
Keyence,20260324_cep290_24hpf_plate02,overlapping_mask_flag,12,0.1188118811881188
Keyence,20260324_cep290_24hpf_plate02,persistence_dead_flag,0,0.0
Keyence,20260324_cep290_24hpf_plate02,sa_outlier_flag,7,0.06930693069306931
Keyence,20260324_cep290_24hpf_plate02,viability_dead_flag,1,0.009900990099009901
Keyence,20260324_cep290_30hpf_plate01,discontinuous_mask_flag,0,0.0
Keyence,20260324_cep290_30hpf_plate01,edge_flag,0,0.0
Keyence,20260324_cep290_30hpf_plate01,focus_flag,0,0.0
Keyence,20260324_cep290_30hpf_plate01,motion_blur_flag,0,0.0
Keyence,20260324_cep290_30hpf_plate01,overlapping_mask_flag,6,0.061224489795918366
Keyence,20260324_cep290_30hpf_plate01,persistence_dead_flag,0,0.0
Keyence,20260324_cep290_30hpf_plate01,sa_outlier_flag,4,0.04081632653061224
Keyence,20260324_cep290_30hpf_plate01,viability_dead_flag,0,0.0
Keyence,20260324_cep290_30hpf_plate02,discontinuous_mask_flag,1,0.013888888888888888
Keyence,20260324_cep290_30hpf_plate02,edge_flag,2,0.027777777777777776
Keyence,20260324_cep290_30hpf_plate02,focus_flag,2,0.027777777777777776
Keyence,20260324_cep290_30hpf_plate02,motion_blur_flag,3,0.041666666666666664
Keyence,20260324_cep290_30hpf_plate02,overlapping_mask_flag,10,0.1388888888888889
Keyence,20260324_cep290_30hpf_plate02,persistence_dead_flag,0,0.0
Keyence,20260324_cep290_30hpf_plate02,sa_outlier_flag,11,0.1527777777777778
Keyence,20260324_cep290_30hpf_plate02,viability_dead_flag,0,0.0
Keyence,20260331_b9d2_18hpf_plate02,discontinuous_mask_flag,0,0.0
Keyence,20260331_b9d2_18hpf_plate02,edge_flag,3,0.04285714285714286
Keyence,20260331_b9d2_18hpf_plate02,focus_flag,12,0.17142857142857143
Keyence,20260331_b9d2_18hpf_plate02,motion_blur_flag,3,0.04285714285714286
Keyence,20260331_b9d2_18hpf_plate02,overlapping_mask_flag,0,0.0
Keyence,20260331_b9d2_18hpf_plate02,persistence_dead_flag,0,0.0
Keyence,20260331_b9d2_18hpf_plate02,sa_outlier_flag,24,0.34285714285714286
Keyence,20260331_b9d2_18hpf_plate02,viability_dead_flag,1,0.014285714285714285
Keyence,20260414_b9d2_14hpf_plate01,discontinuous_mask_flag,0,0.0
Keyence,20260414_b9d2_14hpf_plate01,edge_flag,0,0.0
Keyence,20260414_b9d2_14hpf_plate01,focus_flag,4,0.037383177570093455
Keyence,20260414_b9d2_14hpf_plate01,motion_blur_flag,3,0.028037383177570093
Keyence,20260414_b9d2_14hpf_plate01,overlapping_mask_flag,0,0.0
Keyence,20260414_b9d2_14hpf_plate01,persistence_dead_flag,0,0.0
Keyence,20260414_b9d2_14hpf_plate01,sa_outlier_flag,10,0.09345794392523364
Keyence,20260414_b9d2_14hpf_plate01,viability_dead_flag,0,0.0
Keyence,20260414_b9d2_30hpf_plate01,discontinuous_mask_flag,0,0.0
Keyence,20260414_b9d2_30hpf_plate01,edge_flag,3,0.02830188679245283
Keyence,20260414_b9d2_30hpf_plate01,focus_flag,1,0.009433962264150943
Keyence,20260414_b9d2_30hpf_plate01,motion_blur_flag,5,0.04716981132075472
Keyence,20260414_b9d2_30hpf_plate01,overlapping_mask_flag,2,0.018867924528301886
Keyence,20260414_b9d2_30hpf_plate01,persistence_dead_flag,0,0.0
Keyence,20260414_b9d2_30hpf_plate01,sa_outlier_flag,11,0.10377358490566038
Keyence,20260414_b9d2_30hpf_plate01,viability_dead_flag,0,0.0
Keyence,20260414_b9d2_30hpf_plate02,discontinuous_mask_flag,0,0.0
Keyence,20260414_b9d2_30hpf_plate02,edge_flag,1,0.013888888888888888
Keyence,20260414_b9d2_30hpf_plate02,focus_flag,0,0.0
Keyence,20260414_b9d2_30hpf_plate02,motion_blur_flag,6,0.08333333333333333
Keyence,20260414_b9d2_30hpf_plate02,overlapping_mask_flag,0,0.0
Keyence,20260414_b9d2_30hpf_plate02,persistence_dead_flag,0,0.0
Keyence,20260414_b9d2_30hpf_plate02,sa_outlier_flag,8,0.1111111111111111
Keyence,20260414_b9d2_30hpf_plate02,viability_dead_flag,0,0.0
Keyence,20260415_b9d2_30to48hpf_plate01_t02,discontinuous_mask_flag,0,0.0
