image_id,experiment_id,stem,embryo_position,mask_score,mask_area_px,prompt_box_source,prompt_x1_px,prompt_y1_px,prompt_x2_px,prompt_y2_px,prompt_box_area_px,crop_x1_px,crop_y1_px,crop_x2_px,crop_y2_px,mask_to_prompt_area_ratio,mask_path,mask_snip_path,component_count_all,component_count_ge_100px,largest_component_area_px,largest_component_fraction,mask_inside_prompt_fraction,touches_fov_border,max_overlap_other_position,max_pair_overlap_px,max_pair_iou,max_overlap_fraction_of_this_mask
69d3772729108c64,GENE3,48hpf_C_rfx2;3,1,0.978257954120636,34271,raw,248,83,406,364,44398,235,60,419,387,0.7719041398261183,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_01_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_01.png,1,1,34271,1.0,0.9988911908027195,False,8,0,0.0,0.0
69d3772729108c64,GENE3,48hpf_C_rfx2;3,2,0.971995174884796,29612,raw,461,55,666,350,60475,444,31,683,375,0.489656883009508,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_02_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_02.png,3,1,29610,0.9999324598135891,0.9973997028231798,False,8,0,0.0,0.0
69d3772729108c64,GENE3,48hpf_C_rfx2;3,3,0.976488471031189,33860,raw,712,163,898,445,52452,697,140,913,468,0.6455425913215893,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_03_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_03.png,1,1,33860,1.0,1.0,False,8,0,0.0,0.0
69d3772729108c64,GENE3,48hpf_C_rfx2;3,4,0.9815803170204164,38716,raw,898,150,1105,418,55476,880,128,1122,440,0.6978873747205999,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_04_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_04.png,1,1,38716,1.0,0.9978561834900299,False,8,0,0.0,0.0
69d3772729108c64,GENE3,48hpf_C_rfx2;3,5,0.967431902885437,38586,raw,185,512,370,818,56610,170,487,385,843,0.6816110227874934,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_05_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_05.png,1,1,38586,1.0,0.9994557611568963,False,8,0,0.0,0.0
69d3772729108c64,GENE3,48hpf_C_rfx2;3,6,0.954912006855011,35572,raw,434,535,612,808,48594,420,513,627,830,0.7320245297773388,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_06_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_06.png,1,1,35572,1.0,0.9989317440683684,False,8,0,0.0,0.0
69d3772729108c64,GENE3,48hpf_C_rfx2;3,7,0.9798335433006288,32160,raw,626,541,809,811,49410,611,519,824,833,0.6508803885853066,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_07_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_07.png,1,1,32160,1.0,0.9994713930348259,False,8,0,0.0,0.0
69d3772729108c64,GENE3,48hpf_C_rfx2;3,8,0.9827106595039368,32248,raw,803,547,999,788,47236,787,528,1015,808,0.6826996358709458,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_08_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_08.png,1,1,32248,1.0,0.9981704291739023,False,7,0,0.0,0.0
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,1,0.9487453103065492,23066,raw,232,79,399,335,42752,218,58,413,356,0.5395303143712575,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_01_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_01.png,1,1,23066,1.0,0.9983959073961676,False,8,0,0.0,0.0
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,2,0.9821496605873108,20378,raw,428,73,566,284,29118,417,56,578,301,0.6998420221169036,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_02_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_02.png,1,1,20378,1.0,0.9973500834232997,False,8,0,0.0,0.0
