image_id,experiment_id,stem,embryo_position,mask_score,mask_area_px,prompt_box_source,prompt_x1_px,prompt_y1_px,prompt_x2_px,prompt_y2_px,prompt_box_area_px,crop_x1_px,crop_y1_px,crop_x2_px,crop_y2_px,mask_to_prompt_area_ratio,mask_path,mask_snip_path
69d3772729108c64,GENE3,48hpf_C_rfx2;3,1,0.978257954120636,34271,raw,248,83,406,364,44398,235,60,419,387,0.7719041398261183,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_01_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_01.png
69d3772729108c64,GENE3,48hpf_C_rfx2;3,2,0.9719951748847961,29612,raw,461,55,666,350,60475,444,31,683,375,0.48965688300950805,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_02_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_02.png
69d3772729108c64,GENE3,48hpf_C_rfx2;3,3,0.976488471031189,33860,raw,712,163,898,445,52452,697,140,913,468,0.6455425913215893,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_03_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_03.png
69d3772729108c64,GENE3,48hpf_C_rfx2;3,4,0.9815803170204163,38716,raw,898,150,1105,418,55476,880,128,1122,440,0.6978873747205999,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_04_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_04.png
69d3772729108c64,GENE3,48hpf_C_rfx2;3,5,0.967431902885437,38586,raw,185,512,370,818,56610,170,487,385,843,0.6816110227874934,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_05_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_05.png
69d3772729108c64,GENE3,48hpf_C_rfx2;3,6,0.954912006855011,35572,raw,434,535,612,808,48594,420,513,627,830,0.7320245297773388,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_06_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_06.png
69d3772729108c64,GENE3,48hpf_C_rfx2;3,7,0.9798335433006287,32160,raw,626,541,809,811,49410,611,519,824,833,0.6508803885853066,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_07_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_07.png
69d3772729108c64,GENE3,48hpf_C_rfx2;3,8,0.9827106595039368,32248,raw,803,547,999,788,47236,787,528,1015,808,0.6826996358709458,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/69d3772729108c64__embryo_08_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/69d3772729108c64__embryo_08.png
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,1,0.9487453103065491,23066,raw,232,79,399,335,42752,218,58,413,356,0.5395303143712575,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_01_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_01.png
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,2,0.9821496605873108,20378,raw,428,73,566,284,29118,417,56,578,301,0.6998420221169036,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_02_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_02.png
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,3,0.9718566536903381,20378,raw,593,107,795,351,49288,576,87,811,371,0.4134474922902126,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_03_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_03.png
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,4,0.9549729824066162,22854,raw,820,60,1005,441,70485,805,29,1020,472,0.324239199829751,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_04_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_04.png
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,5,0.9654443860054016,22590,raw,337,484,444,912,45796,328,449,453,947,0.49327452179229625,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_05_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_05.png
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,6,0.9682186841964722,25300,raw,540,454,653,890,49268,531,419,663,926,0.513517902086547,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_06_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_06.png
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,7,0.939479649066925,22941,raw,685,560,842,772,33284,672,543,855,790,0.6892500901333974,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_07_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_07.png
6ac224f2fcb686be,GENE3,48hpf_A_rfx2,8,0.9721817374229431,18783,raw,883,587,1020,824,32469,871,568,1032,843,0.5784902522405987,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/6ac224f2fcb686be__embryo_08_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/6ac224f2fcb686be__embryo_08.png
8106ff7b090d235f,GENE3,48hpf_B_rfx1a;1b,1,0.9711934924125671,15094,raw,284,105,380,389,27264,276,81,389,413,0.5536238262910798,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/8106ff7b090d235f__embryo_01_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/8106ff7b090d235f__embryo_01.png
8106ff7b090d235f,GENE3,48hpf_B_rfx1a;1b,2,0.9724421501159668,14244,raw,446,133,596,319,27900,445,133,596,320,0.5105376344086021,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/masks/8106ff7b090d235f__embryo_02_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_rfx_48hpf/mask_snips/8106ff7b090d235f__embryo_02.png
