pair,genotype,n_embryos,n_timepoints,time_range_hpf,mean_surface_area_um,std_surface_area_um
b9d2_pair_1,b9d2_wildtype,7,195,28.0-58.1,1044317.4038097437,190452.4684556199
b9d2_pair_1,b9d2_heterozygous,18,513,28.0-58.1,1069309.0418109163,201697.1119567618
b9d2_pair_1,b9d2_homozygous,8,249,28.0-58.1,1057648.5821068273,196326.76601997024
b9d2_pair_2,b9d2_wildtype,9,122,28.0-57.6,1023677.1243532788,197572.58390031065
b9d2_pair_2,b9d2_heterozygous,14,374,28.0-58.1,1077241.1204617645,203187.47547489483
b9d2_pair_2,b9d2_homozygous,6,143,28.0-58.1,1011062.0468167834,233840.35538079793
