image_id,experiment_id,stem,embryo_position,mask_score,mask_area_px,box_area_px,fill_fraction,mask_path,mask_snip_path
a71439fac1212825,GENE13,48hpf_A_lhx2a,6,0.9651161432266235,20734,52281,0.3965876704730208,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/a71439fac1212825__embryo_06_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/a71439fac1212825__embryo_06.png
a71439fac1212825,GENE13,48hpf_A_lhx2a,7,0.9550294280052185,20266,65660,0.30865062442887603,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/a71439fac1212825__embryo_07_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/a71439fac1212825__embryo_07.png
a71439fac1212825,GENE13,48hpf_A_lhx2a,8,0.9609642624855042,20607,51666,0.3988503077459064,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/a71439fac1212825__embryo_08_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/a71439fac1212825__embryo_08.png
e9f470b52561ec87,CHEM17,72hpf_A_BGJ398,1,0.9858812093734741,39225,66120,0.5932395644283122,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/e9f470b52561ec87__embryo_01_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/e9f470b52561ec87__embryo_01.png
e9f470b52561ec87,CHEM17,72hpf_A_BGJ398,2,0.9871838688850403,41751,79355,0.5261294184361414,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/e9f470b52561ec87__embryo_02_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/e9f470b52561ec87__embryo_02.png
e9f470b52561ec87,CHEM17,72hpf_A_BGJ398,3,0.9874479174613953,42819,82926,0.5163519282251646,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/e9f470b52561ec87__embryo_03_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/e9f470b52561ec87__embryo_03.png
e9f470b52561ec87,CHEM17,72hpf_A_BGJ398,4,0.9877616167068481,39545,70176,0.5635117419060648,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/e9f470b52561ec87__embryo_04_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/e9f470b52561ec87__embryo_04.png
e9f470b52561ec87,CHEM17,72hpf_A_BGJ398,5,0.9874326586723328,37226,66470,0.5600421242665864,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/e9f470b52561ec87__embryo_05_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/e9f470b52561ec87__embryo_05.png
e9f470b52561ec87,CHEM17,72hpf_A_BGJ398,6,0.985612154006958,41188,72891,0.5650629021415539,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/e9f470b52561ec87__embryo_06_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/e9f470b52561ec87__embryo_06.png
e9f470b52561ec87,CHEM17,72hpf_A_BGJ398,7,0.9844053387641907,33986,61920,0.5488695090439276,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/e9f470b52561ec87__embryo_07_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/e9f470b52561ec87__embryo_07.png
e9f470b52561ec87,CHEM17,72hpf_A_BGJ398,8,0.9868683815002441,40411,76172,0.5305230268340072,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/masks/e9f470b52561ec87__embryo_08_mask.png,/net/trapnell/vol1/home/nlammers/projects/repositories/morphseq/results/nlammers/20260723_seahub/outputs/sam2_masks_3_experiments/mask_snips/e9f470b52561ec87__embryo_08.png
