pair,genotype,n_embryos,n_timepoints,time_range_hpf,mean_baseline_deviation_normalized,std_baseline_deviation_normalized
b9d2_pair_6,b9d2_wildtype,1,182,10.0-31.5,0.12907651927353506,0.07043976884266763
b9d2_pair_6,b9d2_heterozygous,2,291,10.0-32.3,0.13143542016524393,0.06029383803424865
b9d2_pair_6,b9d2_homozygous,1,348,10.0-51.3,0.06422011804466685,0.04037430038841266
b9d2_pair_7,b9d2_wildtype,4,1182,10.0-51.3,0.06872630390263719,0.059055787887242264
b9d2_pair_7,b9d2_heterozygous,7,1689,10.0-51.3,0.07691169996180901,0.060247774822748325
b9d2_pair_7,b9d2_homozygous,4,1142,10.0-51.3,0.1007987254842218,0.06764834172392477
