stage_hpf,n_embryos,n_fovs,legacy_curve_effective_um_per_px,legacy_curve_bootstrap_ci95_low,legacy_curve_bootstrap_ci95_high,fov_q25,fov_q75,ci_basis,reference_p50_um2,median_control_area_px,strict_wt_reference_n,strict_wt_p50_um2,strict_wt_effective_um_per_px,strict_wt_bootstrap_ci95_low,strict_wt_bootstrap_ci95_high,strict_vs_legacy_scale_ratio,recommended_um_per_px,capture_regime
12.0,8,1,5.658421144198068,5.531586466890076,6.092469576417434,5.658421144198068,5.658421144198068,within-FOV embryo bootstrap (only one FOV),463903.08287357114,14489.0,181,468565.6392,5.686785632477263,5.559315159312756,6.12300985920795,1.0050127920061727,5.686785632477263,early (12-24 hpf)
14.0,24,3,4.3628255794460244,3.6988592242606173,5.852039917055829,4.030842401853321,5.107432748250927,FOV-cluster bootstrap,501533.1795821425,26349.0,203,476034.2569,4.250471607060187,3.603604092105083,5.701334847767867,0.9742474297127176,4.250471607060187,early (12-24 hpf)
15.0,8,1,4.024051714333734,3.8902951567377686,4.052016111469748,4.024051714333734,4.024051714333734,within-FOV embryo bootstrap (only one FOV),504353.76024785684,31147.0,273,500940.1977,4.010410818934311,3.8771076747983795,4.038280421210984,0.9966101590218549,4.010410818934311,early (12-24 hpf)
18.0,32,4,3.9473076780138614,3.772625463116358,4.837541842367363,3.8131049562349206,4.260398387156801,FOV-cluster bootstrap,574730.4133085711,36464.50000000001,289,608000.6188,4.059952011280242,3.8802848893940527,4.975590791152595,1.0285370035616426,4.059952011280242,early (12-24 hpf)
24.0,56,7,4.366397044467279,4.073746893569615,4.910297300848429,4.1484703726142875,4.795290943837434,FOV-cluster bootstrap,698924.8732557138,40191.0,301,785964.5283,4.630303402285915,4.319965387767067,5.207077154644728,1.0604403024120392,4.630303402285915,early (12-24 hpf)
36.0,24,3,6.936772108377966,5.974529067186795,6.957383876664826,6.45565058778238,6.947077992521396,FOV-cluster bootstrap,946470.5471342852,19870.5,285,935560.6316,6.896676326865059,5.93999522228347,6.917168955450498,0.9942198214260952,6.896676326865059,transition (36 hpf)
48.0,64,8,7.9628166935881435,7.71848787571114,8.556315176163668,7.804278336082233,8.209502642717919,FOV-cluster bootstrap,1210799.131231428,19571.0,118,1090671.7169,7.557491954909988,7.3256000068076315,8.120780070147845,0.9490978187398772,7.557491954909988,late (48-96 hpf)
72.0,88,11,8.217921021199222,7.891082011258184,8.75758172434325,7.9425806853995,8.720899128692942,FOV-cluster bootstrap,1250808.632376428,18365.5,21,1033776.9768,7.471020982050083,7.17388730374836,7.9616336839702315,0.9091132614657149,7.471020982050083,late (48-96 hpf)
96.0,72,9,8.27673629110297,7.392634799476545,8.508983802188435,7.851306812982838,8.370128450626234,FOV-cluster bootstrap,1211036.483332499,18028.0,5,1068921.6363,7.775949629553352,6.945340990530985,7.9941449283127195,0.9394946698872192,7.775949629553352,late (48-96 hpf)
