stage_hpf,reference_image_path,exists,width_px,height_px,mode,selection_filter
12.0,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20230615/images/20230615_A04/20230615_A04_ch00_t0005.jpg,True,630,1140,L,explicit WT genotype or phenotype=wt; no chemical perturbation; use_embryo_flag=True; within +/-0.25 hpf
18.0,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20230525/images/20230525_F01/20230525_F01_ch00_t0007.jpg,True,630,1140,L,explicit WT genotype or phenotype=wt; no chemical perturbation; use_embryo_flag=True; within +/-0.25 hpf
24.0,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20230615/images/20230615_F06/20230615_F06_ch00_t0031.jpg,True,630,1140,L,explicit WT genotype or phenotype=wt; no chemical perturbation; use_embryo_flag=True; within +/-0.25 hpf
48.0,/net/trapnell/vol1/home/mdcolon/proj/morphseq/morphseq_playground/sam2_pipeline_files/raw_data_organized/20260124/images/20260124_G09/20260124_G09_ch00_t0058.jpg,True,1152,2189,L,explicit WT genotype or phenotype=wt; no chemical perturbation; use_embryo_flag=True; within +/-0.25 hpf
72.0,/net/trapnell/vol1/home/mdcolon/proj/morphseq_CORRUPT_OLD/morphseq_playground/sam2_pipeline_files/raw_data_organized/20260213/images/20260213_A01/20260213_A01_ch00_t0136.jpg,True,2189,2189,L,explicit WT genotype or phenotype=wt; no chemical perturbation; use_embryo_flag=True; within +/-0.25 hpf
96.0,/net/trapnell/vol1/home/mdcolon/proj/morphseq_CORRUPT_OLD/morphseq_playground/sam2_pipeline_files/raw_data_organized/20260306/images/20260306_E12/20260306_E12_ch00_t0077.jpg,True,2189,1152,L,explicit WT genotype or phenotype=wt; no chemical perturbation; use_embryo_flag=True; within +/-0.25 hpf
