stage_hpf,strict_wt_reference_n,strict_wt_p50_um2
12.0,181,468565.6392
14.0,203,476034.2569
15.0,273,500940.1977
18.0,289,608000.6188
24.0,301,785964.5283
36.0,285,935560.6316
48.0,118,1090671.7169
72.0,21,1033776.9768
96.0,5,1068921.6363
