cohort,calibration,n,n_outlier,outlier_fraction,too_small_fraction,too_large_fraction
all intended embryos,7.8 placeholder,2032,894,0.43996062992125984,0.04921259842519685,0.390748031496063
all intended embryos,stage-matched to legacy curve,2032,378,0.1860236220472441,0.08415354330708662,0.10187007874015748
strict WT controls,7.8 placeholder,376,178,0.4734042553191489,0.047872340425531915,0.425531914893617
strict WT controls,stage-matched to legacy curve,376,83,0.22074468085106383,0.07712765957446809,0.14361702127659576
non-control embryos,7.8 placeholder,1656,716,0.4323671497584541,0.049516908212560384,0.3828502415458937
non-control embryos,stage-matched to legacy curve,1656,295,0.17814009661835747,0.08574879227053141,0.09239130434782608
