pair,genotype,n_embryos,n_timepoints,time_range_hpf,mean_baseline_deviation_normalized,std_baseline_deviation_normalized
b9d2_pair_1,b9d2_wildtype,7,195,28.0-58.1,0.023967091471091852,0.029410942095434628
b9d2_pair_1,b9d2_heterozygous,18,513,28.0-58.1,0.023180221150149016,0.024553156657105998
b9d2_pair_1,b9d2_homozygous,8,249,28.0-58.1,0.023718504507544404,0.0245723291600391
b9d2_pair_2,b9d2_wildtype,9,122,28.0-57.6,0.03490899132722712,0.036759311054417904
b9d2_pair_2,b9d2_heterozygous,14,374,28.0-58.1,0.02766455113371121,0.03177125668268996
b9d2_pair_2,b9d2_homozygous,6,143,28.0-58.1,0.04097991004239878,0.03507089213657666
