fold,alpha,r2,mae,rmse,pearson_r,n_train,n_test
1,100.0,0.5644765833823926,0.00015150647351362334,0.00019427574682303526,0.777803655195969,4949,1238
2,100.0,0.5533514180864616,0.00019310187209456558,0.00024022116352847488,0.7486416021543943,4947,1240
3,100.0,0.5319882999787148,0.00017528720945631066,0.00023745917329538296,0.7349022552927507,4949,1238
4,50.0,0.6116977702864921,0.00021542560016135637,0.0002729750966248431,0.7929610901555688,4951,1236
5,100.0,0.482146275204662,0.0001738717190361773,0.00021862848881369892,0.7142918731810437,4952,1235
