"cohort","n_embryos","cell_type","term","estimate"
"atf6 | 24C | 24hpf",10,"cohort_PC1","ionocyte, gill (KS)",-10.3423042108474
"atf6 | 24C | 24hpf",10,"cohort_PC2","ionocyte, gill (KS)",-4.59962778023089
"atf6 | 24C | 24hpf",10,"(Intercept)","ionocyte, NA (NaK)",-0.426337391435741
"atf6 | 24C | 24hpf",10,"cohort_PC1","ionocyte, NA (NaK)",0.637004105633643
"atf6 | 24C | 24hpf",10,"cohort_PC2","ionocyte, NA (NaK)",-0.722853218645869
"atf6 | 24C | 24hpf",10,"(Intercept)","ionocyte, NA (progenitor, 11-18 hpf, NaK)",1.05356079253736
"atf6 | 24C | 24hpf",10,"cohort_PC1","ionocyte, NA (progenitor, 11-18 hpf, NaK)",0.66773643692883
"atf6 | 24C | 24hpf",10,"cohort_PC2","ionocyte, NA (progenitor, 11-18 hpf, NaK)",0.946264113558047
"atf6 | 24C | 24hpf",10,"(Intercept)","ionocyte, NA (progenitor, 14-18 hpf)",1.32398586151349
"atf6 | 24C | 24hpf",10,"cohort_PC1","ionocyte, NA (progenitor, 14-18 hpf)",-0.227579692805307
"atf6 | 24C | 24hpf",10,"cohort_PC2","ionocyte, NA (progenitor, 14-18 hpf)",0.870194967662406
"atf6 | 24C | 24hpf",10,"(Intercept)","ionocyte, NA (progenitor, 18 hpf, kitb+)",0.597856718363919
"atf6 | 24C | 24hpf",10,"cohort_PC1","ionocyte, NA (progenitor, 18 hpf, kitb+)",0.428862946185291
"atf6 | 24C | 24hpf",10,"cohort_PC2","ionocyte, NA (progenitor, 18 hpf, kitb+)",-0.689431107287438
"atf6 | 24C | 24hpf",10,"(Intercept)","ionocyte, NA (progenitor, 24-96 hpf)",-4.64575176176363
"atf6 | 24C | 24hpf",10,"cohort_PC1","ionocyte, NA (progenitor, 24-96 hpf)",5.1228520120771
"atf6 | 24C | 24hpf",10,"cohort_PC2","ionocyte, NA (progenitor, 24-96 hpf)",12.4795355875485
"atf6 | 24C | 24hpf",10,"(Intercept)","ionocyte, NA (vH)",-6.88660204064271
"atf6 | 24C | 24hpf",10,"cohort_PC1","ionocyte, NA (vH)",9.49838164743736
"atf6 | 24C | 24hpf",10,"cohort_PC2","ionocyte, NA (vH)",15.0405185972933
"atf6 | 24C | 24hpf",10,"(Intercept)","iridoblast, integument",-1.70790276206917
"atf6 | 24C | 24hpf",10,"cohort_PC1","iridoblast, integument",3.29109826815759
"atf6 | 24C | 24hpf",10,"cohort_PC2","iridoblast, integument",3.2180343027932
"atf6 | 24C | 24hpf",10,"(Intercept)","kidney proximal convoluted tubule epithelial cell, proximal convoluted tubule",1.34498747719859
"atf6 | 24C | 24hpf",10,"cohort_PC1","kidney proximal convoluted tubule epithelial cell, proximal convoluted tubule",-0.19455594558196
"atf6 | 24C | 24hpf",10,"cohort_PC2","kidney proximal convoluted tubule epithelial cell, proximal convoluted tubule",-0.510837650875236
"atf6 | 24C | 24hpf",10,"(Intercept)","kidney proximal straight tubule epithelial cell, proximal straight tubule",-8.20746918991502
"atf6 | 24C | 24hpf",10,"cohort_PC1","kidney proximal straight tubule epithelial cell, proximal straight tubule",9.94382215479345
"atf6 | 24C | 24hpf",10,"cohort_PC2","kidney proximal straight tubule epithelial cell, proximal straight tubule",-2.8404010290698
"atf6 | 24C | 24hpf",10,"(Intercept)","Kolmer-Agduhr neuron, spinal cord (KA')",-2.33144821490834
"atf6 | 24C | 24hpf",10,"cohort_PC1","Kolmer-Agduhr neuron, spinal cord (KA')",-3.19661263833874
"atf6 | 24C | 24hpf",10,"cohort_PC2","Kolmer-Agduhr neuron, spinal cord (KA')",0.0467464925165199
"atf6 | 24C | 24hpf",10,"(Intercept)","L cone cell, outer nuclear layer of retina",-1.23399858587717
"atf6 | 24C | 24hpf",10,"cohort_PC1","L cone cell, outer nuclear layer of retina",-0.540579609219337
"atf6 | 24C | 24hpf",10,"cohort_PC2","L cone cell, outer nuclear layer of retina",-0.560353337089529
"atf6 | 24C | 24hpf",10,"(Intercept)","lens fiber cell, lens of camera-type eye",-7.15218818233623
"atf6 | 24C | 24hpf",10,"cohort_PC1","lens fiber cell, lens of camera-type eye",6.38926976700869
"atf6 | 24C | 24hpf",10,"cohort_PC2","lens fiber cell, lens of camera-type eye",18.7423390051282
"atf6 | 24C | 24hpf",10,"(Intercept)","macrophage, blood (primitive)",0.967956566669007
"atf6 | 24C | 24hpf",10,"cohort_PC1","macrophage, blood (primitive)",1.00834337059033
"atf6 | 24C | 24hpf",10,"cohort_PC2","macrophage, blood (primitive)",-0.416407124981918
"atf6 | 24C | 24hpf",10,"(Intercept)","melanoblast, integument",-4.47183275521725
"atf6 | 24C | 24hpf",10,"cohort_PC1","melanoblast, integument",-6.32146539364928
"atf6 | 24C | 24hpf",10,"cohort_PC2","melanoblast, integument",4.07326058560758
"atf6 | 24C | 24hpf",10,"(Intercept)","Merkel-like cell, taste bud",-0.559256138198422
"atf6 | 24C | 24hpf",10,"cohort_PC1","Merkel-like cell, taste bud",0.879828186273555
"atf6 | 24C | 24hpf",10,"cohort_PC2","Merkel-like cell, taste bud",2.37435582293491
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, anterior segment of eyeball (scinla+)",-2.58025334330856
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, anterior segment of eyeball (scinla+)",-0.90713667062153
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, anterior segment of eyeball (scinla+)",1.97676186550117
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, bulbus arteriosus",-3.53021591217904
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, bulbus arteriosus",-5.81574320056474
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, bulbus arteriosus",3.55655615428441
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, median fin fold",0.849274187992156
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, median fin fold",-0.072012749302297
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, median fin fold",-0.978102746379866
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, median fin fold (posterior)",-0.0716253869388378
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, median fin fold (posterior)",-0.563854824495549
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, median fin fold (posterior)",0.505579492030275
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, meninx",-1.42873302756835
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, meninx",1.17868172823977
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, meninx",-1.64296412149015
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, myotome",3.14801384738885
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, myotome",-0.0509963362623148
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, myotome",0.100108075103338
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, periocular mesenchyme",-0.299638214921455
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, periocular mesenchyme",0.422274476655733
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, periocular mesenchyme",-1.41316739570813
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, pharyngeal arch",0.98277198925237
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, pharyngeal arch",0.372832827668809
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, pharyngeal arch",0.014674813994989
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, pharyngeal arch (anterior)",-0.791327587498189
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, pharyngeal arch (anterior)",0.0830628011925632
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, pharyngeal arch (anterior)",0.955831298635431
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, pharyngeal arch (met+)",1.65216092096018
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, pharyngeal arch (met+)",0.48793312021955
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, pharyngeal arch (met+)",0.314237182321175
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, pharyngeal arch (tbx15+)",2.59793217799638
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, pharyngeal arch (tbx15+)",-0.231265350380275
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, pharyngeal arch (tbx15+)",-0.0207575185431961
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, sclerotome",0.0755691599418362
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, sclerotome",0.804419153959434
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, sclerotome",-1.05876056140093
"atf6 | 24C | 24hpf",10,"(Intercept)","mesenchymal cell, ventral mesenchyme (rhag+)",1.5843193333704
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesenchymal cell, ventral mesenchyme (rhag+)",-0.369812858057732
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesenchymal cell, ventral mesenchyme (rhag+)",0.547911950605613
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, anterior lateral plate mesoderm (wt1a+, pbx1b+, pax2a+)",1.30395410114898
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, anterior lateral plate mesoderm (wt1a+, pbx1b+, pax2a+)",-0.398765580509168
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, anterior lateral plate mesoderm (wt1a+, pbx1b+, pax2a+)",0.465892844087611
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, anterior lateral plate mesoderm (wt1a+, pbx1b+)",1.45189209312871
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, anterior lateral plate mesoderm (wt1a+, pbx1b+)",-0.667510347912641
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, anterior lateral plate mesoderm (wt1a+, pbx1b+)",0.0799817691505717
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, cardiopharyngeal field",-5.45486301692473
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, cardiopharyngeal field",-8.92659436605519
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, cardiopharyngeal field",9.44287598215512
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, chordamesoderm (axial)",-1.14356836898979
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, chordamesoderm (axial)",-1.69265806386306
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, chordamesoderm (axial)",-0.756167323942005
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, craniocervical region",1.26236864263623
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, craniocervical region",0.239820929992241
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, craniocervical region",-1.52874310453911
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, heart primordium",1.48437726553463
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, heart primordium",-0.327735308253903
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, heart primordium",-0.362200042699532
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, migratory muscle progenitor",-1.21076857192316
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, migratory muscle progenitor",-0.450888072019592
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, migratory muscle progenitor",2.29358441756963
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, pectoral fin bud",-7.15218818233623
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, pectoral fin bud",6.38926976700869
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, pectoral fin bud",18.7423390051282
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, pectoral fin bud (progenitor)",1.10066698817294
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, pectoral fin bud (progenitor)",0.212032414633875
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, pectoral fin bud (progenitor)",-0.875369881376667
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, pericardium (wt1a+, tbx5a+)",-0.279244543159446
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, pericardium (wt1a+, tbx5a+)",-0.805524277500494
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, pericardium (wt1a+, tbx5a+)",1.31921258859847
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, pharyngeal arch (prdm1a+)",-0.683939471310989
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, pharyngeal arch (prdm1a+)",-1.38983645522978
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, pharyngeal arch (prdm1a+)",-1.1150489459371
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, pharyngeal arch (tcf21+)",1.99850596150367
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, pharyngeal arch (tcf21+)",0.221280314551957
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, pharyngeal arch (tcf21+)",0.126029549836848
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, posterior lateral plate mesoderm (hand2+)",2.36874622674963
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, posterior lateral plate mesoderm (hand2+)",-0.47762541686818
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, posterior lateral plate mesoderm (hand2+)",-0.194313162358296
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, posterior lateral plate mesoderm (pax2a+)",-0.15715650132362
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, posterior lateral plate mesoderm (pax2a+)",-1.26632408137257
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, posterior lateral plate mesoderm (pax2a+)",1.49347766024649
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, presomitic mesoderm",3.69370193219942
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, presomitic mesoderm",-0.254343711981343
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, presomitic mesoderm",0.267316109350773
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, pronephros",1.13858613254636
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, pronephros",-1.44699130715271
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, pronephros",-1.52268843253295
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, smooth muscle tissue (trunk, progenitor)",-6.88660204064271
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, smooth muscle tissue (trunk, progenitor)",9.49838164743736
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, smooth muscle tissue (trunk, progenitor)",15.0405185972933
"atf6 | 24C | 24hpf",10,"(Intercept)","mesodermal cell, somite",3.63685889263271
"atf6 | 24C | 24hpf",10,"cohort_PC1","mesodermal cell, somite",-0.115733786069983
"atf6 | 24C | 24hpf",10,"cohort_PC2","mesodermal cell, somite",-0.116164627669654
"atf6 | 24C | 24hpf",10,"(Intercept)","microvillous olfactory receptor neuron, olfactory organ",-4.47183275521725
"atf6 | 24C | 24hpf",10,"cohort_PC1","microvillous olfactory receptor neuron, olfactory organ",-6.32146539364928
"atf6 | 24C | 24hpf",10,"cohort_PC2","microvillous olfactory receptor neuron, olfactory organ",4.07326058560758
"atf6 | 24C | 24hpf",10,"(Intercept)","migratory cranial neural crest cell, cranial neural crest",1.74099671069748
"atf6 | 24C | 24hpf",10,"cohort_PC1","migratory cranial neural crest cell, cranial neural crest",-0.191697249275807
"atf6 | 24C | 24hpf",10,"cohort_PC2","migratory cranial neural crest cell, cranial neural crest",0.471523957505223
"atf6 | 24C | 24hpf",10,"(Intercept)","migratory trunk neural crest cell, trunk neural crest",1.88411957403013
"atf6 | 24C | 24hpf",10,"cohort_PC1","migratory trunk neural crest cell, trunk neural crest",-0.1504393981943
"atf6 | 24C | 24hpf",10,"cohort_PC2","migratory trunk neural crest cell, trunk neural crest",-0.731385685706028
"atf6 | 24C | 24hpf",10,"(Intercept)","myelinating Schwann cell, neural crest",-1.49629536199614
"atf6 | 24C | 24hpf",10,"cohort_PC1","myelinating Schwann cell, neural crest",-1.34724092102844
"atf6 | 24C | 24hpf",10,"cohort_PC2","myelinating Schwann cell, neural crest",3.3294747022023
"atf6 | 24C | 24hpf",10,"(Intercept)","myeloid lineage restricted progenitor cell, blood (primitive)",-2.80954390451966
"atf6 | 24C | 24hpf",10,"cohort_PC1","myeloid lineage restricted progenitor cell, blood (primitive)",-1.96139090116084
"atf6 | 24C | 24hpf",10,"cohort_PC2","myeloid lineage restricted progenitor cell, blood (primitive)",5.5281376515825
"atf6 | 24C | 24hpf",10,"(Intercept)","myoblast, skeletal musculature (craniocervical and hypaxial)",-1.03223036000723
"atf6 | 24C | 24hpf",10,"cohort_PC1","myoblast, skeletal musculature (craniocervical and hypaxial)",0.93648669729309
"atf6 | 24C | 24hpf",10,"cohort_PC2","myoblast, skeletal musculature (craniocervical and hypaxial)",-0.505492972323823
"atf6 | 24C | 24hpf",10,"(Intercept)","neural crest cell, cranial neural crest (cycling)",-0.173254741837472
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural crest cell, cranial neural crest (cycling)",-0.360557448213497
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural crest cell, cranial neural crest (cycling)",-1.53976152645661
"atf6 | 24C | 24hpf",10,"(Intercept)","neural crest cell, head mesenchyme (gdf11+)",2.12865129620815
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural crest cell, head mesenchyme (gdf11+)",0.61903450644685
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural crest cell, head mesenchyme (gdf11+)",-0.181606423640103
"atf6 | 24C | 24hpf",10,"(Intercept)","neural crest cell, head mesenchyme (tnc+)",2.18743063067763
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural crest cell, head mesenchyme (tnc+)",0.16654279887768
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural crest cell, head mesenchyme (tnc+)",0.186640760090219
"atf6 | 24C | 24hpf",10,"(Intercept)","neural crest cell, rhombomere (3 and 5)",-5.13269787228348
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural crest cell, rhombomere (3 and 5)",8.55870605031057
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural crest cell, rhombomere (3 and 5)",11.147628331891
"atf6 | 24C | 24hpf",10,"(Intercept)","neural crest cell, rhombomere (posterior)",1.34473458558115
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural crest cell, rhombomere (posterior)",-0.12837294081854
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural crest cell, rhombomere (posterior)",-0.264590696447587
"atf6 | 24C | 24hpf",10,"(Intercept)","neural crest cell, trunk neural crest (delaminating)",1.92153394878267
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural crest cell, trunk neural crest (delaminating)",-0.0296375940079665
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural crest cell, trunk neural crest (delaminating)",-0.86159676249688
"atf6 | 24C | 24hpf",10,"(Intercept)","neural progenitor cell, hindbrain",3.41096000318288
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural progenitor cell, hindbrain",0.299523685960637
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural progenitor cell, hindbrain",-0.0296333749626697
"atf6 | 24C | 24hpf",10,"(Intercept)","neural progenitor cell, midbrain",4.35904337358156
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural progenitor cell, midbrain",0.255254214340373
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural progenitor cell, midbrain",0.164819473804315
"atf6 | 24C | 24hpf",10,"(Intercept)","neural progenitor cell, midbrain (ank1a+)",0.664677178322767
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural progenitor cell, midbrain (ank1a+)",-0.241670978533102
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural progenitor cell, midbrain (ank1a+)",0.00401024882304196
"atf6 | 24C | 24hpf",10,"(Intercept)","neural progenitor cell, midbrain-hindbrain boundary",3.56132185689314
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural progenitor cell, midbrain-hindbrain boundary",0.160340843292615
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural progenitor cell, midbrain-hindbrain boundary",0.318279993165698
"atf6 | 24C | 24hpf",10,"(Intercept)","neural progenitor cell, rhombomere (2 and 4)",1.77781456850179
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural progenitor cell, rhombomere (2 and 4)",-0.111242125731703
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural progenitor cell, rhombomere (2 and 4)",0.0850882565431833
"atf6 | 24C | 24hpf",10,"(Intercept)","neural progenitor cell, rhombomere (7 and 8)",4.06770102165523
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural progenitor cell, rhombomere (7 and 8)",0.0850307175220825
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural progenitor cell, rhombomere (7 and 8)",-0.120722488594677
"atf6 | 24C | 24hpf",10,"(Intercept)","neural progenitor cell, rhombomere 3",2.58928022778464
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural progenitor cell, rhombomere 3",0.149616005717608
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural progenitor cell, rhombomere 3",0.246091780910255
"atf6 | 24C | 24hpf",10,"(Intercept)","neural progenitor cell, rhombomere 5",2.75649496525332
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural progenitor cell, rhombomere 5",0.162339777593889
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural progenitor cell, rhombomere 5",0.31575313552335
"atf6 | 24C | 24hpf",10,"(Intercept)","neural progenitor cell, rhombomere 6",2.62623793980833
"atf6 | 24C | 24hpf",10,"cohort_PC1","neural progenitor cell, rhombomere 6",-0.019968626848854
"atf6 | 24C | 24hpf",10,"cohort_PC2","neural progenitor cell, rhombomere 6",-0.188542654325993
"atf6 | 24C | 24hpf",10,"(Intercept)","neurecto-epithelial cell, roof plate",1.27761159133433
"atf6 | 24C | 24hpf",10,"cohort_PC1","neurecto-epithelial cell, roof plate",0.473022258312008
"atf6 | 24C | 24hpf",10,"cohort_PC2","neurecto-epithelial cell, roof plate",0.0157987349084988
"atf6 | 24C | 24hpf",10,"(Intercept)","neurecto-epithelial cell, spinal cord",2.82310506870607
"atf6 | 24C | 24hpf",10,"cohort_PC1","neurecto-epithelial cell, spinal cord",-0.193580231000293
"atf6 | 24C | 24hpf",10,"cohort_PC2","neurecto-epithelial cell, spinal cord",0.566618360386967
"atf6 | 24C | 24hpf",10,"(Intercept)","neurectodermal cell, future diencephalon",3.00222103955167
"atf6 | 24C | 24hpf",10,"cohort_PC1","neurectodermal cell, future diencephalon",0.0594761231921272
"atf6 | 24C | 24hpf",10,"cohort_PC2","neurectodermal cell, future diencephalon",0.543001998173314
"atf6 | 24C | 24hpf",10,"(Intercept)","neurectodermal cell, future diencephalon (ventral)",2.93948595452523
"atf6 | 24C | 24hpf",10,"cohort_PC1","neurectodermal cell, future diencephalon (ventral)",0.0386734342870567
"atf6 | 24C | 24hpf",10,"cohort_PC2","neurectodermal cell, future diencephalon (ventral)",0.217485401952254
"atf6 | 24C | 24hpf",10,"(Intercept)","neurectodermal cell, future telencephalon",3.09891158597133
"atf6 | 24C | 24hpf",10,"cohort_PC1","neurectodermal cell, future telencephalon",0.00137935869532986
"atf6 | 24C | 24hpf",10,"cohort_PC2","neurectodermal cell, future telencephalon",0.120742774237747
"atf6 | 24C | 24hpf",10,"(Intercept)","neurectodermal cell, spinal cord neural keel",3.83762161055608
"atf6 | 24C | 24hpf",10,"cohort_PC1","neurectodermal cell, spinal cord neural keel",-0.0650781166511384
"atf6 | 24C | 24hpf",10,"cohort_PC2","neurectodermal cell, spinal cord neural keel",0.0703547216566258
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), diencephalon (ventral)",1.66802377404624
"atf6 | 24C | 24hpf",10,"cohort_PC1","neuroblast (sensu Vertebrata), diencephalon (ventral)",-0.240419085787459
"atf6 | 24C | 24hpf",10,"cohort_PC2","neuroblast (sensu Vertebrata), diencephalon (ventral)",0.467885246524719
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), forebrain",0.186183867640803
"atf6 | 24C | 24hpf",10,"cohort_PC1","neuroblast (sensu Vertebrata), forebrain",0.317980381080684
"atf6 | 24C | 24hpf",10,"cohort_PC2","neuroblast (sensu Vertebrata), forebrain",1.3286307921322
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), hindbrain",0.568360926250509
"atf6 | 24C | 24hpf",10,"cohort_PC1","neuroblast (sensu Vertebrata), hindbrain",0.108830015950931
"atf6 | 24C | 24hpf",10,"cohort_PC2","neuroblast (sensu Vertebrata), hindbrain",-0.520582603334938
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), midbrain",-0.395594233760674
"atf6 | 24C | 24hpf",10,"cohort_PC1","neuroblast (sensu Vertebrata), midbrain",-0.252522728138648
"atf6 | 24C | 24hpf",10,"cohort_PC2","neuroblast (sensu Vertebrata), midbrain",0.235320591607575
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), midbrain (ank1a+)",-2.75655554211463
"atf6 | 24C | 24hpf",10,"cohort_PC1","neuroblast (sensu Vertebrata), midbrain (ank1a+)",-1.38726522579936
"atf6 | 24C | 24hpf",10,"cohort_PC2","neuroblast (sensu Vertebrata), midbrain (ank1a+)",7.01461204595911
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), rhombomere 3",-0.121670135392215
"atf6 | 24C | 24hpf",10,"cohort_PC1","neuroblast (sensu Vertebrata), rhombomere 3",-1.23056669952923
"atf6 | 24C | 24hpf",10,"cohort_PC2","neuroblast (sensu Vertebrata), rhombomere 3",-0.0886970361388701
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), spinal cord",1.77451622510284
"atf6 | 24C | 24hpf",10,"cohort_PC1","neuroblast (sensu Vertebrata), spinal cord",0.237451369367301
"atf6 | 24C | 24hpf",10,"cohort_PC2","neuroblast (sensu Vertebrata), spinal cord",0.50017999150987
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), spinal cord (pMN domain)",1.79062789849475
"atf6 | 24C | 24hpf",10,"cohort_PC1","neuroblast (sensu Vertebrata), spinal cord (pMN domain)",-0.321450213541895
"atf6 | 24C | 24hpf",10,"cohort_PC2","neuroblast (sensu Vertebrata), spinal cord (pMN domain)",-0.406438387784354
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), spinal cord (primary)",2.87140990704738
"atf6 | 24C | 24hpf",10,"cohort_PC1","neuroblast (sensu Vertebrata), spinal cord (primary)",0.171910679461839
"atf6 | 24C | 24hpf",10,"cohort_PC2","neuroblast (sensu Vertebrata), spinal cord (primary)",-0.251890210909949
"atf6 | 24C | 24hpf",10,"(Intercept)","neuroblast (sensu Vertebrata), spinal cord (SMNs)",-1.12939663823074
