"cohort","n_embryos","cell_type","term","estimate"
"atf6 | 24C | 24hpf",10,"cohort_PC2","ecto-epithelial cell, non-neural ectoderm",0.05632622622236
"atf6 | 24C | 24hpf",10,"(Intercept)","ectodermal cell, adenohypophyseal placode",2.11724821185454
"atf6 | 24C | 24hpf",10,"cohort_PC1","ectodermal cell, adenohypophyseal placode",0.0252437598238887
"atf6 | 24C | 24hpf",10,"cohort_PC2","ectodermal cell, adenohypophyseal placode",0.133814107321088
"atf6 | 24C | 24hpf",10,"(Intercept)","ectodermal cell, lateral line placode",2.35213006710054
"atf6 | 24C | 24hpf",10,"cohort_PC1","ectodermal cell, lateral line placode",-0.507212082758804
"atf6 | 24C | 24hpf",10,"cohort_PC2","ectodermal cell, lateral line placode",0.0338020245869141
"atf6 | 24C | 24hpf",10,"(Intercept)","ectodermal cell, lens vesicle",2.00594021899296
"atf6 | 24C | 24hpf",10,"cohort_PC1","ectodermal cell, lens vesicle",-0.19880230267908
"atf6 | 24C | 24hpf",10,"cohort_PC2","ectodermal cell, lens vesicle",0.201920717719616
"atf6 | 24C | 24hpf",10,"(Intercept)","ectodermal cell, otic placode",2.34880338052619
"atf6 | 24C | 24hpf",10,"cohort_PC1","ectodermal cell, otic placode",-0.0946818443900479
"atf6 | 24C | 24hpf",10,"cohort_PC2","ectodermal cell, otic placode",-0.116646523626376
"atf6 | 24C | 24hpf",10,"(Intercept)","ectodermal cell, otic vesicle protrusion",-1.20254562634085
"atf6 | 24C | 24hpf",10,"cohort_PC1","ectodermal cell, otic vesicle protrusion",-1.18135917028721
"atf6 | 24C | 24hpf",10,"cohort_PC2","ectodermal cell, otic vesicle protrusion",3.08856656125852
"atf6 | 24C | 24hpf",10,"(Intercept)","ectodermal cell, preplacodal ectoderm",3.03793424481507
"atf6 | 24C | 24hpf",10,"cohort_PC1","ectodermal cell, preplacodal ectoderm",-0.0447511332357895
"atf6 | 24C | 24hpf",10,"cohort_PC2","ectodermal cell, preplacodal ectoderm",-0.0694454614735986
"atf6 | 24C | 24hpf",10,"(Intercept)","ectodermal cell, preplacodal ectoderm (10 hpf)",-8.24039391173186
"atf6 | 24C | 24hpf",10,"cohort_PC1","ectodermal cell, preplacodal ectoderm (10 hpf)",-7.61075488107095
"atf6 | 24C | 24hpf",10,"cohort_PC2","ectodermal cell, preplacodal ectoderm (10 hpf)",16.8863143699723
"atf6 | 24C | 24hpf",10,"(Intercept)","ectodermal cell, spinal cord neural plate (neural plate border)",-1.94997325015712
"atf6 | 24C | 24hpf",10,"cohort_PC1","ectodermal cell, spinal cord neural plate (neural plate border)",-1.4456824418096
"atf6 | 24C | 24hpf",10,"cohort_PC2","ectodermal cell, spinal cord neural plate (neural plate border)",4.01409876100823
"atf6 | 24C | 24hpf",10,"(Intercept)","endodermal cell, early pharyngeal endoderm",2.65231969172442
"atf6 | 24C | 24hpf",10,"cohort_PC1","endodermal cell, early pharyngeal endoderm",-0.38166032269979
