pair,genotype,n_embryos,n_timepoints,time_range_hpf,mean_surface_area_um,std_surface_area_um
b9d2_pair_2,b9d2_wildtype,9,1191,11.0-96.7,928571.3890784215,232779.34750743667
b9d2_pair_2,b9d2_heterozygous,11,1409,11.0-96.7,952066.432100284,264908.519096608
b9d2_pair_2,b9d2_homozygous,8,1195,11.0-96.7,954193.0389731381,244187.08798303345
b9d2_pair_4,b9d2_wildtype,2,331,11.0-96.7,954032.1773954683,221542.96165859545
b9d2_pair_4,b9d2_heterozygous,2,69,11.0-28.9,587915.726857971,196639.1144288795
b9d2_pair_8,b9d2_wildtype,7,762,11.0-96.7,933015.5669304463,250586.5405052292
b9d2_pair_8,b9d2_heterozygous,26,3982,11.0-96.7,956274.217926444,232323.91866013434
b9d2_pair_8,b9d2_homozygous,12,1985,11.0-96.7,969471.1041953651,239999.93269598775
