candidate,cohort_cardinality,matched_count,matched_values_json,cohort_values_without_class_json,curated_classes_unused_json
genotype,98,0,[],"[""H2B-mScarlet"", ""Uncertain"", ""ab"", ""ab-ctrl-inj"", ""ab-lmx1b"", ""ab/tbxta"", ""ab_inj_ctrl"", ""atf6"", ""b9d2_het"", ""b9d2_heterozygous"", ""b9d2_homo"", ""b9d2_homozygous"", ""b9d2_uncertain"", ""b9d2_unknown"", ""b9d2_wildtype"", ""b9d2_wt"", ""cep290_crispant"", ""cep290_het"", ""cep290_heterozygous"", ""cep290_homo"", ""cep290_homozygous"", ""cep290_homozyous"", ""cep290_unknown"", ""cep290_unkown"", ""cep290_wildtype"", ""cep290_wt"", ""crispr-inj-ctrl"", ""crispr-pbx1"", ""crispr-pbx1+4"", ""crispr-pbx4"", ""ctcf"", ""ctrl-inj"", ""foxj1a_crispant"", ""gdf3"", ""if88_ift74_crispant"", ""ift88_crispant"", ""inj-ctrl"", ""irx3a_crispant"", ""irx3a_irx5a_crispant"", ""irx3a_irx5a_irx6a_crispant"", ""irx3a_irx6a_crispant"", ""irx5a_crispant"", ""irx5a_irx6a_crispant"", ""irx6a_crispant"", ""lmx1b"", ""meox1"", ""meox1:sox1"", ""meox1:tbx5a"", ""nfatc1"", ""nfatc:gata2a"", ""noto"", ""pbx1b_crispant"", ""pbx1b_pbx4_crispant"", ""pbx4_crispant"", ""scospondin_crispant"", ""smad5"", ""smyda:smydb"", ""sox10"", ""sox10:tbx5a"", ""sspo_crispant"", ""tbx16"", ""tbx2b"", ""tbx2b:tbx2a"", ""tbx5a"", ""tbx5a-SG"", ""tbx6"", ""tbxta"", ""tbxta/ab"", ""tfap2a_cispant"", ""tfap2a_crispant"", ""tfap2a_tfap2b_cispant"", ""tfap2a_tfap2b_crispant"", ""tfap2a_tfap2c_crispant"", ""tfap2a_tfap2d_crispant"", ""tfap2a_tfap2e_crispant"", ""tfap2b_crispant"", ""tfap2b_tfap2c_crispant"", ""tfap2b_tfap2d_crispant"", ""tfap2b_tfap2e_crispant"", ""tfap2c_crispant"", ""tfap2c_tfap2d_crispant"", ""tfap2c_tfap2e_crispant"", ""tfap2d_crispant"", ""tfap2e_crispant"", ""tmem67_heterozygote"", ""tmem67_heterozygous"", ""tmem67_homozygous"", ""tmem67_unknown"", ""tmem67_wildtype"", ""uncertain"", ""wfs1a-wfs1b"", ""wik"", ""wik-ab"", ""wik-ab_ctrl_inj"", ""wik-ab_inj_ctrl"", ""wik-inj-ctrl"", ""wt-tbx16"", ""wt-tbxta""]","[""DMSO_000_13"", ""ctrl-inj_ab"", ""ethanol_100_06"", ""fgf-i_025_13"", ""fgf-i_050_13"", ""fgf-i_075_13"", ""fgf-i_100_13"", ""fgf-i_150_13"", ""gdf3_gdf3"", ""inj-ctrl_ab"", ""inj-ctrl_wik"", ""lmx1b_ab"", ""lmx1b_wik"", ""meox1:sox1_ab"", ""meox1:tbx5a_ab"", ""meox1_ab"", ""nfatc1_ab"", ""nfatc:gata2a_ab"", ""notch-i_000_06"", ""noto_noto"", ""shh-i_000_13"", ""shh-i_000_24"", ""shh-i_025_06"", ""shh-i_050_06"", ""shh-i_075_06"", ""shh-i_100_06"", ""smad5_ab"", ""smyda:smydb_ab"", ""sox10:tbx5a_ab"", ""sox10_ab"", ""tbx16_tbx16"", ""tbx2b:tbx2a_ab"", ""tbx2b_ab"", ""tbx5a_ab"", ""tbx6_ab"", ""tbxta_tbxta"", ""tgfb-i_000_13"", ""uncertain_noto"", ""uncertain_sox10-GFP"", ""uncertain_uncertain"", ""wnt-i_000_13"", ""wt_H2B-mScarlet"", ""wt_ab"", ""wt_noto"", ""wt_tbx16"", ""wt_tbx5a-SG"", ""wt_tbxta"", ""wt_wik""]"
strain,3,0,[],"[""ab"", ""b9d2_het"", ""cep290_het""]","[""DMSO_000_13"", ""ctrl-inj_ab"", ""ethanol_100_06"", ""fgf-i_025_13"", ""fgf-i_050_13"", ""fgf-i_075_13"", ""fgf-i_100_13"", ""fgf-i_150_13"", ""gdf3_gdf3"", ""inj-ctrl_ab"", ""inj-ctrl_wik"", ""lmx1b_ab"", ""lmx1b_wik"", ""meox1:sox1_ab"", ""meox1:tbx5a_ab"", ""meox1_ab"", ""nfatc1_ab"", ""nfatc:gata2a_ab"", ""notch-i_000_06"", ""noto_noto"", ""shh-i_000_13"", ""shh-i_000_24"", ""shh-i_025_06"", ""shh-i_050_06"", ""shh-i_075_06"", ""shh-i_100_06"", ""smad5_ab"", ""smyda:smydb_ab"", ""sox10:tbx5a_ab"", ""sox10_ab"", ""tbx16_tbx16"", ""tbx2b:tbx2a_ab"", ""tbx2b_ab"", ""tbx5a_ab"", ""tbx6_ab"", ""tbxta_tbxta"", ""tgfb-i_000_13"", ""uncertain_noto"", ""uncertain_sox10-GFP"", ""uncertain_uncertain"", ""wnt-i_000_13"", ""wt_H2B-mScarlet"", ""wt_ab"", ""wt_noto"", ""wt_tbx16"", ""wt_tbx5a-SG"", ""wt_tbxta"", ""wt_wik""]"
chem_perturbation,53,0,[],"[""DMSO"", ""DMSO_6"", ""Fgf_025"", ""Fgf_050"", ""Fgf_075"", ""Fgf_100"", ""Fgf_150"", ""Shh_025"", ""Shh_050"", ""Shh_075"", ""Shh_100"", ""TGFB-i"", ""Wnt-i"", ""bmp_i_11"", ""bmp_i_12"", ""bmp_i_13"", ""bmp_i_13_13"", ""bmp_i_14"", ""dmso"", ""ethanol_ctrl"", ""fgf_i_13"", ""hsp90"", ""hsp90_i_6"", ""mTOR_i_6"", ""mTor"", ""nfkb_i_6"", ""notch-i"", ""notch_i_6"", ""pi3k_hi_i_6"", ""pi3k_i_6"", ""pi3k_lo_i_6"", ""ra_hi_i_6"", ""ra_i_6"", ""ra_lo_i_6"", ""shh_i_13"", ""shh_i_24"", ""shh_i_6"", ""sphase_i_13"", ""tgfb_hi_i_6"", ""tgfb_i_13"", ""tgfb_lo_i_6"", ""tri_0"", ""tri_1-15"", ""tri_1-20"", ""tri_1-25"", ""tri_1-30"", ""tri_1-35"", ""tri_1-40"", ""wnt_i_11"", ""wnt_i_12"", ""wnt_i_13"", ""wnt_i_13_13"", ""wnt_i_14""]","[""DMSO_000_13"", ""ctrl-inj_ab"", ""ethanol_100_06"", ""fgf-i_025_13"", ""fgf-i_050_13"", ""fgf-i_075_13"", ""fgf-i_100_13"", ""fgf-i_150_13"", ""gdf3_gdf3"", ""inj-ctrl_ab"", ""inj-ctrl_wik"", ""lmx1b_ab"", ""lmx1b_wik"", ""meox1:sox1_ab"", ""meox1:tbx5a_ab"", ""meox1_ab"", ""nfatc1_ab"", ""nfatc:gata2a_ab"", ""notch-i_000_06"", ""noto_noto"", ""shh-i_000_13"", ""shh-i_000_24"", ""shh-i_025_06"", ""shh-i_050_06"", ""shh-i_075_06"", ""shh-i_100_06"", ""smad5_ab"", ""smyda:smydb_ab"", ""sox10:tbx5a_ab"", ""sox10_ab"", ""tbx16_tbx16"", ""tbx2b:tbx2a_ab"", ""tbx2b_ab"", ""tbx5a_ab"", ""tbx6_ab"", ""tbxta_tbxta"", ""tgfb-i_000_13"", ""uncertain_noto"", ""uncertain_sox10-GFP"", ""uncertain_uncertain"", ""wnt-i_000_13"", ""wt_H2B-mScarlet"", ""wt_ab"", ""wt_noto"", ""wt_tbx16"", ""wt_tbx5a-SG"", ""wt_tbxta"", ""wt_wik""]"
genotype_map_orig,3,0,[],"[""tbxta"", ""tbxta/wik"", ""wik""]","[""DMSO_000_13"", ""ctrl-inj_ab"", ""ethanol_100_06"", ""fgf-i_025_13"", ""fgf-i_050_13"", ""fgf-i_075_13"", ""fgf-i_100_13"", ""fgf-i_150_13"", ""gdf3_gdf3"", ""inj-ctrl_ab"", ""inj-ctrl_wik"", ""lmx1b_ab"", ""lmx1b_wik"", ""meox1:sox1_ab"", ""meox1:tbx5a_ab"", ""meox1_ab"", ""nfatc1_ab"", ""nfatc:gata2a_ab"", ""notch-i_000_06"", ""noto_noto"", ""shh-i_000_13"", ""shh-i_000_24"", ""shh-i_025_06"", ""shh-i_050_06"", ""shh-i_075_06"", ""shh-i_100_06"", ""smad5_ab"", ""smyda:smydb_ab"", ""sox10:tbx5a_ab"", ""sox10_ab"", ""tbx16_tbx16"", ""tbx2b:tbx2a_ab"", ""tbx2b_ab"", ""tbx5a_ab"", ""tbx6_ab"", ""tbxta_tbxta"", ""tgfb-i_000_13"", ""uncertain_noto"", ""uncertain_sox10-GFP"", ""uncertain_uncertain"", ""wnt-i_000_13"", ""wt_H2B-mScarlet"", ""wt_ab"", ""wt_noto"", ""wt_tbx16"", ""wt_tbx5a-SG"", ""wt_tbxta"", ""wt_wik""]"
orig_genotype,4,0,[],"[""Uncertain"", ""tbx16"", ""wik"", ""wik/tbx16""]","[""DMSO_000_13"", ""ctrl-inj_ab"", ""ethanol_100_06"", ""fgf-i_025_13"", ""fgf-i_050_13"", ""fgf-i_075_13"", ""fgf-i_100_13"", ""fgf-i_150_13"", ""gdf3_gdf3"", ""inj-ctrl_ab"", ""inj-ctrl_wik"", ""lmx1b_ab"", ""lmx1b_wik"", ""meox1:sox1_ab"", ""meox1:tbx5a_ab"", ""meox1_ab"", ""nfatc1_ab"", ""nfatc:gata2a_ab"", ""notch-i_000_06"", ""noto_noto"", ""shh-i_000_13"", ""shh-i_000_24"", ""shh-i_025_06"", ""shh-i_050_06"", ""shh-i_075_06"", ""shh-i_100_06"", ""smad5_ab"", ""smyda:smydb_ab"", ""sox10:tbx5a_ab"", ""sox10_ab"", ""tbx16_tbx16"", ""tbx2b:tbx2a_ab"", ""tbx2b_ab"", ""tbx5a_ab"", ""tbx6_ab"", ""tbxta_tbxta"", ""tgfb-i_000_13"", ""uncertain_noto"", ""uncertain_sox10-GFP"", ""uncertain_uncertain"", ""wnt-i_000_13"", ""wt_H2B-mScarlet"", ""wt_ab"", ""wt_noto"", ""wt_tbx16"", ""wt_tbx5a-SG"", ""wt_tbxta"", ""wt_wik""]"
genotype__strain,25,1,"[""inj-ctrl_ab""]","[""ab_ab"", ""atf6_ab"", ""b9d2_het_b9d2_het"", ""b9d2_homo_b9d2_het"", ""b9d2_uncertain_b9d2_het"", ""b9d2_unknown_b9d2_het"", ""b9d2_wt_b9d2_het"", ""cep290_het_cep290_het"", ""cep290_homo_cep290_het"", ""cep290_unknown_cep290_het"", ""cep290_wt_cep290_het"", ""ctcf_ab"", ""foxj1a_crispant_ab"", ""ift88_crispant_ab"", ""irx3a_crispant_ab"", ""irx3a_irx5a_crispant_ab"", ""irx3a_irx5a_irx6a_crispant_ab"", ""irx3a_irx6a_crispant_ab"", ""irx5a_crispant_ab"", ""irx5a_irx6a_crispant_ab"", ""irx6a_crispant_ab"", ""sspo_crispant_ab"", ""uncertain_cep290_het"", ""wfs1a-wfs1b_ab""]","[""DMSO_000_13"", ""ctrl-inj_ab"", ""ethanol_100_06"", ""fgf-i_025_13"", ""fgf-i_050_13"", ""fgf-i_075_13"", ""fgf-i_100_13"", ""fgf-i_150_13"", ""gdf3_gdf3"", ""inj-ctrl_wik"", ""lmx1b_ab"", ""lmx1b_wik"", ""meox1:sox1_ab"", ""meox1:tbx5a_ab"", ""meox1_ab"", ""nfatc1_ab"", ""nfatc:gata2a_ab"", ""notch-i_000_06"", ""noto_noto"", ""shh-i_000_13"", ""shh-i_000_24"", ""shh-i_025_06"", ""shh-i_050_06"", ""shh-i_075_06"", ""shh-i_100_06"", ""smad5_ab"", ""smyda:smydb_ab"", ""sox10:tbx5a_ab"", ""sox10_ab"", ""tbx16_tbx16"", ""tbx2b:tbx2a_ab"", ""tbx2b_ab"", ""tbx5a_ab"", ""tbx6_ab"", ""tbxta_tbxta"", ""tgfb-i_000_13"", ""uncertain_noto"", ""uncertain_sox10-GFP"", ""uncertain_uncertain"", ""wnt-i_000_13"", ""wt_H2B-mScarlet"", ""wt_ab"", ""wt_noto"", ""wt_tbx16"", ""wt_tbx5a-SG"", ""wt_tbxta"", ""wt_wik""]"
