experiment_id,path,present,readable,row_count,schema_id,columns_json,error
20260702_hotchem_24hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_24hpf_plate01/snip_qc/20260702_hotchem_24hpf_plate01_snip_qc.parquet,True,True,104.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260702_hotchem_24hpf_plate02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_24hpf_plate02/snip_qc/20260702_hotchem_24hpf_plate02_snip_qc.parquet,True,True,117.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260702_hotchem_30hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_30hpf_plate01/snip_qc/20260702_hotchem_30hpf_plate01_snip_qc.parquet,True,True,124.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260702_hotchem_30hpf_plate02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_30hpf_plate02/snip_qc/20260702_hotchem_30hpf_plate02_snip_qc.parquet,True,True,107.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260702_hotchem_36hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_36hpf_plate01/snip_qc/20260702_hotchem_36hpf_plate01_snip_qc.parquet,True,True,101.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260702_hotchem_36hpf_plate02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260702_hotchem_36hpf_plate02/snip_qc/20260702_hotchem_36hpf_plate02_snip_qc.parquet,True,True,99.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260320_cilia_crispant_48hpf,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260320_cilia_crispant_48hpf/snip_qc/20260320_cilia_crispant_48hpf_snip_qc.parquet,False,False,,,[],
20260324_cep290_18hpf_24hpf_plate02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_18hpf_24hpf_plate02/snip_qc/20260324_cep290_18hpf_24hpf_plate02_snip_qc.parquet,False,False,,,[],
20260324_cep290_18hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_18hpf_plate01/snip_qc/20260324_cep290_18hpf_plate01_snip_qc.parquet,False,False,,,[],
20260324_cep290_24hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_24hpf_plate01/snip_qc/20260324_cep290_24hpf_plate01_snip_qc.parquet,True,True,101.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260324_cep290_24hpf_plate02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_24hpf_plate02/snip_qc/20260324_cep290_24hpf_plate02_snip_qc.parquet,True,True,101.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260324_cep290_30hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_30hpf_plate01/snip_qc/20260324_cep290_30hpf_plate01_snip_qc.parquet,True,True,98.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260324_cep290_30hpf_plate02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260324_cep290_30hpf_plate02/snip_qc/20260324_cep290_30hpf_plate02_snip_qc.parquet,True,True,72.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260331_b9d2_18hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260331_b9d2_18hpf_plate01/snip_qc/20260331_b9d2_18hpf_plate01_snip_qc.parquet,False,False,,,[],
20260331_b9d2_18hpf_plate02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260331_b9d2_18hpf_plate02/snip_qc/20260331_b9d2_18hpf_plate02_snip_qc.parquet,True,True,70.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260414_b9d2_14hpf_plate01,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260414_b9d2_14hpf_plate01/snip_qc/20260414_b9d2_14hpf_plate01_snip_qc.parquet,True,True,107.0,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",
20260414_b9d2_14hpf_plate02,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20260414_b9d2_14hpf_plate02/snip_qc/20260414_b9d2_14hpf_plate02_snip_qc.parquet,False,False,,,[],
