experiment_id,sample_n,mean_p05,mean_median,mean_p95,std_p05,std_median,std_p95,min_p05,min_median,min_p95,max_p05,max_median,max_p95,saturated_255_fraction_p05,saturated_255_fraction_median,saturated_255_fraction_p95,zero_fraction_p05,zero_fraction_median,zero_fraction_p95
20230531,200,18.828030734592016,28.574293348524307,36.41760559082031,13.5698464687875,39.53140842993818,51.44096565431415,0.0,1.0,5.0,226.95,254.0,255.0,0.0,0.0,0.00042385525173611,0.0,0.0,0.0008277045355902753
20230602,200,16.04302062988281,23.882425944010414,34.89049919976129,16.054032318350956,39.037019136514594,53.22600858224227,0.0,0.0,0.0,185.20000000000002,254.0,255.0,0.0,0.0,0.000512017144097221,2.0345052083333332e-05,0.002112494574652778,0.016582573784722224
20230613,200,17.94859347873264,25.857560899522568,32.17239210340711,17.486549093111044,39.01578719879123,48.50724435940372,0.0,0.0,0.0,218.85,254.0,255.0,0.0,0.0,0.0002719455295138887,2.712673611111111e-05,0.003489176432291667,0.011434597439236112
20230615,200,17.754915703667535,24.21575927734375,31.145980834960938,23.872680241961074,35.837647451298416,45.59409654404478,0.0,0.0,0.0,248.0,254.0,255.0,0.0,0.0,0.00014275444878472212,6.103515625e-05,0.0015936957465277778,0.011690266927083318
20230620,200,19.511133151584204,26.129370795355904,76.18873460557725,29.168140657832847,41.18435882855741,59.82791353621235,0.0,0.0,0.0,233.95,254.0,255.0,0.0,0.0,0.00017869737413194362,0.00016886393229166666,0.0019327799479166665,0.011618381076388889
20230622,200,18.27867262098524,24.56432088216146,48.87947489420567,24.572388431221597,39.7515188256208,56.98266371014019,0.0,0.0,0.0,250.95,254.0,255.0,0.0,0.0,0.00034654405381944424,0.0007171630859375001,0.004197862413194444,0.012219577365451387
20230627,200,9.665969848632812,18.678178575303818,25.949979315863708,11.171479909360785,39.22288153740885,50.553327009658794,0.0,0.0,1.0,201.95,254.0,255.0,0.0,0.0,0.00011528862847222222,0.0,0.0026075575086805555,0.025715806749131938
20230629,200,14.840284559461807,20.85040961371528,28.389892239040798,10.098113001245585,37.980442239697666,48.7241645551331,0.0,0.0,3.0,179.0,254.0,255.0,0.0,0.0,0.0003726535373263867,0.0,0.0005967881944444445,0.011923895941840252
20230831,65,21.8504150390625,28.27862548828125,35.59214680989583,46.171221563241126,50.38509827285809,54.239103890228904,0.0,0.0,2.0,254.0,255.0,255.0,0.0,4.7471788194444445e-05,0.0011338975694444437,0.0,0.00035942925347222225,0.0540432400173611
20231110,200,16.235897488064236,23.85867648654514,31.878774007161454,11.787314408796735,36.506065185101605,48.9141437460388,0.0,3.0,6.0,196.5,255.0,255.0,0.0,6.781684027777777e-06,0.0016554090711805552,0.0,0.0,0.0001505533854166662
20231206,200,18.010823906792535,28.101521809895836,48.2320020887577,13.685008133312976,43.14229786664728,57.57838827813781,0.0,0.0,8.0,220.95,255.0,255.0,0.0,6.781684027777777e-06,0.0005306667751736105,0.0,0.00035603841145833337,0.016938612196180553
20231218,200,23.17130093044705,28.86471896701389,36.62924126519096,20.79033565014061,39.74914516850694,49.74996285186743,0.0,2.0,8.049999999999983,227.85,255.0,255.0,0.0,6.781684027777777e-06,0.00025126139322916653,0.0,0.0,2.0684136284722105e-05
20240306,200,15.93338589138455,27.501634385850693,35.56311679416232,5.218186668936089,43.37326098058266,51.4631340345653,0.0,1.0,6.0,208.0,255.0,255.0,0.0,6.781684027777777e-06,0.00025329589843749915,0.0,0.0,0.00043402777777777775
20240307,200,17.614283243815102,30.440636528862846,107.37834269205729,14.699466634871113,46.27118175219299,59.03611317301034,0.0,0.0,8.0,188.9,255.0,255.0,0.0,6.781684027777777e-06,0.0017567952473958332,0.0,2.712673611111111e-05,0.0011549207899305548
20240404,200,22.640927124023438,31.756622314453125,39.106514485677074,30.462224724469184,42.823185843664504,53.30829028264872,0.0,5.0,12.0,245.95,255.0,255.0,0.0,6.781684027777777e-06,0.0003261990017361109,0.0,0.0,4.0690104166666664e-05
20240411,200,25.443922593858506,30.23218790690104,34.78617078993055,35.042116765452384,42.30893231431,49.26360592034746,0.0,3.0,9.099999999999966,254.0,255.0,255.0,0.0,6.781684027777777e-06,0.00035400390624999956,0.0,0.0,4.781087239583322e-05
20240418,200,25.76687215169271,34.19603135850694,91.30718722873262,27.755342860195334,42.99341369921527,56.10242235061932,0.0,11.0,18.0,238.85,254.0,255.0,0.0,0.0,0.0002736409505208325,0.0,0.0,4.0690104166666664e-05
20240509,200,25.96112874348958,34.93871392144097,43.18700256347655,24.129840395035963,44.2331597640266,54.809672237465115,0.0,12.0,18.0,251.85,255.0,255.0,0.0,6.781684027777777e-06,0.00024312337239582905,0.0,0.0,7.120768229166551e-06
20240509_18ss,25,20.508059353298613,22.95870632595486,26.510419379340277,33.59964038933998,35.200739169097005,37.032187920171985,0.0,3.0,10.799999999999997,253.2,255.0,255.0,0.0,6.781684027777777e-06,5.425347222222222e-05,0.0,0.0,0.0032633463541666577
20240509_24hpf,32,19.602357313368056,24.025156656901043,26.959571668836805,34.040829279864994,37.86188445920693,40.782867235193635,0.0,2.0,9.0,254.0,254.0,255.0,0.0,0.0,1.3563368055555555e-05,0.0,0.0,0.00019836425781249997
20240510,59,22.885909016927084,28.297322591145832,32.465813530815964,37.64251778171466,45.070671223065304,48.75810017658684,0.0,3.0,11.099999999999994,249.8,255.0,255.0,0.0,6.781684027777777e-06,0.00021701388888888888,0.0,0.0,0.00048014322916666057
20240522,200,23.833797878689236,33.09411960177951,42.36269938151041,20.60758789306661,42.30742447962898,56.12013464989312,2.0,12.0,17.0,249.95,255.0,255.0,0.0,6.781684027777777e-06,0.001142035590277777,0.0,0.0,0.0
20240530,200,26.975416395399307,35.361111111111114,121.95332811143662,34.84010167255039,47.566019853632156,65.64124982922729,0.0,9.0,16.0,253.0,255.0,255.0,0.0,6.781684027777777e-06,0.0004954020182291665,0.0,0.0,0.0002539740668402767
20240626,200,31.766691080729167,39.71266004774306,46.72971021864148,40.823169484931036,50.841024982572335,60.00628001371088,0.0,10.0,17.0,254.0,255.0,255.0,0.0,1.6954210069444445e-05,0.0004153781467013883,0.0,0.0,1.3563368055555555e-05
20240717,68,19.215161810980902,23.152225070529514,29.691806369357636,32.90082210960471,38.20654269752815,41.42359903666515,0.0,4.0,10.649999999999999,252.35,255.0,255.0,0.0,6.781684027777777e-06,0.00013529459635416665,0.0,0.0,0.0005137125651041661
20240718,99,24.410781521267364,29.639600965711807,118.55146348741319,39.83748953642211,45.48213854832548,72.04076128305935,0.0,4.0,12.0,254.0,255.0,255.0,0.0,1.3563368055555555e-05,0.0008768717447916651,0.0,0.0,0.0004964192708333325
20240724,56,20.051815456814236,23.72850884331597,26.743965996636284,36.35387891622989,38.36675830281892,39.681147817377855,0.0,4.0,10.0,254.0,254.0,255.0,0.0,0.0,8.985731336805556e-05,0.0,0.0,0.0005171034071180555
20240725,64,19.01747572157118,28.736891004774307,36.890839640299475,27.372129229909433,46.63938163983967,49.5119383858473,0.0,3.0,8.0,251.45,255.0,255.0,0.0,1.3563368055555555e-05,0.00030890570746527766,0.0,0.0,0.0017903645833333317
20240726,60,25.996102566189236,32.81823052300347,37.12293836805555,43.9622529567899,50.61241770296274,54.868607522861915,0.0,1.0,9.0,254.0,255.0,255.0,0.0,2.712673611111111e-05,0.0014492458767361108,0.0,0.0,0.0007483588324652776
20240812,200,19.417218356662325,24.806410047743057,33.13846333821615,27.720329055709744,37.94783926215009,48.572026195027455,0.0,0.0,4.0,252.0,254.0,255.0,0.0,0.0,6.815592447916656e-05,0.0,3.729926215277778e-05,0.002989027235243049
20240813_24hpf,48,20.075546264648438,25.123246934678818,29.921925184461806,34.42358943319962,40.50304480470682,44.21280820950788,0.0,1.5,10.649999999999999,253.35,255.0,255.0,0.0,6.781684027777777e-06,0.0001671685112847222,0.0,0.0,0.0015258789062499987
20240813_30hpf,50,19.93895026312934,25.952880859375,31.785128445095484,33.9064599346105,42.43963594441714,46.789148031941515,0.0,4.0,10.549999999999997,253.0,255.0,255.0,0.0,6.781684027777777e-06,0.00011325412326388862,0.0,0.0,0.001225450303819443
20240813_36hpf,50,18.25444471571181,27.45164998372396,36.50657653808593,35.05029746342692,44.465032260874736,50.81071307573409,0.0,4.5,9.0,254.0,255.0,255.0,0.0,6.781684027777777e-06,9.629991319444436e-05,0.0,0.0,0.0005076090494791661
20241022,200,27.747711520724827,31.27524142795139,35.88927544487847,28.388423959764634,35.287439568882846,42.9653926907162,0.0,14.0,21.0,249.8,255.0,255.0,0.0,6.781684027777777e-06,0.00015021430121527743,0.0,0.0,2.0345052083333332e-05
20241023,200,28.18921576605903,36.74708048502604,43.09019741482204,26.933782226096437,43.64076315034818,51.176579106676,0.0,4.0,22.0,252.0,255.0,255.0,0.0,6.781684027777777e-06,0.0001430935329861109,0.0,0.0,2.7465820312499882e-05
20250126,200,24.383308580186632,28.913272433810764,91.96880187988278,32.61403558513074,40.17546308903468,49.58136480778024,0.0,9.0,15.0,253.0,255.0,255.0,0.0,1.3563368055555555e-05,0.0022840711805555513,0.0,0.0,4.0690104166666664e-05
20250215,200,20.961375935872397,23.91002400716146,30.298310343424472,27.81892189620735,34.443258596763414,42.75423365533266,0.0,5.0,12.0,250.95,254.0,255.0,0.0,0.0,0.000115627712673611,0.0,0.0,1.3563368055555555e-05
20250305,200,23.38053690592448,33.173428005642364,41.16636623806422,28.502594351266676,46.31688853062899,53.840814670623004,0.0,2.0,7.0,254.0,255.0,255.0,0.0,1.3563368055555555e-05,0.0006405300564236101,0.0,0.0,4.781087239583322e-05
20250415,200,21.473680284288196,25.24203152126736,73.49036017523859,25.325513203611163,34.085125852012546,48.635773679847155,0.0,0.0,9.0,246.9,254.0,255.0,0.0,0.0,9.528266059027767e-05,0.0,6.103515625e-05,0.0027686225043402775
20250425,200,20.903638373480906,28.213663736979168,48.73314954969617,9.122682137139817,36.05746288753953,66.83478703172804,2.950000000000001,13.0,17.0,217.8,255.0,255.0,0.0,6.781684027777777e-06,0.001777479383680553,0.0,0.0,0.0
20250501,200,31.067971123589412,50.78669230143229,119.01426832411023,40.84794163438678,56.64608788161856,74.40308043945704,0.0,9.0,19.0,252.0,255.0,255.0,0.0,6.781684027777777e-06,0.0010084364149305538,0.0,0.0,8.138020833333333e-05
20250512,200,21.61563686794705,27.08289252387153,101.49574347601995,26.588103154148175,38.57441292599557,53.485404471754904,0.0,6.0,13.0,250.0,255.0,255.0,0.0,1.3563368055555555e-05,0.0031575520833333317,0.0,0.0,8.816189236111111e-05
20250515_part2,200,26.63513590494792,45.34105088975694,51.04434238009983,18.783592812979467,57.7502744204327,65.12908701158203,0.0,11.0,16.0,218.95,255.0,255.0,0.0,6.781684027777777e-06,0.0006513807508680554,0.0,0.0,2.7465820312499882e-05
