experiment_id,source,path,present,readable,row_count,error,schema_id,columns_json,reference_experiment,added_vs_reference,missing_vs_reference
20240813_24hpf,inventory,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/object_extraction/20240813_24hpf/snips/20240813_24hpf_snip_inventory.csv,True,True,48.0,,I01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""mask_id"", ""track_id"", ""image_path"", ""processed_snip_path"", ""embryo_mask"", ""embryo_mask_snip_path"", ""crop_x_min_px"", ""crop_y_min_px"", ""crop_x_max_px"", ""crop_y_max_px"", ""crop_width_px"", ""crop_height_px"", ""is_valid_snip"", ""error_message""]",20260724_hotfish_36hpf_plate02,[],[]
20240813_24hpf,stage,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/feature_extraction/20240813_24hpf/stage_predictions/20240813_24hpf_stage_predictions.csv,True,True,48.0,,S01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""predicted_stage_hpf"", ""model_version"", ""stage_prediction_status""]",20260724_hotfish_36hpf_plate01,[],[]
20240813_24hpf,qc,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20240813_24hpf/snip_qc/20240813_24hpf_snip_qc.parquet,True,True,48,,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",20260724_hotfish_36hpf_plate01,[],[]
20240813_24hpf,plate,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/acquisition/20240813_24hpf/ingest_metadata/plate_metadata.csv,True,True,96.0,,P03,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""image_to_hash_plate_num"", ""hash_to_image_map"", ""qc"", ""morph_seq_qc"", ""experiment_id"", ""well_id""]",20260724_hotfish_36hpf_plate01,"[""embryos_per_well"", ""hash_to_image_map"", ""image_to_hash_plate_num"", ""mold_type"", ""morph_seq_qc""]","[""hash_plate_num"", ""image_notes"", ""image_to_hash_map"", ""sequenced"", ""start_stage_hpf""]"
20240813_30hpf,inventory,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/object_extraction/20240813_30hpf/snips/20240813_30hpf_snip_inventory.csv,True,True,50.0,,I01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""mask_id"", ""track_id"", ""image_path"", ""processed_snip_path"", ""embryo_mask"", ""embryo_mask_snip_path"", ""crop_x_min_px"", ""crop_y_min_px"", ""crop_x_max_px"", ""crop_y_max_px"", ""crop_width_px"", ""crop_height_px"", ""is_valid_snip"", ""error_message""]",20260724_hotfish_36hpf_plate02,[],[]
20240813_30hpf,stage,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/feature_extraction/20240813_30hpf/stage_predictions/20240813_30hpf_stage_predictions.csv,True,True,50.0,,S01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""predicted_stage_hpf"", ""model_version"", ""stage_prediction_status""]",20260724_hotfish_36hpf_plate01,[],[]
20240813_30hpf,qc,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20240813_30hpf/snip_qc/20240813_30hpf_snip_qc.parquet,True,True,50,,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",20260724_hotfish_36hpf_plate01,[],[]
20240813_30hpf,plate,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/acquisition/20240813_30hpf/ingest_metadata/plate_metadata.csv,True,True,96.0,,P03,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""image_to_hash_plate_num"", ""hash_to_image_map"", ""qc"", ""morph_seq_qc"", ""experiment_id"", ""well_id""]",20260724_hotfish_36hpf_plate01,"[""embryos_per_well"", ""hash_to_image_map"", ""image_to_hash_plate_num"", ""mold_type"", ""morph_seq_qc""]","[""hash_plate_num"", ""image_notes"", ""image_to_hash_map"", ""sequenced"", ""start_stage_hpf""]"
20240813_36hpf,inventory,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/object_extraction/20240813_36hpf/snips/20240813_36hpf_snip_inventory.csv,True,True,50.0,,I01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""mask_id"", ""track_id"", ""image_path"", ""processed_snip_path"", ""embryo_mask"", ""embryo_mask_snip_path"", ""crop_x_min_px"", ""crop_y_min_px"", ""crop_x_max_px"", ""crop_y_max_px"", ""crop_width_px"", ""crop_height_px"", ""is_valid_snip"", ""error_message""]",20260724_hotfish_36hpf_plate02,[],[]
20240813_36hpf,stage,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/feature_extraction/20240813_36hpf/stage_predictions/20240813_36hpf_stage_predictions.csv,True,True,50.0,,S01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""image_id"", ""time_index"", ""channel_id"", ""predicted_stage_hpf"", ""model_version"", ""stage_prediction_status""]",20260724_hotfish_36hpf_plate01,[],[]
20240813_36hpf,qc,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/quality_control/20240813_36hpf/snip_qc/20240813_36hpf_snip_qc.parquet,True,True,50,,Q01,"[""experiment_id"", ""well_id"", ""physical_embryo_id"", ""embryo_id"", ""snip_id"", ""persistence_dead_flag"", ""viability_dead_flag"", ""focus_flag"", ""focus_qc_applicability"", ""discontinuous_mask_flag"", ""edge_flag"", ""overlapping_mask_flag"", ""motion_blur_flag"", ""motion_blur_qc_applicability"", ""sa_outlier_flag"", ""surface_area_qc_applicability"", ""use_snip"", ""qc_fail_reasons""]",20260724_hotfish_36hpf_plate01,[],[]
20240813_36hpf,plate,/media/nick/gs_cluster/projects/data/morphseq/pipeline/output/acquisition/20240813_36hpf/ingest_metadata/plate_metadata.csv,True,True,96.0,,P03,"[""well_index"", ""medium"", ""mold_type"", ""genotype"", ""chem_perturbation"", ""start_age_hpf"", ""embryos_per_well"", ""temperature"", ""image_to_hash_plate_num"", ""hash_to_image_map"", ""qc"", ""morph_seq_qc"", ""experiment_id"", ""well_id""]",20260724_hotfish_36hpf_plate01,"[""embryos_per_well"", ""hash_to_image_map"", ""image_to_hash_plate_num"", ""mold_type"", ""morph_seq_qc""]","[""hash_plate_num"", ""image_notes"", ""image_to_hash_map"", ""sequenced"", ""start_stage_hpf""]"
