pair,genotype,n_embryos,n_timepoints,time_range_hpf,mean_total_length_um,std_total_length_um
b9d2_pair_2,b9d2_wildtype,9,1191,11.0-96.7,2192.662023070954,890.6923114655448
b9d2_pair_2,b9d2_heterozygous,11,1409,11.0-96.7,2174.38247548112,856.8993322709902
b9d2_pair_2,b9d2_homozygous,8,1195,11.0-96.7,2189.4197465380144,853.8229846262991
b9d2_pair_4,b9d2_wildtype,2,331,11.0-96.7,2248.6125226290765,813.1294148218927
b9d2_pair_4,b9d2_heterozygous,2,69,11.0-28.9,752.182499709934,606.3648689722215
b9d2_pair_8,b9d2_wildtype,7,761,11.0-96.7,1977.9328058548017,830.043094572826
b9d2_pair_8,b9d2_heterozygous,26,3982,11.0-96.7,1923.0893226568755,727.9058119788845
b9d2_pair_8,b9d2_homozygous,12,1985,11.0-96.7,1946.2532635030489,720.797954605976
