"contrast","arm","n_embryos","n_crispant","n_dropped","n_cell_types","t_observed","t_null_mean","t_null_sd","t_std","p_global","d_shrunk","n_hits_q10","n_hits_q05","max_abs_logfc"
"atf6 vs ctrl | 28C | 30hpf","hinge_z",23,11,0,41,102.389285590838,40.9988211009354,12.2052495997172,5.02984097034154,0.000999500249875062,5.50532699939019,12,12,1.11821016900723
"atf6 vs ctrl | 28C | 30hpf","s_within_control",23,11,0,41,43.1305804174859,40.9993588829005,8.1760437829579,0.260666600028206,0.380809595202399,4.11621238353115,0,0,0.6414171130913
"atf6 vs ctrl | 28C | 30hpf","s_within_crispant",23,11,0,41,68.570040862481,40.9945599376753,13.1299065695694,2.1002038954882,0.039480259870065,4.05337516766782,9,6,0.951062176406667
"atf6 vs ctrl | 28C | 30hpf","escaper_vs_control",19,7,0,41,96.858497860152,40.9992842833965,10.174447975836,5.49014685705007,0.000499750124937531,5.46705202746487,5,5,1.02591672836874
"atf6 vs ctrl | 28C | 30hpf","severe_vs_control",16,4,0,41,129.329739239019,40.9954984769119,11.7783116840526,7.49973707027201,0.000999500249875062,5.14285494734807,19,18,2.69811429331823
"atf6 vs ctrl | 28C | 30hpf","severe_vs_escaper",11,4,0,41,62.1615285794541,40.9922865420513,12.7566901476352,1.65946196014859,0.0644677661169415,3.9577866570781,5,3,2.08992051542582
"atf6 vs ctrl | 28C | 36hpf","binary_z",21,10,0,63,166.046707594411,63.0013879793388,20.4306688303428,5.04365865213544,0.00249875062468766,5.78209261477589,19,15,0.759478587234985
"atf6 vs ctrl | 28C | 36hpf","s_z",21,10,0,63,75.6412588576565,62.9922050294607,19.0089358262743,0.665426720559081,0.203398300849575,5.25787327452492,0,0,0.53812761043591
"atf6 vs ctrl | 28C | 36hpf","hinge_z",21,10,0,63,75.657553228797,63.0178412457871,19.5779541666257,0.645609437811263,0.2063968015992,5.1753222912775,0,0,0.560880132761959
"atf6 vs ctrl | 28C | 36hpf","s_within_control",21,10,0,63,56.6918640065605,62.9983721098799,12.2356825605186,-0.515419395046164,0.666166916541729,3.99633238140059,0,0,0.557755316542766
"atf6 vs ctrl | 28C | 36hpf","s_within_crispant",21,10,0,63,37.9093219130089,62.9819158485202,22.1974778611223,-1.12952444833495,0.944527736131934,3.76678683517563,0,0,0.299485824477481
"atf6 vs ctrl | 28C | 36hpf","escaper_vs_control",17,6,0,63,150.421337915561,63.0153309546243,17.9274230228122,4.87554774881558,0.00149925037481259,5.29743596964236,13,10,2.03875134577844
"atf6 vs ctrl | 28C | 36hpf","severe_vs_control",15,4,0,63,108.20047712466,62.9937117577498,17.8297549553073,2.53546756420529,0.0259870064967516,4.8563287371017,5,3,1.04703410150336
"atf6 vs ctrl | 28C | 36hpf","severe_vs_escaper",10,4,0,63,53.6136010699116,62.9795402340148,18.9313068949391,-0.494732836780905,0.609695152423788,4.01966773153839,0,0,1.11241438192687
"atf6 vs ctrl | 34C | 24hpf","binary_z",24,12,0,45,103.915528306022,45.0051684364411,12.9879757700211,4.53576145449531,0.00199900049975012,5.46730878990429,9,7,0.449371669559643
"atf6 vs ctrl | 34C | 24hpf","s_z",24,12,0,45,45.4487708333449,45.0052560055572,13.6690789768257,0.0324465773107078,0.415292353823088,4.87243747309855,0,0,0.355041127008318
"atf6 vs ctrl | 34C | 24hpf","hinge_z",24,12,0,45,54.446652368447,45.0006873286282,13.9312445936952,0.678041719552733,0.203898050974513,4.87666080068315,4,0,0.434022810209603
"atf6 vs ctrl | 34C | 24hpf","s_within_control",24,12,0,45,38.7909261359467,44.9932543928161,9.50463147186623,-0.652558521098719,0.731634182908546,4.04201277434554,0,0,0.396970720499342
"atf6 vs ctrl | 34C | 24hpf","s_within_crispant",24,12,0,45,32.8729455403329,44.9952099993395,13.1322430387627,-0.923091692959465,0.835082458770615,3.93230072001534,0,0,0.278519025464738
"atf6 vs ctrl | 34C | 24hpf","escaper_vs_control",16,4,0,45,63.8642198260243,44.9924004480766,11.686088777715,1.61489611596445,0.0689655172413793,4.47350278325435,5,2,0.999807447085628
"atf6 vs ctrl | 34C | 24hpf","severe_vs_control",20,8,0,45,86.553547223609,45.0179938720976,13.0641315243829,3.17935817424903,0.0119940029985007,5.10319742803754,9,5,0.9402681649318
"atf6 vs ctrl | 34C | 24hpf","severe_vs_escaper",12,8,0,45,39.3552538750517,45.0036544473613,12.810978716917,-0.440903126694831,0.625187406296852,4.06700687893036,0,0,0.529204392538009
"atf6 vs ctrl | 34C | 30hpf","binary_z",23,11,1,54,128.542533138275,53.9949014183994,13.7004748337434,5.4412443820027,0.000499750124937531,5.72621805505069,2,2,0.514727766285949
"atf6 vs ctrl | 34C | 30hpf","s_z",23,11,1,54,103.510056474115,54.000544837777,13.2229641307275,3.74420675628152,0.000499750124937531,5.69407408753831,10,9,1.0382931296165
"atf6 vs ctrl | 34C | 30hpf","hinge_z",23,11,1,54,99.6324582752453,54.0170177259088,13.9010491033765,3.28143870366279,0.00249875062468766,5.85843503919898,10,10,1.21921151257025
"atf6 vs ctrl | 34C | 30hpf","s_within_control",23,11,1,54,80.8012441181678,54.016037224373,11.3996233212913,2.34965718944131,0.0439780109945027,4.45383791660858,0,0,1.24407668232652
"atf6 vs ctrl | 34C | 30hpf","s_within_crispant",23,11,1,54,70.6566700728246,53.9907384743957,12.0378376769899,1.38446223031279,0.0939530234882559,3.94627022445877,11,4,1.96067238676334
"atf6 vs ctrl | 34C | 30hpf","escaper_vs_control",22,10,1,54,113.618296020637,53.992252411915,13.6121681388832,4.38034874388601,0.00199900049975012,5.58985844680605,2,0,0.858608322685528
"atf6 vs ctrl | 34C | 36hpf","binary_z",22,10,1,85,305.274644443816,84.9707363762188,27.4061223042607,8.03849248068735,0.000499750124937531,6.01549182324287,29,23,1.07155009787648
"atf6 vs ctrl | 34C | 36hpf","s_z",22,10,1,85,402.036778677275,85.0005798052669,28.9960568690454,10.9337693847076,0.000499750124937531,6.00877625116495,50,43,1.47567715457159
"atf6 vs ctrl | 34C | 36hpf","hinge_z",22,10,1,85,402.468683766413,84.9978308661156,27.9736401140738,11.3489289061303,0.000499750124937531,6.1737749352272,51,45,1.58351432848069
"atf6 vs ctrl | 34C | 36hpf","s_within_control",22,10,1,85,111.360087285871,84.9823187000881,13.3871422816517,1.97038083489526,0.0364817591204398,4.51177040624373,0,0,0.852753599597918
