"contrast","arm","n_embryos","n_crispant","n_dropped","n_cell_types","t_observed","t_null_mean","t_null_sd","t_std","p_global","d_shrunk","n_hits_q10","n_hits_q05","max_abs_logfc"
"ctcf vs ctrl | 34C | 30hpf","severe_vs_control",20,8,1,54,302.186761631694,53.9947486343991,23.6050949640211,10.5143407970012,0.000499750124937531,5.9094678041832,37,34,4.6690974327786
"ctcf vs ctrl | 34C | 36hpf","binary_z",23,11,0,87,484.976434564713,87.0065089280182,39.5242449402543,10.0690076746128,0.000999500249875062,6.40841805646049,52,43,1.21807110520386
"ctcf vs ctrl | 34C | 36hpf","s_z",23,11,0,87,406.039349666362,86.9702397478335,35.8808618971721,8.89245946301181,0.000499750124937531,5.95929616173447,60,53,2.32402471303153
"ctcf vs ctrl | 34C | 36hpf","hinge_z",23,11,0,87,395.348052825802,87.0602671869047,34.9995912462535,8.80832531642489,0.000499750124937531,6.04366187668749,58,54,2.55789085959645
"ctcf vs ctrl | 34C | 36hpf","s_within_control",23,11,0,87,71.5520072277316,87.0168665251383,14.3691195108636,-1.07625657130311,0.870064967516242,4.41352316568462,0,0,1.7904720855744
"ctcf vs ctrl | 34C | 36hpf","s_within_crispant",23,11,0,87,172.381622423498,87.0051482167421,40.5969671144875,2.10302592225636,0.0514742628685657,4.1791291169649,27,19,1.54688142872433
"ctcf vs ctrl | 34C | 36hpf","severe_vs_control",22,10,0,87,572.092375935704,86.991126803274,39.0071712722397,12.4362068130191,0.000499750124937531,6.35963420475915,57,50,3.96683479135925
"ctcf vs ctrl | 35C | 24hpf","binary_z",23,11,1,43,137.98712929855,42.9898319243707,13.2017526668003,7.19580950892061,0.000499750124937531,6.01457955598459,12,9,0.729229148442465
"ctcf vs ctrl | 35C | 24hpf","s_z",23,11,1,43,88.0925658069888,42.9957487530126,13.4459807711877,3.35392544593032,0.00749625187406297,5.06500995477831,8,6,0.512469976892211
"ctcf vs ctrl | 35C | 24hpf","hinge_z",23,11,1,43,77.5443332969139,42.9931364092503,13.6556822122446,2.53016995787166,0.024487756121939,5.04587348580525,6,5,0.536568450355209
"ctcf vs ctrl | 35C | 24hpf","s_within_control",23,11,1,43,47.6038383272626,42.998404649003,10.8615045105212,0.424014341088613,0.308845577211394,4.08720568768499,0,0,0.543372632781226
"ctcf vs ctrl | 35C | 24hpf","s_within_crispant",23,11,1,43,47.2932458817882,43.000021166869,10.3209062345421,0.415973618726489,0.296851574212894,3.96364643352744,0,0,0.379799454998898
"ctcf vs ctrl | 35C | 24hpf","escaper_vs_control",17,5,1,43,89.2104729851206,42.9948592093752,11.8233760239317,3.90883396436013,0.00199900049975012,5.16283059332318,10,4,1.28450706249573
"ctcf vs ctrl | 35C | 24hpf","severe_vs_control",18,6,1,43,90.259486570007,43.0279879037205,12.7413162970052,3.7069559820431,0.00499750124937531,5.03549383348285,8,7,1.56452538309031
"ctcf vs ctrl | 35C | 24hpf","severe_vs_escaper",11,6,1,43,49.6971376827431,42.983930699898,10.5895008463967,0.633949331533361,0.219890054972514,4.00293121655301,0,0,0.807898596042842
"ctcf vs ctrl | 35C | 30hpf","binary_z",19,10,3,45,201.558397248196,45.00877031785,18.1754535133411,8.61324460572252,0.000499750124937531,5.5953243540146,21,17,1.59778595481534
"ctcf vs ctrl | 35C | 30hpf","s_z",19,10,3,45,179.277532360748,44.9962364108207,18.7312540304892,7.16883641273322,0.000499750124937531,5.35661325750047,25,24,1.35542633337343
"ctcf vs ctrl | 35C | 30hpf","hinge_z",19,10,3,45,194.258274344435,45.0306502813541,18.5036793077753,8.06475412705486,0.000499750124937531,5.52387426694035,27,24,1.61347460868315
"ctcf vs ctrl | 35C | 30hpf","s_within_control",19,10,3,45,33.3241462846034,44.9917291300548,10.4113350855167,-1.1206615433675,0.893053473263368,3.53176140970908,0,0,0.73332661746598
"ctcf vs ctrl | 35C | 30hpf","s_within_crispant",19,10,3,45,110.268183694321,45.0005270739106,15.9038760714765,4.1038836273044,0.00349825087456272,3.98532778483004,13,12,1.02738388994125
"ctcf vs ctrl | 35C | 30hpf","escaper_vs_control",13,4,3,45,89.327304905964,45.0140606314555,12.5777286365363,3.52315156059145,0.00249875062468766,4.63645257821768,6,5,2.36197701418344
"ctcf vs ctrl | 35C | 30hpf","severe_vs_control",15,6,3,45,204.533229600183,44.9892837608621,19.8479785617188,8.0382969652656,0.00149925037481259,5.07258399646017,29,24,4.08068389846031
"ctcf vs ctrl | 35C | 30hpf","severe_vs_escaper",10,6,3,45,110.856145219214,45.0098253404106,15.9740305603316,4.12208550810717,0.00549725137431284,3.97274559798734,12,5,1.90814973554166
"ctcf vs ctrl | 35C | 36hpf","binary_z",23,12,1,73,480.610043611876,72.9951854189319,32.6945187588348,12.4673759904418,0.000499750124937531,6.37104703849295,48,41,1.23396457278387
"ctcf vs ctrl | 35C | 36hpf","s_z",23,12,1,73,208.445221060413,72.985267230176,30.8694406959269,4.38815705035141,0.00499750124937531,5.63825912749605,28,11,0.533039881205744
"ctcf vs ctrl | 35C | 36hpf","hinge_z",23,12,1,73,179.707450439708,73.0069566065704,30.8855995427228,3.45470042391579,0.0114942528735632,5.56691909330017,26,16,0.55951587584455
"ctcf vs ctrl | 35C | 36hpf","s_within_control",23,12,1,73,57.9748029289863,72.9954341857,15.5275656634359,-0.967352615489758,0.873063468265867,4.14366760462944,0,0,0.334749115321221
"ctcf vs ctrl | 35C | 36hpf","s_within_crispant",23,12,1,73,85.6635550057281,73.0019665183945,29.2551813567392,0.432798154041074,0.233883058470765,4.22010248207838,1,1,0.755856816567755
"ctcf vs ctrl | 35C | 36hpf","escaper_vs_control",18,7,1,73,355.119208421294,72.9933788843634,27.545722447172,10.2420922187828,0.000499750124937531,5.71640251951244,44,36,2.27306097925177
"ctcf vs ctrl | 35C | 36hpf","severe_vs_control",16,5,1,73,305.119186949253,73.0149809145098,26.9747844949029,8.60448787194578,0.000499750124937531,5.31808159919688,37,33,2.68822045594822
"ctcf vs ctrl | 35C | 36hpf","severe_vs_escaper",12,5,1,73,66.9588494677001,72.9925796878066,31.0979898316261,-0.194023158820712,0.462768615692154,4.13542644042581,0,0,1.25323478289275
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","binary_z",24,12,0,41,126.693162696882,40.9895905208432,14.4070522094026,5.94872364799966,0.000499750124937531,5.77432179608101,11,6,0.854045426709903
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","s_z",24,12,0,41,116.821934892111,40.9893819554268,14.2090915099579,5.33690369180463,0.000499750124937531,5.62824640370924,13,8,1.06216124046767
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","hinge_z",24,12,0,41,136.18999858198,41.0034975525014,14.5657737705412,6.5349429785866,0.000499750124937531,5.82375048901869,16,13,1.06415463208134
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","s_within_control",24,12,0,41,60.3425966505523,41.0068933063686,11.7087380726193,1.65139088638424,0.0604697651174413,4.34959012935685,0,0,0.540605954118074
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","s_within_crispant",24,12,0,41,60.6432060419571,40.9862550956921,15.3471987524455,1.28081686197833,0.107446276861569,4.11289912347797,1,1,0.881479705796284
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","escaper_vs_control",17,5,0,41,79.3333945873152,40.9908498358889,11.4655934661133,3.34413956545276,0.00499750124937531,5.04981206889447,4,3,0.726370227370027
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","severe_vs_control",19,7,0,41,134.368010703934,40.9927416621868,14.5934255652017,6.39844761770004,0.000499750124937531,5.53781465650549,16,12,2.15617497558185
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","severe_vs_escaper",12,7,0,41,54.5193011208592,40.9936427993217,15.5706528582762,0.868663532906928,0.149425287356322,3.95606306603246,1,1,1.63883805995659
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","binary_z",24,12,0,29,58.2700527077881,29.0009405159436,11.4052194165953,2.56629102192073,0.0269865067466267,5.43476679623792,1,1,0.373485899948004
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","s_z",24,12,0,29,52.2851727051096,29.0026940773293,11.5455988744002,2.01656742807894,0.0494752623688156,4.94671264906202,3,0,0.324316886749494
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","hinge_z",24,12,0,29,56.6194084800952,28.9995140947541,12.0002192525543,2.30161581251626,0.0389805097451274,5.01539241284874,4,2,0.357263361126491
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","s_within_control",24,12,0,29,24.4876881083255,28.9982228441116,11.3949910975581,-0.39583486263124,0.5952023988006,3.29644728861097,0,0,0.392613576913533
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","s_within_crispant",24,12,0,29,30.9084854349778,28.9908314077754,10.996641094643,0.174385433760909,0.307346326836582,3.78001879203114,0,0,0.450835071023939
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","escaper_vs_control",20,8,0,29,45.6180856395176,28.9959371923442,10.3753111903056,1.6020867367048,0.0814592703648176,4.75072211471632,0,0,0.81653264287332
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","severe_vs_control",16,4,0,29,34.0606806018755,28.9964586498802,12.7682808055978,0.396625201865479,0.258870564717641,4.10612575752995,0,0,1.02879844345972
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","severe_vs_escaper",12,4,0,29,37.4507668828576,28.9904423895582,8.44957397330242,1.00127231503398,0.159420289855072,3.85380005994397,0,0,0.859100591642126
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","binary_z",24,12,0,41,146.603108982106,40.9946433383738,14.5571344084605,7.25475651185531,0.000499750124937531,6.12972531252081,11,10,0.939473226919574
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","s_z",24,12,0,41,118.979361758228,40.9983894584787,15.1670503390664,5.14147250496629,0.000999500249875062,5.75712458204759,9,8,0.820412293752339
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","hinge_z",24,12,0,41,116.406980035157,40.9936092703902,14.8550710819162,5.07660787006066,0.00199900049975012,5.50618868316692,11,8,0.823737319690423
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","s_within_control",24,12,0,41,39.0624733578297,41.0022633062861,12.0322296070261,-0.161216167893245,0.510744627686157,3.98118750512686,0,0,0.466657867571818
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","s_within_crispant",24,12,0,41,29.6719024474387,40.9973095029612,16.9989412578869,-0.666241907875761,0.714142928535732,3.56311943138024,0,0,0.311061928005483
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","severe_vs_control",21,9,0,41,138.933169410346,41.0034798233504,15.0181314340601,6.52076391906506,0.000499750124937531,5.74363692859427,13,9,2.02089222952094
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","binary_z",22,11,0,54,137.416282875905,53.9889769887344,14.4184037345125,5.7861679713875,0.000499750124937531,6.01960141962912,11,10,0.340007929491104
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","s_z",22,11,0,54,93.7598445873344,54.0007443814724,15.211845382723,2.61369342151077,0.015992003998001,5.17174276383868,9,0,0.380910448180138
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","hinge_z",22,11,0,54,77.4226503274745,53.995715089264,15.7707837639603,1.48546423493208,0.0869565217391304,5.08714260095373,0,0,0.315023463719861
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","s_within_control",22,11,0,54,66.4265066560507,54.006958428891,12.0604713909622,1.02977303494677,0.147926036981509,4.07967816516562,0,0,1.03288065209342
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","s_within_crispant",22,11,0,54,51.4413072842084,54.0198060758223,15.0826110135867,-0.17095838308706,0.510244877561219,4.02151407822888,0,0,0.28738844861423
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","escaper_vs_control",17,6,0,54,101.04115316487,53.9886564331522,12.838714980581,3.66489144769442,0.00299850074962519,5.18714282700561,9,3,0.866258471298868
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","severe_vs_control",16,5,0,54,123.703480740733,53.9887395193886,13.8518960215333,5.032866339234,0.000499750124937531,5.10339090742017,13,6,0.874242315222568
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","severe_vs_escaper",11,5,0,54,71.1318686473419,53.9929767215089,13.5713522109613,1.26287282648153,0.112443778110945,4.05775083355033,0,0,0.821334275640434
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","binary_z",24,12,0,40,114.044124563244,39.9910242425485,9.95979608383955,7.43520245769406,0.000499750124937531,5.89641924146455,9,9,0.425322215811398
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","s_z",24,12,0,40,79.9931830959216,40.0081694306122,10.4050859309538,3.84283358452226,0.00149925037481259,5.35211772401513,11,4,0.487734091393782
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","hinge_z",24,12,0,40,74.694979978189,40.004522301673,9.96025856843857,3.48288726022043,0.00349825087456272,5.22283870246305,11,5,0.479292613425138
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","s_within_control",24,12,0,40,34.1158948610867,39.9962665304021,7.9801060925591,-0.73687888370287,0.760619690154923,4.05344925706699,0,0,0.785196063981159
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","s_within_crispant",24,12,0,40,39.4505655675301,40.0248117153468,7.78706014052159,-0.0737436384789821,0.524737631184408,4.0233533232537,0,0,0.274445880495011
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","escaper_vs_control",16,4,0,40,62.7825521715185,39.9971639665468,9.00690293937117,2.52976948439977,0.015992003998001,4.68942656224297,6,6,0.886412883103715
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","severe_vs_control",20,8,0,40,94.3314701172577,40.0016166450704,9.8480960250645,5.51678754288258,0.000999500249875062,5.3295735284855,10,5,0.936318229693105
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","severe_vs_escaper",12,8,0,40,39.7693742676771,39.9987344351475,7.67348814078895,-0.0298899487771775,0.492253873063468,4.03386386609526,0,0,0.664513790954118
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","binary_z",23,12,0,57,321.728761471486,57.0046650474658,24.6735277501027,10.7290736495076,0.000499750124937531,6.15206269457514,27,25,1.80376084285886
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","s_z",23,12,0,57,239.316127054514,56.9914690259168,23.4909029556182,7.76150062741595,0.000499750124937531,5.7261040763687,27,26,1.89747136359204
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","hinge_z",23,12,0,57,238.998629551547,56.9977664082915,23.1321276399564,7.86788253878054,0.000499750124937531,5.8261142420068,29,24,2.27950371067714
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","s_within_control",23,12,0,57,66.706940539569,57.0022456376823,11.6533710754097,0.832780046141761,0.197901049475262,3.99947248063591,0,0,0.575610394370501
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","s_within_crispant",23,12,0,57,119.110684006603,56.9885016669872,16.1927648834815,3.83641600348235,0.000999500249875062,4.499419405329,11,7,1.05814715031512
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","severe_vs_control",20,9,0,57,305.477381859721,56.9852062140726,24.7664209439217,10.0334309995096,0.000499750124937531,5.7138036528774,33,27,4.26344175797743
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","binary_z",22,10,2,53,136.90803525541,53.006203472973,12.4544714668867,6.73668344782928,0.000499750124937531,5.82231835308089,12,11,0.481416124205053
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","s_z",22,10,2,53,117.841506404275,52.9948754589462,12.5707605078093,5.1585288658585,0.000499750124937531,5.73631932326026,15,8,0.833872550228455
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","hinge_z",22,10,2,53,119.954713227974,52.9963425624214,12.66993334608,5.284824224136,0.000499750124937531,5.81241250343729,16,7,0.895705246531221
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","s_within_control",22,10,2,53,40.5127280953401,53.0011361267714,10.8737813954451,-1.14848805371999,0.868565717141429,4.16268332468129,0,0,0.612707153609926
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","s_within_crispant",22,10,2,53,102.618336504154,52.9918977285195,14.3397423128498,3.46076224334689,0.000999500249875062,4.01000959685393,12,7,0.841666328628227
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","escaper_vs_control",16,4,2,53,110.758795766401,52.9982925520956,11.0327870943918,5.23535011780175,0.00199900049975012,5.02615315697831,9,8,0.781674445918078
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","severe_vs_control",18,6,2,53,140.812615136228,52.9898016250972,12.5046649847538,7.02320402971271,0.000499750124937531,5.41761452915538,13,11,1.47490014366684
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","severe_vs_escaper",10,6,2,53,100.825941284094,52.987385878526,15.1058373768938,3.16689199095596,0.00649675162418791,4.08092275033568,4,0,1.36815218287106
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","binary_z",24,12,0,50,186.987914224175,49.9954073324706,15.8301828471132,8.6538802624561,0.000499750124937531,6.09611287526058,12,11,0.834010399974057
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","s_z",24,12,0,50,153.292094847489,49.9998341419718,15.6215590799361,6.61216080782763,0.000499750124937531,5.93381284453574,18,8,0.453616390297061
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","hinge_z",24,12,0,50,145.33240491428,50.0097938724285,15.406456194939,6.18718606250052,0.000499750124937531,5.97834635221943,14,10,0.48162483397001
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","s_within_control",24,12,0,50,62.8891858540235,49.9971785723344,9.53825613118725,1.35161051500138,0.0914542728635682,4.25513914942579,0,0,0.418033502513626
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","s_within_crispant",24,12,0,50,98.3026145216664,49.9963672229727,11.9488602173706,4.04274938529021,0.00199900049975012,4.42217168667332,9,3,0.480781956969419
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","escaper_vs_control",20,8,0,50,138.641533907307,49.9937289985541,14.7950466690789,5.99172188446172,0.000999500249875062,5.40894921701269,11,9,1.95036850503357
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","severe_vs_control",16,4,0,50,132.560171764313,49.9958506108688,13.9954103776654,5.89938550749502,0.000499750124937531,4.9654293626863,20,17,1.29216942425107
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","severe_vs_escaper",12,4,0,50,84.9501656045916,49.9900930235012,12.1765767911447,2.87109203027527,0.0124937531234383,4.24569924790865,2,2,1.02608138242019
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","binary_z",24,12,0,82,389.20124322379,81.992523856189,26.2770222374641,11.6911542179845,0.000499750124937531,6.39278480537257,38,36,1.49853681670039
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","s_z",24,12,0,82,270.370691038876,81.9862318077884,35.9903407545118,5.23430607440059,0.00149925037481259,6.21113394058447,27,24,1.30276418006964
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","hinge_z",24,12,0,82,249.696056465144,81.9870919860611,35.9964530400037,4.65904138645839,0.00149925037481259,6.00194592642526,27,24,1.38086567915414
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","s_within_control",24,12,0,82,72.1378431173384,82.0457183400823,13.7226630662907,-0.722008197307004,0.752123938030985,4.34397679449515,0,0,1.64817406434854
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","s_within_crispant",24,12,0,82,86.6380775383261,82.0128614627597,27.0295802103897,0.171116829768174,0.36631684157921,4.31638508109601,4,2,0.925822028811758
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","escaper_vs_control",16,4,0,82,240.196186514242,81.9768367256746,23.8974685153072,6.62075774625342,0.00149925037481259,5.16365729029567,25,16,1.70704720647625
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","severe_vs_control",20,8,0,82,380.231828916215,81.9724304323716,27.0394421648806,11.0305307581836,0.000499750124937531,5.94283055546438,41,35,3.46127081838598
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","severe_vs_escaper",12,8,0,82,116.829382508703,82.0103856811092,23.5725942716033,1.47709651413031,0.0829585207396302,4.33847859943488,2,1,3.00949667240708
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","binary_z",20,8,1,50,115.767067297385,49.9867245788384,13.9849617325558,4.70364838864133,0.000999500249875062,5.53834382798773,10,1,0.495646685583063
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","s_z",20,8,1,50,55.8681040703244,49.9909296754851,15.3804432031834,0.382119963462618,0.286856571714143,4.83197113332092,0,0,0.45993865341601
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","hinge_z",20,8,1,50,72.8347161566118,49.9911759372952,14.7924632733191,1.54426884807746,0.0759620189905048,4.93414698789868,1,0,0.479931277320563
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","s_within_control",20,8,1,50,61.9331252000541,49.9968172093671,11.4488596183856,1.04257615068653,0.155422288855572,4.24710912835063,0,0,0.353454760664346
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","s_within_crispant",20,8,1,50,56.1390973881713,50.0254516736559,14.663674314746,0.416924543145877,0.281859070464768,3.43162587932148,0,0,0.830783462195022
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","escaper_vs_control",20,8,1,50,117.183318716799,49.9934995048025,13.6530529122856,4.92123041224986,0.00149925037481259,5.55073117788926,10,1,0.97742844537943
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","binary_z",21,12,1,52,111.764613874461,52.0121270419499,13.6238708400611,4.38586709562808,0.00299850074962519,5.74132198771771,3,2,0.404180399508523
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","s_z",21,12,1,52,109.683760064302,52.0069205989732,13.81485116973,4.17498811653547,0.00149925037481259,5.41026560355693,5,4,0.374805502328906
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","hinge_z",21,12,1,52,105.852194163302,52.0048564546725,13.18467565831,4.0840851230717,0.00149925037481259,5.48846042251029,5,4,0.384725644065346
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","s_within_control",21,12,1,52,48.8590298645786,51.9925609298368,11.3916441905134,-0.275072764989249,0.557221389305347,3.66888860401387,0,0,0.664279480696134
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","s_within_crispant",21,12,1,52,66.2788937284151,51.98227952085,12.2176707915172,1.17015873577895,0.129935032483758,4.26168048694623,0,0,0.3319363024201
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","severe_vs_control",20,11,1,52,105.656935713278,51.9986573036438,13.5617878835689,3.95657850353527,0.00499750124937531,5.53147552981218,2,2,0.794460606365708
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","binary_z",22,11,1,75,177.230183808598,75.0186170611669,18.8692534948142,5.41683150186741,0.000499750124937531,6.0013813335265,8,7,0.823064878366303
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","s_z",22,11,1,75,112.011373403073,75.0147442727111,21.1985522081571,1.74524320185063,0.0594702648675662,5.72634964090505,3,2,0.625647233664858
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","hinge_z",22,11,1,75,121.127657683973,74.9863465202859,21.4550676311874,2.15060199095414,0.0359820089955022,5.63324135904165,3,3,0.762453520313931
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","s_within_control",22,11,1,75,74.6510049871171,74.9881328458344,16.9797138452239,-0.0198547432418721,0.420789605197401,4.13905485384716,0,0,0.555219776736634
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","s_within_crispant",22,11,1,75,70.8970262950943,74.9781160281767,22.5794743974154,-0.180743345095294,0.517241379310345,4.07199011569112,0,0,0.80401958678948
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","escaper_vs_control",16,5,1,75,129.85791499605,75.0258503058751,18.741301049906,2.9257341602999,0.00349825087456272,5.24277073944893,4,4,1.20844903689199
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","severe_vs_control",17,6,1,75,204.097152371839,74.9861139175433,21.1473548022497,6.10530440623056,0.000499750124937531,5.41373513796218,10,9,2.09333707558213
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","severe_vs_escaper",11,6,1,75,87.4492237029242,74.9907536461511,17.6080724580135,0.707543093457863,0.215892053973014,4.18594874244761,0,0,1.42194626835764
