"contrast","arm","norm","norm_binary","cosine_to_binary","parallel_component","orthogonal_component"
"atf6 vs ctrl | 24C | 24hpf","binary_z",9.04951043140571,9.04951043140571,1,9.04951043140571,0
"atf6 vs ctrl | 24C | 24hpf","s_z",8.27182017421379,9.04951043140571,0.655438041638763,5.4216656157747,6.24728348526435
"atf6 vs ctrl | 24C | 24hpf","hinge_z",8.27199135317874,9.04951043140571,0.707633631024043,5.85353927704936,5.84481983290369
"atf6 vs ctrl | 24C | 30hpf","binary_z",8.79923250505986,8.79923250505986,1,8.79923250505986,0
"atf6 vs ctrl | 24C | 30hpf","s_z",5.61252157329827,8.79923250505986,0.719462933717377,4.03800123667724,3.89806931997515
"atf6 vs ctrl | 24C | 30hpf","hinge_z",5.33276931912249,8.79923250505986,0.743337970287514,3.96404992168804,3.56717490871126
"atf6 vs ctrl | 24C | 36hpf","binary_z",9.33840192469567,9.33840192469567,1,9.33840192469567,0
"atf6 vs ctrl | 24C | 36hpf","s_z",8.02560607824791,9.33840192469567,0.66202632112189,5.31316246675594,6.01503595376334
"atf6 vs ctrl | 24C | 36hpf","hinge_z",8.10023531553487,9.33840192469567,0.675342269566357,5.47043130201487,5.97395961963036
"atf6 vs ctrl | 28C | 24hpf","binary_z",11.936141040127,11.936141040127,1,11.936141040127,0
"atf6 vs ctrl | 28C | 24hpf","s_z",9.1068419551377,11.936141040127,0.654768000566379,5.96286869843953,6.88322361114517
"atf6 vs ctrl | 28C | 24hpf","hinge_z",9.4786348106686,11.936141040127,0.710479353573009,6.73437433303845,6.67028636690596
"atf6 vs ctrl | 28C | 30hpf","binary_z",12.0344661609733,12.0344661609733,1,12.0344661609733,0
"atf6 vs ctrl | 28C | 30hpf","s_z",10.210595091538,12.0344661609733,0.821955490728095,8.39265469909103,5.81546208182686
"atf6 vs ctrl | 28C | 30hpf","hinge_z",10.1187590934283,12.0344661609733,0.813598135522009,8.23260353220963,5.88332598725306
"atf6 vs ctrl | 28C | 36hpf","binary_z",12.8859112054372,12.8859112054372,1,12.8859112054372,0
"atf6 vs ctrl | 28C | 36hpf","s_z",8.69719833381167,12.8859112054372,0.785923847073578,6.83533557327118,5.37768039757199
"atf6 vs ctrl | 28C | 36hpf","hinge_z",8.69813504314557,12.8859112054372,0.78576787893235,6.83471512351964,5.37998349524688
"atf6 vs ctrl | 34C | 24hpf","binary_z",10.1938966203323,10.1938966203323,1,10.1938966203323,1.19209289550781e-07
"atf6 vs ctrl | 34C | 24hpf","s_z",6.74157035365981,10.1938966203323,0.675480165820217,4.55379706037879,4.9710867188403
"atf6 vs ctrl | 34C | 24hpf","hinge_z",7.37879748796828,10.1938966203323,0.788612841615033,5.81901445468853,4.53714923102304
"atf6 vs ctrl | 34C | 30hpf","binary_z",11.337659949843,11.337659949843,1,11.337659949843,0
"atf6 vs ctrl | 34C | 30hpf","s_z",10.1739892114212,11.337659949843,0.641763030690001,6.52929015052905,7.80246285504259
"atf6 vs ctrl | 34C | 30hpf","hinge_z",9.98160599679457,11.337659949843,0.634313353458932,6.33146597273255,7.71654047558717
"atf6 vs ctrl | 34C | 36hpf","binary_z",17.4721104748057,17.4721104748057,1,17.4721104748057,0
"atf6 vs ctrl | 34C | 36hpf","s_z",20.0508548116352,17.4721104748057,0.940660925906263,18.8610556523248,6.80421621916739
"atf6 vs ctrl | 34C | 36hpf","hinge_z",20.0616221618894,17.4721104748057,0.931122676055879,18.6798313134004,7.31659660424971
"atf6 vs ctrl | 35C | 24hpf","binary_z",9.09212722204882,9.09212722204882,1,9.09212722204882,1.19209289550781e-07
"atf6 vs ctrl | 35C | 24hpf","s_z",6.4424172346201,9.09212722204882,0.354298808715436,2.2825407514737,6.02451222447029
"atf6 vs ctrl | 35C | 24hpf","hinge_z",6.99863661369652,9.09212722204882,0.442313284949205,3.09558995076988,6.27680151886819
"atf6 vs ctrl | 35C | 30hpf","binary_z",7.31019733427894,7.31019733427894,1,7.31019733427894,0
"atf6 vs ctrl | 35C | 30hpf","s_z",7.02410590038479,7.31019733427894,0.6203682624434,4.35753237264015,5.50908116850837
"atf6 vs ctrl | 35C | 30hpf","hinge_z",7.30747620269784,7.31019733427894,0.568802987356156,4.15651429412855,6.01020776476989
"atf6 vs ctrl | 35C | 36hpf","binary_z",10.4041058337507,10.4041058337507,1,10.4041058337507,1.19209289550781e-07
"atf6 vs ctrl | 35C | 36hpf","s_z",8.82702586831095,10.4041058337507,0.516280073739652,4.55721756619339,7.55963978865455
"atf6 vs ctrl | 35C | 36hpf","hinge_z",9.01744681160046,10.4041058337507,0.391109299938491,3.52680730971763,8.29915521002985
"ctcf vs ctrl | 24C | 24hpf","binary_z",10.044783856684,10.044783856684,1,10.044783856684,0
"ctcf vs ctrl | 24C | 24hpf","s_z",8.84730286612708,10.044783856684,0.83054191089321,7.34805582868416,4.92755959309689
"ctcf vs ctrl | 24C | 24hpf","hinge_z",8.66535324706298,10.044783856684,0.835995389079402,7.24419535928888,4.7549953199601
"ctcf vs ctrl | 24C | 30hpf","binary_z",9.90349826596019,9.90349826596019,1,9.90349826596019,0
"ctcf vs ctrl | 24C | 30hpf","s_z",7.80304034829097,9.90349826596019,0.900690575752577,7.02812490392278,3.39011784631703
"ctcf vs ctrl | 24C | 30hpf","hinge_z",8.08395714044112,9.90349826596019,0.854660393526037,6.90903799089702,4.19708912090636
"ctcf vs ctrl | 24C | 36hpf","binary_z",14.2287740643866,14.2287740643866,1,14.2287740643866,1.68587394043576e-07
"ctcf vs ctrl | 24C | 36hpf","s_z",11.4578075952382,14.2287740643866,0.905434118193907,10.37428991643,4.8636882732509
"ctcf vs ctrl | 24C | 36hpf","hinge_z",11.3629484058847,14.2287740643866,0.912158669588274,10.364811900512,4.65695938803451
"ctcf vs ctrl | 28C | 24hpf","binary_z",11.7407916889762,11.7407916889762,1,11.7407916889762,1.68587394043576e-07
"ctcf vs ctrl | 28C | 24hpf","s_z",7.12930159706283,11.7407916889762,0.358895287336697,2.55867274518784,6.65433205099622
