cluster_id,n_embryos,cluster_average,is_putative_mutant,n_core,n_uncertain,n_outlier,core_fraction,embryo_ids
0,54,0.023536167389024715,False,53,1,0,0.9814814814814815,20250711_A04_e01;20250711_A05_e01;20250711_A06_e01;20250711_A10_e01;20250711_B04_e01;20250711_B05_e01;20250711_B05_e02;20250711_B06_e01;20250711_B07_e01;20250711_B09_e01;20250711_B10_e01;20250711_B11_e01;20250711_C03_e01;20250711_C04_e01;20250711_C05_e01;20250711_C07_e01;20250711_C10_e01;20250711_D06_e01;20250711_D07_e01;20250711_D08_e01;20250711_D09_e01;20250711_D10_e01;20250711_D12_e01;20250711_E03_e01;20250711_E04_e01;20250711_E05_e01;20250711_E06_e01;20250711_E07_e01;20250711_E09_e01;20250711_E10_e01;20250711_E12_e01;20250711_F01_e01;20250711_F02_e01;20250711_F03_e01;20250711_F04_e01;20250711_F07_e01;20250711_F08_e01;20250711_F09_e01;20250711_F10_e01;20250711_G01_e01;20250711_G02_e01;20250711_G04_e01;20250711_G05_e01;20250711_G07_e01;20250711_G08_e01;20250711_H03_e01;20250711_H04_e01;20250711_H05_e01;20250711_H06_e01;20250711_H07_e01;20250711_H08_e01;20250711_H09_e01;20250711_H11_e01;20250711_H12_e01
1,23,0.08387117694706042,True,20,3,0,0.8695652173913043,20250711_A03_e01;20250711_A09_e01;20250711_A11_e01;20250711_B02_e01;20250711_B03_e01;20250711_B08_e01;20250711_C02_e01;20250711_C06_e01;20250711_C08_e01;20250711_C11_e01;20250711_D01_e01;20250711_D02_e01;20250711_E01_e01;20250711_E02_e01;20250711_E11_e01;20250711_F05_e01;20250711_F06_e01;20250711_F11_e01;20250711_G06_e01;20250711_G09_e01;20250711_G11_e01;20250711_H01_e01;20250711_H10_e01
2,9,0.09753133504523488,True,9,0,0,1.0,20250711_A07_e01;20250711_C09_e01;20250711_D03_e01;20250711_D04_e01;20250711_D05_e01;20250711_D11_e01;20250711_E08_e01;20250711_G03_e01;20250711_G10_e01
3,1,0.16807228173177344,True,1,0,0,1.0,20250711_A02_e01
