k,avg_max_p,avg_entropy,core_fraction,silhouette,n_mutant_embryos
3,0.925077571407196,0.28744072343896787,0.8160919540229885,0.5416510026555572,33
4,0.966305140059361,0.15350654100527455,0.9540229885057471,0.5753545968841433,33
5,0.9650813210744963,0.1519712336273201,0.9655172413793104,0.5513423883502128,34
6,0.9389174363150821,0.27059140271441623,0.8505747126436781,0.5350055015219076,34
