variance_ratio,null_ratio_mean,null_ratio_p95,p_variance,boot_angle_median,boot_angle_p95,gap_to_pc2,contrast,axis,target,temperature,timepoint,n_embryos,random_angle_median,angle_to_lda,loo_auc,q_auc,usable,separation,log_sd_ratio,axis_significant,axis_stable
0.45989810024189554,0.35133243531912123,0.42270973012066393,0.010994502748625687,29.50508420219312,63.57840133631245,1.3833683616814332,atf6 vs ctrl | 24C | 24hpf,pooled_pc1,atf6,24.0,24.0,22,69.45010570102967,81.07572929121613,0.675,0.2288620470438652,False,1.3096336089672391,0.5136429130776621,True,True
0.5170757222393608,0.4481482317869544,0.5563984724402068,0.127936031984008,19.40820912277419,80.88223442129997,2.131411395214391,atf6 vs ctrl | 24C | 24hpf,within_pc1,atf6,24.0,24.0,10,69.45010570102967,53.3849187281787,0.675,0.2288620470438652,False,1.3096336089672391,0.5136429130776621,False,False
0.3756544214936521,0.3813129092117973,0.44060340810477866,0.511744127936032,36.83222206941725,80.43208375911937,1.2174706173355934,ctcf vs ctrl | 24C | 24hpf,pooled_pc1,ctcf,24.0,24.0,23,69.45010570102967,57.411872754751585,0.9166666666666666,0.0071928071928071,True,2.574284926016069,0.7327303269976243,False,False
0.4448170643468789,0.5071706254045709,0.586762162506812,0.9715142428785607,29.380631722687134,68.49495005330424,1.6385317998860567,ctcf vs ctrl | 24C | 24hpf,within_pc1,ctcf,24.0,24.0,11,69.45010570102967,69.94510763673651,0.9166666666666666,0.0071928071928071,True,2.574284926016069,0.7327303269976243,False,True
0.4825210253726516,0.3560400359175928,0.4210330030850433,0.0029985007496251873,22.61695584743474,55.97234797096657,1.5406701279751163,"wfs1a,wfs1b vs ctrl | 24C | 24hpf",pooled_pc1,"wfs1a,wfs1b",24.0,24.0,24,69.45010570102967,81.67672745361529,0.7638888888888888,0.0584415584415584,True,1.4716433218495908,-0.1116272006150016,True,True
0.6646317131977186,0.42254627422879615,0.5107917578413738,0.0004997501249375312,9.509621304935614,54.882600842709444,3.1109965790974026,"wfs1a,wfs1b vs ctrl | 24C | 24hpf",within_pc1,"wfs1a,wfs1b",24.0,24.0,12,69.45010570102967,71.33269893373551,0.7638888888888888,0.0584415584415584,True,1.4716433218495908,-0.1116272006150016,True,True
0.6387223839698121,0.4474148424367373,0.5132623589909325,0.0004997501249375312,9.447644059534344,21.697928368345234,3.2394377665405596,atf6 vs ctrl | 24C | 30hpf,pooled_pc1,atf6,24.0,30.0,23,69.45010570102967,79.67707881242255,0.5757575757575758,0.4222444222444222,False,1.0492019639789174,0.3206833666767604,True,True
0.7494332516959468,0.517004927753658,0.630283534411596,0.0004997501249375312,8.873487419954795,24.0171646910461,6.105147866897135,atf6 vs ctrl | 24C | 30hpf,within_pc1,atf6,24.0,30.0,11,69.45010570102967,76.72763171496784,0.5757575757575758,0.4222444222444222,False,1.0492019639789174,0.3206833666767604,True,True
0.47432337682731107,0.3712747389221823,0.43096276859711813,0.005497251374312844,17.92445890475318,45.00570712549341,1.987811373941718,ctcf vs ctrl | 24C | 30hpf,pooled_pc1,ctcf,24.0,30.0,24,69.45010570102967,89.25419441772091,0.7847222222222222,0.0551448551448551,True,1.6128142565216157,-0.1515031773304662,True,True
0.5282721620682577,0.42390139145185884,0.5251365183085144,0.04597701149425287,20.323447734554826,68.07215068886649,1.7717374357716786,ctcf vs ctrl | 24C | 30hpf,within_pc1,ctcf,24.0,30.0,12,69.45010570102967,87.31430016720608,0.7847222222222222,0.0551448551448551,True,1.6128142565216157,-0.1515031773304662,True,True
0.5518173418348346,0.41755033174157835,0.47508462320402006,0.0009995002498750624,12.559086164741515,50.8333697620349,1.9996349681247823,"wfs1a,wfs1b vs ctrl | 24C | 30hpf",pooled_pc1,"wfs1a,wfs1b",24.0,30.0,24,69.45010570102967,79.24006929767081,0.7152777777777778,0.1384615384615384,False,1.4048763058353215,0.0391961580287229,True,True
