"contrast","arm","n_embryos","n_cell_types","t_std","p_global","d_shrunk","n_hits_q10","n_hits_q05","subset"
"ctcf vs ctrl | 35C | 30hpf","within_pc1",10,45,0.335200764595663,0.294852573713143,3.82124810513595,0,0,"crispants only"
"ctcf vs ctrl | 35C | 36hpf","pooled_pc1",23,73,-0.239386456052613,0.476261869065467,5.28913749760362,0,0,"all contrast members"
"ctcf vs ctrl | 35C | 36hpf","within_pc1",12,73,-0.00794190836749561,0.363318340829585,4.27560376380837,0,0,"crispants only"
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","pooled_pc1",24,41,1.40086870056475,0.0879560219890055,5.19884399827825,0,0,"all contrast members"
"wfs1a,wfs1b vs ctrl | 24C | 24hpf","within_pc1",12,41,1.17182713678574,0.11544227886057,3.93597307468299,0,0,"crispants only"
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","pooled_pc1",24,29,6.39834546189572,0.000499750124937531,5.2997028773949,10,8,"all contrast members"
"wfs1a,wfs1b vs ctrl | 24C | 30hpf","within_pc1",12,29,2.29840781265788,0.0299850074962519,4.0201356677428,0,0,"crispants only"
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","pooled_pc1",24,41,4.07131931596777,0.00449775112443778,5.45993933301339,9,6,"all contrast members"
"wfs1a,wfs1b vs ctrl | 24C | 36hpf","within_pc1",12,41,-0.219201953825706,0.51624187906047,3.82437756915961,0,0,"crispants only"
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","pooled_pc1",22,54,3.54428265859416,0.0079960019990005,5.60463109907278,6,4,"all contrast members"
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","within_pc1",11,54,2.69153525028525,0.015992003998001,4.16476101812898,0,0,"crispants only"
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","pooled_pc1",24,40,2.32142288309218,0.0249875062468766,5.02922405676524,7,5,"all contrast members"
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","within_pc1",12,40,-0.875129353625657,0.79560219890055,3.93111667291568,0,0,"crispants only"
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","pooled_pc1",23,57,3.3594712327674,0.0109945027486257,5.56905150803799,8,2,"all contrast members"
"wfs1a,wfs1b vs ctrl | 28C | 36hpf","within_pc1",12,57,1.52840635288982,0.0819590204897551,4.50440001455407,0,0,"crispants only"
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","pooled_pc1",22,53,4.89056536578254,0.000499750124937531,5.71005374342151,10,6,"all contrast members"
"wfs1a,wfs1b vs ctrl | 34C | 24hpf","within_pc1",10,53,3.16985455726425,0.000999500249875062,3.9373795430672,5,5,"crispants only"
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","pooled_pc1",24,50,5.93178827872457,0.000499750124937531,6.05089678670667,11,8,"all contrast members"
"wfs1a,wfs1b vs ctrl | 34C | 30hpf","within_pc1",12,50,3.48968395474992,0.00399800099950025,4.38212862753504,3,3,"crispants only"
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","pooled_pc1",24,82,3.42781306295737,0.0129935032483758,6.04750770957027,28,21,"all contrast members"
"wfs1a,wfs1b vs ctrl | 34C | 36hpf","within_pc1",12,82,-0.12841654275788,0.420789605197401,4.20383178081429,0,0,"crispants only"
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","pooled_pc1",20,50,-0.13198809615482,0.459770114942529,4.88154888212739,0,0,"all contrast members"
"wfs1a,wfs1b vs ctrl | 35C | 24hpf","within_pc1",8,50,-0.105827680514488,0.311344327836082,3.33139507541286,0,0,"crispants only"
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","pooled_pc1",21,52,1.18217159745917,0.128435782108946,5.28867942313851,0,0,"all contrast members"
"wfs1a,wfs1b vs ctrl | 35C | 30hpf","within_pc1",12,52,2.08216297178866,0.0354822588705647,4.37683944079317,1,1,"crispants only"
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","pooled_pc1",22,75,1.29253510670633,0.106946526736632,5.58912176562878,1,1,"all contrast members"
"wfs1a,wfs1b vs ctrl | 35C | 36hpf","within_pc1",11,75,0.443866960160146,0.305847076461769,4.09151447279117,0,0,"crispants only"
