pair,genotype,n_embryos,n_timepoints,time_range_hpf,mean_surface_area_um,std_surface_area_um
b9d2_pair_6,b9d2_wildtype,1,182,10.0-31.5,620204.1890741759,109660.03657736228
b9d2_pair_6,b9d2_heterozygous,2,291,10.0-32.3,743409.6766810997,196728.98160300864
b9d2_pair_6,b9d2_homozygous,1,348,10.0-51.3,809847.8442813217,246062.05528674528
b9d2_pair_7,b9d2_wildtype,4,1196,10.0-51.3,827939.5645899666,260068.06386408283
b9d2_pair_7,b9d2_heterozygous,7,1704,10.0-51.3,822492.3029973591,300050.5433160345
b9d2_pair_7,b9d2_homozygous,4,1151,10.0-51.3,826391.394372285,273575.6243414917
