pair,genotype,n_embryos,n_timepoints,time_range_hpf,mean_total_length_um,std_total_length_um
b9d2_pair_1,b9d2_wildtype,7,195,28.0-58.1,2443.6392337978923,299.3142580645592
b9d2_pair_1,b9d2_heterozygous,18,513,28.0-58.1,2460.42768823224,323.1993480398492
b9d2_pair_1,b9d2_homozygous,8,249,28.0-58.1,2450.6300393753872,320.00521962692113
b9d2_pair_2,b9d2_wildtype,9,122,28.0-57.6,2305.0557843617476,376.4480018740092
b9d2_pair_2,b9d2_heterozygous,14,374,28.0-58.1,2375.9483962651534,386.8819033697542
b9d2_pair_2,b9d2_homozygous,6,143,28.0-58.1,2162.2068124892016,453.42064444898784
