k_lower,k_upper,flagged_rows,flagged_physical_embryos,recovered_rows_vs_production,recovered_physical_embryos_vs_production,newly_flagged_rows_vs_production,newly_flagged_physical_embryos_vs_production
0.7,1.4,61,61,162,162,0,0
0.75,1.4,73,73,150,150,0,0
0.8,1.4,87,87,136,136,0,0
0.85,1.4,129,129,94,94,0,0
0.9,1.4,223,223,0,0,0,0
