k_lower,dimension,stratum,rows,too_small_rows,eligible_rows,row_recovery_vs_k0.90
0.7,nominal_stage_bin,48-<72,123516,50980,42671,2991
0.7,nominal_stage_bin,<18,45665,2147,36033,727
0.7,nominal_stage_bin,>=72,115483,31435,29258,1013
0.7,nominal_stage_bin,unavailable,898,0,737,0
0.7,genotype_raw,H2B-mScarlet,5460,608,3092,91
0.7,genotype_raw,ab,13478,1947,6790,374
0.7,genotype_raw,ab-ctrl-inj,17,1,16,0
0.7,genotype_raw,ab-lmx1b,32,0,29,0
0.7,genotype_raw,ab_inj_ctrl,4137,1239,827,46
0.7,genotype_raw,atf6,151,3,136,20
0.7,genotype_raw,b9d2_het,203,16,178,3
0.7,genotype_raw,b9d2_heterozygous,37280,7136,16101,825
0.7,genotype_raw,b9d2_homo,94,5,82,1
0.7,genotype_raw,b9d2_homozygous,19055,2362,8570,141
0.7,genotype_raw,b9d2_unknown,18501,6643,3835,168
0.7,genotype_raw,b9d2_wildtype,22078,4501,8408,389
0.7,genotype_raw,b9d2_wt,72,4,65,3
0.7,genotype_raw,cep290_crispant,13589,2212,6600,314
0.7,genotype_raw,cep290_het,301,25,249,4
0.7,genotype_raw,cep290_heterozygous,44838,17109,16266,1303
0.7,genotype_raw,cep290_homo,119,11,95,1
0.7,genotype_raw,cep290_homozygous,20832,4556,10850,229
0.7,genotype_raw,cep290_homozyous,6601,164,4951,57
0.7,genotype_raw,cep290_unknown,35836,17072,8569,804
0.7,genotype_raw,cep290_unkown,16825,11025,2813,169
0.7,genotype_raw,cep290_wildtype,26022,8195,10120,615
0.7,genotype_raw,cep290_wt,147,13,113,0
0.7,genotype_raw,crispr-inj-ctrl,1060,20,346,26
0.7,genotype_raw,crispr-pbx1,3979,648,1526,146
0.7,genotype_raw,crispr-pbx1+4,4880,284,3003,160
0.7,genotype_raw,crispr-pbx4,4841,616,2789,92
0.7,genotype_raw,ctcf,146,2,140,22
0.7,genotype_raw,ctrl-inj,52,1,46,0
0.7,genotype_raw,foxj1a_crispant,2945,1017,970,74
0.7,genotype_raw,gdf3,6313,1138,4391,126
0.7,genotype_raw,if88_ift74_crispant,2698,1025,878,40
0.7,genotype_raw,ift88_crispant,2612,759,1194,111
0.7,genotype_raw,inj-ctrl,1756,74,1441,25
0.7,genotype_raw,irx3a_crispant,1785,148,1473,243
0.7,genotype_raw,irx3a_irx5a_crispant,3313,1481,1289,391
0.7,genotype_raw,irx3a_irx5a_irx6a_crispant,3096,1394,1303,568
0.7,genotype_raw,irx3a_irx6a_crispant,3472,1740,1226,464
0.7,genotype_raw,irx5a_crispant,1836,339,1175,183
0.7,genotype_raw,irx5a_irx6a_crispant,3384,1432,1368,519
0.7,genotype_raw,irx6a_crispant,1758,95,1456,171
0.7,genotype_raw,meox1,25,1,24,0
0.7,genotype_raw,meox1:sox1,26,2,23,1
0.7,genotype_raw,meox1:tbx5a,26,1,21,0
0.7,genotype_raw,nfatc1,8,0,6,0
0.7,genotype_raw,nfatc:gata2a,8,0,8,0
0.7,genotype_raw,pbx1b_crispant,13796,5034,2063,110
0.7,genotype_raw,pbx1b_pbx4_crispant,20347,8054,5745,163
0.7,genotype_raw,pbx4_crispant,13974,5093,3092,96
0.7,genotype_raw,scospondin_crispant,6136,1883,2618,84
0.7,genotype_raw,smad5,24,0,24,0
0.7,genotype_raw,smyda:smydb,25,1,23,0
0.7,genotype_raw,sox10,27,0,23,1
0.7,genotype_raw,sox10:tbx5a,26,2,23,0
0.7,genotype_raw,sspo_crispant,36,0,34,0
0.7,genotype_raw,tbx2b,18,2,14,1
0.7,genotype_raw,tbx2b:tbx2a,16,0,15,0
0.7,genotype_raw,tbx5a,25,1,23,0
0.7,genotype_raw,tbx6,25,1,21,0
0.7,genotype_raw,tbxta,8,0,8,0
0.7,genotype_raw,tfap2a_cispant,2205,320,697,53
0.7,genotype_raw,tfap2a_crispant,1390,810,156,4
0.7,genotype_raw,tfap2a_tfap2b_cispant,1260,173,338,9
0.7,genotype_raw,tfap2a_tfap2b_crispant,1598,1161,145,0
0.7,genotype_raw,tfap2a_tfap2c_crispant,5765,3773,435,49
0.7,genotype_raw,tfap2a_tfap2d_crispant,3215,2209,262,10
0.7,genotype_raw,tfap2a_tfap2e_crispant,4937,2649,418,2
0.7,genotype_raw,tfap2b_crispant,1365,180,396,14
0.7,genotype_raw,tfap2b_tfap2c_crispant,3496,1932,307,24
0.7,genotype_raw,tfap2b_tfap2d_crispant,5418,3061,628,41
0.7,genotype_raw,tfap2c_crispant,1365,85,291,7
0.7,genotype_raw,tfap2d_crispant,840,68,219,8
0.7,genotype_raw,tfap2e_crispant,1239,246,345,16
0.7,genotype_raw,tmem67_heterozygote,6802,837,4033,48
0.7,genotype_raw,tmem67_heterozygous,9466,2108,4439,366
0.7,genotype_raw,tmem67_homozygous,13286,2246,8264,237
0.7,genotype_raw,tmem67_unknown,228,125,34,3
0.7,genotype_raw,tmem67_wildtype,13651,4633,5165,293
0.7,genotype_raw,unavailable,327,0,178,0
0.7,genotype_raw,uncertain,31,5,18,2
0.7,genotype_raw,wfs1a-wfs1b,144,1,139,23
0.7,genotype_raw,wik,31861,8958,16048,582
0.7,genotype_raw,wik-ab,24223,12466,3998,268
0.7,genotype_raw,wik-ab_inj_ctrl,7620,2302,1099,77
0.7,chem_perturbation_raw,DMSO_6,279,21,223,0
0.7,chem_perturbation_raw,Fgf_025,1032,111,635,7
0.7,chem_perturbation_raw,Fgf_050,905,286,286,23
0.7,chem_perturbation_raw,Fgf_075,1376,295,672,8
0.7,chem_perturbation_raw,Fgf_100,2153,444,955,66
0.7,chem_perturbation_raw,Fgf_150,1214,381,277,6
0.7,chem_perturbation_raw,Shh_025,442,43,190,4
0.7,chem_perturbation_raw,Shh_050,1035,214,505,20
0.7,chem_perturbation_raw,Shh_075,974,143,523,2
0.7,chem_perturbation_raw,Shh_100,797,40,567,7
0.7,chem_perturbation_raw,bmp_i_11,26,2,23,0
0.7,chem_perturbation_raw,bmp_i_12,25,2,23,0
0.7,chem_perturbation_raw,bmp_i_13,225,28,180,30
0.7,chem_perturbation_raw,bmp_i_13_13,9,1,8,0
0.7,chem_perturbation_raw,bmp_i_14,31,8,21,0
0.7,chem_perturbation_raw,dmso,211,13,184,2
0.7,chem_perturbation_raw,ethanol_ctrl,1061,118,531,45
