experiment_order,experiment_id,frame_inventory_present,plate_metadata_present,frame_masks_present,physical_embryo_registry_present,snip_inventory_present,mask_geometry_present,stage_predictions_present,surface_area_qc_present,death_detection_qc_present,mask_quality_qc_present,focus_qc_present,motion_blur_qc_present,snip_qc_present,core_inputs_present,stored_sa_source_present,evaluable
64,20250624_chem02_35C_T00_1216,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
65,20250624_chem02_35C_T01_1711,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
66,20250625_chem02_28C_T02_1332,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
67,20250625_chem02_34C_T02_1301,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
68,20250625_chem02_35C_T02_1228,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
69,20250703_chem3_28C_T00_1325,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
70,20250703_chem3_34C_T00_1131,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
71,20250703_chem3_34C_T01_1457,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
72,20250703_chem3_35C_T00_1101,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
73,20250703_chem3_35C_T01_1437,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
74,20250716_chem4_28C_T00_1158,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
75,20250716_chem4_28C_T01_1400,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
76,20250716_chem4_34C_T00_1014,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
77,20250716_chem4_35C_T00_1045,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
78,20250721_chem5_28C_T00_1257,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
79,20250721_chem5_28C_T01_1401,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
80,20250721_chem5_35C_T00_1023,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
81,20260319_cilia_crispant_18hpf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
82,20260319_cilia_crispant_24hpf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
83,20260319_cilia_crispant_30hpf,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
84,20260416_cep290_30to48hpf_plate01_t02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
85,20260416_cep290_30to48hpf_plate02_t02,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,True
86,20260320,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
87,20231110,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
88,20231206,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
89,20231218,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
90,20240306,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
91,20240307,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
92,20240404,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
93,20240411,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
94,20240418,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
95,20240509,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
96,20240522,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
97,20240530,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
98,20240626,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
99,20240812,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
100,20241022,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
101,20241023,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
102,20250126,False,True,False,False,True,True,False,False,False,False,False,False,False,False,False,False
