stratum,stratum_value,row_count,physical_embryo_count,sa_outlier_rows,too_small_rows,too_large_rows,current_use_snip_rows,mean_normalized_boundary_margin,sa_outlier_fraction,too_small_fraction,too_large_fraction
experiment_id,20260804_seahub_CHEM13_shard001,96,96,41,39,2,96,0.006533357735135151,0.4270833333333333,0.40625,0.020833333333333332
experiment_id,20260804_seahub_CHEM13_shard002,88,88,32,32,0,88,0.0061004827964742945,0.36363636363636365,0.36363636363636365,0.0
experiment_id,20260804_seahub_CHEM15_shard001,96,96,5,5,0,96,0.2591930208178499,0.052083333333333336,0.052083333333333336,0.0
experiment_id,20260804_seahub_CHEM15_shard002,96,96,3,2,1,96,0.366159801580622,0.03125,0.020833333333333332,0.010416666666666666
experiment_id,20260804_seahub_CHEM15_shard003,96,96,0,0,0,96,0.32415219972080744,0.0,0.0,0.0
experiment_id,20260804_seahub_CHEM15_shard004,96,96,5,5,0,96,0.20721476282250526,0.052083333333333336,0.052083333333333336,0.0
experiment_id,20260804_seahub_CHEM15_shard005,48,48,9,4,5,48,0.09649210072393848,0.1875,0.08333333333333333,0.10416666666666667
experiment_id,20260804_seahub_CHEM16_shard001,96,96,27,27,0,96,0.1952731206618671,0.28125,0.28125,0.0
experiment_id,20260804_seahub_CHEM16_shard002,96,96,34,34,0,96,0.020343591883021858,0.3541666666666667,0.3541666666666667,0.0
experiment_id,20260804_seahub_CHEM16_shard003,96,96,24,24,0,96,0.1989082494873916,0.25,0.25,0.0
experiment_id,20260804_seahub_CHEM16_shard004,96,96,0,0,0,96,0.20108488133805233,0.0,0.0,0.0
experiment_id,20260804_seahub_CHEM16_shard005,96,96,6,6,0,96,0.15871575550439446,0.0625,0.0625,0.0
experiment_id,20260804_seahub_CHEM16_shard006,96,96,11,11,0,96,0.2012698812640558,0.11458333333333333,0.11458333333333333,0.0
experiment_id,20260804_seahub_CHEM16_shard007,48,48,15,15,0,48,0.026230550598997173,0.3125,0.3125,0.0
experiment_id,20260804_seahub_CHEM17_shard001,96,96,0,0,0,96,0.3094377323720836,0.0,0.0,0.0
experiment_id,20260804_seahub_CHEM17_shard002,96,96,4,0,4,96,0.2601499752763988,0.041666666666666664,0.0,0.041666666666666664
experiment_id,20260804_seahub_CHEM17_shard003,32,32,4,4,0,32,0.2710182410656513,0.125,0.125,0.0
experiment_id,20260804_seahub_GENE10_shard001,96,96,3,3,0,96,0.2237729528606497,0.03125,0.03125,0.0
experiment_id,20260804_seahub_GENE10_shard002,96,96,0,0,0,96,0.2509758044825848,0.0,0.0,0.0
experiment_id,20260804_seahub_GENE10_shard003,96,96,0,0,0,96,0.4112584156120671,0.0,0.0,0.0
stage_bin,60-72,296,296,69,67,2,296,0.12169567168560631,0.23310810810810811,0.22635135135135134,0.006756756756756757
stage_bin,>72,168,168,48,43,5,168,0.04363321319328656,0.2857142857142857,0.25595238095238093,0.02976190476190476
stage_bin,<18,400,400,35,35,0,400,0.21892537966155293,0.0875,0.0875,0.0
stage_bin,18-24,376,376,61,60,1,376,0.2584193787822975,0.1622340425531915,0.1595744680851064,0.0026595744680851063
stage_bin,36-48,424,424,10,6,4,424,0.24935295730976123,0.02358490566037736,0.014150943396226415,0.009433962264150943
stage_bin,30-36,88,88,0,0,0,88,0.29946476102780495,0.0,0.0,0.0
genotype,ctrl,1464,1464,220,208,12,1464,0.1879166674783151,0.15027322404371585,0.14207650273224043,0.00819672131147541
genotype,ctrl-inj,56,56,3,3,0,56,0.29200845150554067,0.05357142857142857,0.05357142857142857,0.0
genotype,her1,24,24,0,0,0,24,0.2914172429608833,0.0,0.0,0.0
genotype,"her1,her7",24,24,0,0,0,24,0.31691567619214994,0.0,0.0,0.0
genotype,her7,24,24,0,0,0,24,0.32746674167733153,0.0,0.0,0.0
genotype,prdm1a,16,16,0,0,0,16,0.27368952587675943,0.0,0.0,0.0
genotype,zeb1a,16,16,0,0,0,16,0.19330356587815972,0.0,0.0,0.0
genotype,"zeb1a,zeb1b",16,16,0,0,0,16,0.16051414648376083,0.0,0.0,0.0
genotype,zeb1b,16,16,0,0,0,16,0.23441109318973008,0.0,0.0,0.0
genotype,zeb2a,16,16,0,0,0,16,0.2782399761739664,0.0,0.0,0.0
genotype,"zeb2a,zeb2b",16,16,0,0,0,16,0.225865075440115,0.0,0.0,0.0
genotype,zeb2b,16,16,0,0,0,16,0.26652085323403907,0.0,0.0,0.0
genotype,"meis1a,1b",8,8,0,0,0,8,0.4110712767764243,0.0,0.0,0.0
genotype,"meis2a,2b",8,8,0,0,0,8,0.4194380945132159,0.0,0.0,0.0
genotype,meis1a,8,8,0,0,0,8,0.44776962824214234,0.0,0.0,0.0
genotype,meis1b,8,8,0,0,0,8,0.3765416256622703,0.0,0.0,0.0
genotype,meis2a,8,8,0,0,0,8,0.4291287557168398,0.0,0.0,0.0
genotype,meis2b,8,8,0,0,0,8,0.4315900789697861,0.0,0.0,0.0
chem_perturbation,ctrl,40,40,15,15,0,40,0.0034849797221097926,0.375,0.375,0.0
chem_perturbation,DMH1,32,32,12,12,0,32,0.019699946462124838,0.375,0.375,0.0
chem_perturbation,LY411575,32,32,15,14,1,32,-0.0060479533530043185,0.46875,0.4375,0.03125
chem_perturbation,SB505124,40,40,12,12,0,40,0.02779652665466234,0.3,0.3,0.0
chem_perturbation,SU5402,40,40,19,18,1,40,-0.013101980147500738,0.475,0.45,0.025
chem_perturbation,2-DG,32,32,0,0,0,32,0.305207662316752,0.0,0.0,0.0
chem_perturbation,DMSO,96,96,8,7,1,96,0.2423668532168146,0.08333333333333333,0.07291666666666667,0.010416666666666666
chem_perturbation,leflunomide,32,32,1,1,0,32,0.29382149800803536,0.03125,0.03125,0.0
chem_perturbation,LY294002,40,40,4,2,2,40,0.2533344138622368,0.1,0.05,0.05
chem_perturbation,oligomycin,32,32,1,1,0,32,0.32174529615443986,0.03125,0.03125,0.0
chem_perturbation,ruxolitibin,8,8,3,3,0,8,0.05740961062650077,0.375,0.375,0.0
chem_perturbation,simvastatin,32,32,0,0,0,32,0.3489526904097554,0.0,0.0,0.0
chem_perturbation,GNE-7883,32,32,0,0,0,32,0.29111897895176997,0.0,0.0,0.0
chem_perturbation,ruxolitinib,24,24,0,0,0,24,0.26269534001469513,0.0,0.0,0.0
