dimension,stratum,rows,physical_embryos,too_small_rows,too_large_rows,sa_outlier_rows,isolated_sa_only_rows,current_use_snip_rows,sa_outlier_rate,too_small_rate
experiment,20260202,16943,242,6586,494,7080,2650,6148,0.4178716874225344,0.3887151035826005
experiment,20260206,14700,98,1582,0,1582,408,11721,0.10761904761904761,0.10761904761904761
experiment,20260208,31680,102,23854,177,24031,10831,6374,0.7585542929292929,0.7529671717171718
experiment,20260210,15892,99,3562,28,3590,646,9000,0.22589982381072238,0.22413793103448276
experiment,20260213,29010,221,18616,2617,21233,1354,2820,0.7319200275766977,0.641709755256808
experiment,20260219,31713,181,18784,711,19495,3766,7023,0.6147321287799956,0.5923123009491376
experiment,20260228,17012,114,5426,155,5581,1272,8683,0.32806254408652713,0.31895132847401836
experiment,20260304,37409,199,18143,1355,19498,1221,6128,0.5212114731749045,0.4849902429896549
experiment,20260306,26979,149,13630,1366,14996,2493,6377,0.5558397271952259,0.5052077541791764
experiment,20260319,10269,98,2192,576,2768,515,2587,0.269549128444834,0.21345798032914598
experiment,20260319_cilia_crispant_18hpf,92,92,1,34,35,18,55,0.3804347826086957,0.010869565217391304
experiment,20260319_cilia_crispant_24hpf,99,99,4,0,4,0,69,0.04040404040404041,0.04040404040404041
experiment,20260319_cilia_crispant_30hpf,102,102,3,0,3,0,80,0.029411764705882353,0.029411764705882353
experiment,20260324_cep290_24hpf_plate01,101,101,4,2,6,0,91,0.0594059405940594,0.039603960396039604
experiment,20260324_cep290_24hpf_plate02,101,101,5,2,7,0,74,0.06930693069306931,0.04950495049504951
experiment,20260324_cep290_30hpf_plate01,98,98,3,1,4,1,91,0.04081632653061224,0.030612244897959183
experiment,20260324_cep290_30hpf_plate02,72,72,9,2,11,0,55,0.1527777777777778,0.125
experiment,20260331_b9d2_18hpf_plate02,70,70,2,22,24,6,45,0.34285714285714286,0.02857142857142857
experiment,20260414_b9d2_14hpf_plate01,107,107,4,6,10,3,97,0.09345794392523364,0.037383177570093455
experiment,20260414_b9d2_30hpf_plate01,106,106,11,0,11,3,93,0.10377358490566038,0.10377358490566038
experiment,20260414_b9d2_30hpf_plate02,72,72,8,0,8,6,59,0.1111111111111111,0.1111111111111111
experiment,20260415_b9d2_30to48hpf_plate01_t02,109,109,13,2,15,4,91,0.13761467889908258,0.11926605504587157
experiment,20260415_b9d2_30to48hpf_plate02_t02,58,58,10,0,10,8,42,0.1724137931034483,0.1724137931034483
experiment,20260415_cep290_18hpf_plate03,81,81,15,13,28,12,42,0.345679012345679,0.18518518518518517
experiment,20260415_cep290_30to48hpf_plate02_t01,93,93,10,3,13,2,51,0.13978494623655913,0.10752688172043011
experiment,20260416_cep290_30to48hpf_plate01_t02,109,109,18,1,19,7,89,0.1743119266055046,0.1651376146788991
experiment,20260416_cep290_30to48hpf_plate02_t02,70,70,13,2,15,6,49,0.21428571428571427,0.18571428571428572
experiment,20260417_irx_pilot,4968,184,414,11,425,176,3611,0.0855475040257649,0.08333333333333333
experiment,20260418_irx_pilot,15251,197,9952,98,10050,2684,4390,0.6589731820864205,0.6525473739426922
experiment,20260702_hotchem_24hpf_plate01,104,104,11,0,11,4,89,0.10576923076923077,0.10576923076923077
experiment,20260702_hotchem_24hpf_plate02,117,117,12,7,19,4,94,0.1623931623931624,0.10256410256410256
experiment,20260702_hotchem_30hpf_plate01,124,124,30,7,37,17,79,0.29838709677419356,0.24193548387096775
experiment,20260702_hotchem_30hpf_plate02,107,107,19,3,22,11,78,0.205607476635514,0.17757009345794392
experiment,20260702_hotchem_36hpf_plate01,101,101,12,3,15,10,84,0.1485148514851485,0.1188118811881188
experiment,20260702_hotchem_36hpf_plate02,99,99,10,0,10,7,87,0.10101010101010101,0.10101010101010101
experiment,20260724_hotfish_24hpf_plate01,102,102,0,0,0,0,98,0.0,0.0
experiment,20260724_hotfish_30hpf_plate01,98,98,0,0,0,0,92,0.0,0.0
experiment,20260724_hotfish_36hpf_plate01,101,101,0,0,0,0,92,0.0,0.0
nominal_stage_bin,18-<24,46905,3269,13203,2487,15690,4495,16623,0.3345059162136233,0.2814838503357851
nominal_stage_bin,24-<36,107676,7339,43494,5262,48756,14926,35594,0.4528028530034548,0.40393402429510755
nominal_stage_bin,36-<48,91759,3674,46429,3782,50211,14199,29019,0.5472051787835526,0.5059885133883325
nominal_stage_bin,48-<72,123516,3390,61735,5553,67288,9936,39680,0.5447715275753748,0.49981378930664855
nominal_stage_bin,<18,45665,2831,3579,2616,6195,2138,35306,0.13566188547027264,0.0783751231796781
nominal_stage_bin,>=72,115483,2223,44338,8795,53133,6943,28245,0.4600936934440567,0.38393529783604513
nominal_stage_bin,unavailable,898,898,0,0,0,0,737,0.0,0.0
genotype_raw,H2B-mScarlet,5460,62,864,1153,2017,1113,3001,0.36941391941391943,0.15824175824175823
genotype_raw,ab,13478,3402,3180,870,4050,1030,6501,0.30048968689716576,0.2359400504525894
genotype_raw,ab-ctrl-inj,17,17,1,0,1,1,16,0.058823529411764705,0.058823529411764705
genotype_raw,ab-lmx1b,32,32,0,0,0,0,29,0.0,0.0
genotype_raw,ab_inj_ctrl,4137,35,1549,367,1916,192,781,0.4631375392796713,0.3744259124969785
genotype_raw,atf6,151,151,26,4,30,21,116,0.1986754966887417,0.17218543046357615
genotype_raw,b9d2_het,203,203,20,6,26,9,175,0.12807881773399016,0.09852216748768473
genotype_raw,b9d2_heterozygous,37280,226,9547,2594,12141,4229,15276,0.3256706008583691,0.25608905579399144
genotype_raw,b9d2_homo,94,94,6,3,9,3,81,0.09574468085106383,0.06382978723404255
genotype_raw,b9d2_homozygous,19055,113,3155,2367,5522,1671,8429,0.2897927053266859,0.16557334033062188
genotype_raw,b9d2_unknown,18501,198,8085,2426,10511,1007,3667,0.5681314523539268,0.4370034052213394
genotype_raw,b9d2_wildtype,22078,133,5628,2365,7993,2707,8019,0.36203460458374853,0.2549143944197844
genotype_raw,b9d2_wt,72,72,8,1,9,5,62,0.125,0.1111111111111111
genotype_raw,cep290_crispant,13589,135,3177,1986,5163,977,6286,0.3799396570755758,0.2337920376775333
genotype_raw,cep290_het,301,301,34,11,45,14,245,0.14950166112956811,0.11295681063122924
genotype_raw,cep290_heterozygous,44838,400,20526,1712,22238,9283,14963,0.49596324546143894,0.45778134617957983
genotype_raw,cep290_homo,119,119,15,3,18,4,94,0.15126050420168066,0.12605042016806722
genotype_raw,cep290_homozygous,20832,252,5175,1218,6393,2561,10621,0.3068836405529954,0.2484158986175115
genotype_raw,cep290_homozyous,6601,41,610,12,622,60,4894,0.0942281472504166,0.09241024087259506
genotype_raw,cep290_unknown,35836,269,20942,667,21609,3336,7765,0.6029969862707891,0.5843844179037839
genotype_raw,cep290_unkown,16825,68,11909,1152,13061,2365,2644,0.7762852897473997,0.707815750371471
genotype_raw,cep290_wildtype,26022,222,10714,889,11603,4052,9505,0.44589193759126894,0.411728537391438
genotype_raw,cep290_wt,147,147,17,6,23,3,113,0.1564625850340136,0.11564625850340136
genotype_raw,crispr-inj-ctrl,1060,12,444,9,453,26,320,0.42735849056603775,0.4188679245283019
genotype_raw,crispr-pbx1,3979,32,1622,160,1782,152,1380,0.4478512188992209,0.4076401105805479
genotype_raw,crispr-pbx1+4,4880,37,677,532,1209,292,2843,0.24774590163934426,0.1387295081967213
genotype_raw,crispr-pbx4,4841,37,987,386,1373,93,2697,0.283619086965503,0.20388349514563106
genotype_raw,ctcf,146,146,24,1,25,22,118,0.17123287671232876,0.1643835616438356
genotype_raw,ctrl-inj,52,52,1,0,1,0,46,0.019230769230769232,0.019230769230769232
genotype_raw,foxj1a_crispant,2945,80,1293,62,1355,496,896,0.4601018675721562,0.43904923599320883
genotype_raw,gdf3,6313,115,1450,138,1588,427,4265,0.2515444321241882,0.22968477744337082
genotype_raw,if88_ift74_crispant,2698,38,1254,72,1326,354,838,0.49147516679021497,0.4647887323943662
genotype_raw,ift88_crispant,2612,74,994,3,997,339,1083,0.3816998468606432,0.38055130168453294
genotype_raw,inj-ctrl,1756,211,125,9,134,30,1416,0.07630979498861047,0.07118451025056947
genotype_raw,irx3a_crispant,1785,34,423,1,424,278,1230,0.23753501400560223,0.23697478991596638
genotype_raw,irx3a_irx5a_crispant,3313,64,2112,6,2118,419,898,0.6392997283428916,0.6374886809538183
genotype_raw,irx3a_irx5a_irx6a_crispant,3096,58,2196,1,2197,668,735,0.709625322997416,0.7093023255813954
genotype_raw,irx3a_irx6a_crispant,3472,65,2403,10,2413,586,762,0.6949884792626728,0.6921082949308756
genotype_raw,irx5a_crispant,1836,34,579,81,660,195,992,0.35947712418300654,0.315359477124183
genotype_raw,irx5a_irx6a_crispant,3384,63,2218,3,2221,523,849,0.6563238770685579,0.6554373522458629
genotype_raw,irx6a_crispant,1758,33,322,0,322,171,1285,0.1831626848691695,0.1831626848691695
genotype_raw,meox1,25,25,1,0,1,0,24,0.04,0.04
genotype_raw,meox1:sox1,26,26,4,0,4,1,22,0.15384615384615385,0.15384615384615385
genotype_raw,meox1:tbx5a,26,26,2,1,3,0,21,0.11538461538461539,0.07692307692307693
genotype_raw,nfatc1,8,8,0,0,0,0,6,0.0,0.0
genotype_raw,nfatc:gata2a,8,8,0,0,0,0,8,0.0,0.0
genotype_raw,pbx1b_crispant,13796,73,7419,897,8316,425,1953,0.6027834154827486,0.5377645694404175
genotype_raw,pbx1b_pbx4_crispant,20347,109,9721,771,10492,1039,5582,0.5156534132795989,0.4777608492652479
genotype_raw,pbx4_crispant,13974,77,6524,328,6852,820,2996,0.49033920137398024,0.46686703878631747
genotype_raw,scospondin_crispant,6136,88,2237,117,2354,1228,2534,0.3836375488917862,0.3645697522816167
genotype_raw,smad5,24,24,0,0,0,0,24,0.0,0.0
genotype_raw,smyda:smydb,25,25,2,0,2,1,23,0.08,0.08
genotype_raw,sox10,27,27,2,2,4,3,22,0.14814814814814814,0.07407407407407407
genotype_raw,sox10:tbx5a,26,26,2,0,2,0,23,0.07692307692307693,0.07692307692307693
genotype_raw,sspo_crispant,36,36,1,0,1,0,34,0.027777777777777776,0.027777777777777776
genotype_raw,tbx2b,18,18,3,0,3,2,13,0.16666666666666666,0.16666666666666666
genotype_raw,tbx2b:tbx2a,16,16,0,0,0,0,15,0.0,0.0
genotype_raw,tbx5a,25,25,1,0,1,1,23,0.04,0.04
genotype_raw,tbx6,25,25,2,0,2,0,21,0.08,0.08
genotype_raw,tbxta,8,8,0,0,0,0,8,0.0,0.0
genotype_raw,tfap2a_cispant,2205,21,562,105,667,195,644,0.3024943310657596,0.254875283446712
genotype_raw,tfap2a_crispant,1390,10,922,16,938,4,152,0.6748201438848921,0.6633093525179856
genotype_raw,tfap2a_tfap2b_cispant,1260,12,269,117,386,38,329,0.30634920634920637,0.21349206349206348
genotype_raw,tfap2a_tfap2b_crispant,1598,12,1211,43,1254,98,145,0.7847309136420526,0.7578222778473092
genotype_raw,tfap2a_tfap2c_crispant,5765,44,4016,746,4762,489,386,0.8260190806591501,0.6966175195143105
genotype_raw,tfap2a_tfap2d_crispant,3215,24,2384,140,2524,28,252,0.7850699844479004,0.7415241057542769
genotype_raw,tfap2a_tfap2e_crispant,4937,40,2823,747,3570,204,416,0.7231112011342921,0.5718047397204781
genotype_raw,tfap2b_crispant,1365,13,264,3,267,120,382,0.1956043956043956,0.1934065934065934
genotype_raw,tfap2b_tfap2c_crispant,3496,26,2152,564,2716,294,283,0.7768878718535469,0.6155606407322655
genotype_raw,tfap2b_tfap2d_crispant,5418,41,3524,71,3595,88,587,0.6635289774824659,0.6504245108896272
genotype_raw,tfap2c_crispant,1365,13,221,7,228,10,284,0.16703296703296702,0.1619047619047619
genotype_raw,tfap2d_crispant,840,8,208,22,230,11,211,0.27380952380952384,0.24761904761904763
genotype_raw,tfap2e_crispant,1239,12,359,97,456,33,329,0.36803874092009686,0.2897497982243745
genotype_raw,tmem67_heterozygote,6802,38,1061,64,1125,254,3985,0.1653925316083505,0.155983534254631
genotype_raw,tmem67_heterozygous,9466,71,3326,158,3484,679,4073,0.3680540883160786,0.35136277202619903
genotype_raw,tmem67_homozygous,13286,90,2929,101,3030,858,8027,0.22805961162125546,0.2204576245672136
genotype_raw,tmem67_unknown,228,4,146,0,146,3,31,0.6403508771929824,0.6403508771929824
genotype_raw,tmem67_wildtype,13651,128,6030,270,6300,746,4872,0.46150465167387006,0.44172588088784703
genotype_raw,unavailable,327,327,0,50,50,24,178,0.1529051987767584,0.0
genotype_raw,uncertain,31,31,9,6,15,7,16,0.4838709677419355,0.2903225806451613
genotype_raw,wfs1a-wfs1b,144,144,25,2,27,23,116,0.1875,0.1736111111111111
genotype_raw,wik,31861,548,11243,801,12044,3083,15466,0.3780170113932394,0.3528765575468441
genotype_raw,wik-ab,24223,185,15228,479,15707,1492,3730,0.6484333071873839,0.6286587127936258
genotype_raw,wik-ab_inj_ctrl,7620,42,3633,484,4117,622,1022,0.5402887139107612,0.4767716535433071
chem_perturbation_raw,DMSO_6,279,279,26,3,29,13,223,0.1039426523297491,0.0931899641577061
chem_perturbation_raw,Fgf_025,1032,24,201,0,201,51,628,0.19476744186046513,0.19476744186046513
chem_perturbation_raw,Fgf_050,905,22,418,0,418,34,263,0.46187845303867403,0.46187845303867403
chem_perturbation_raw,Fgf_075,1376,32,393,86,479,62,664,0.3481104651162791,0.2856104651162791
chem_perturbation_raw,Fgf_100,2153,52,683,103,786,157,889,0.36507199256850903,0.31723176962378075
chem_perturbation_raw,Fgf_150,1214,31,529,114,643,75,271,0.5296540362438221,0.4357495881383855
chem_perturbation_raw,Shh_025,442,5,61,177,238,74,186,0.5384615384615384,0.13800904977375567
chem_perturbation_raw,Shh_050,1035,12,287,149,436,193,485,0.421256038647343,0.2772946859903382
