policy,dimension,stratum,rows,eligible_rows,row_recovery_vs_strict,row_loss_vs_strict
strict_exclusion_k0.90,experiment,20260319_cilia_crispant_18hpf,92,55,0,0
strict_exclusion_k0.90,experiment,20260319_cilia_crispant_24hpf,99,69,0,0
strict_exclusion_k0.90,experiment,20260319_cilia_crispant_30hpf,102,80,0,0
strict_exclusion_k0.90,experiment,20260324_cep290_24hpf_plate01,101,91,0,0
strict_exclusion_k0.90,experiment,20260324_cep290_24hpf_plate02,101,74,0,0
strict_exclusion_k0.90,experiment,20260324_cep290_30hpf_plate01,98,91,0,0
strict_exclusion_k0.90,experiment,20260324_cep290_30hpf_plate02,72,55,0,0
strict_exclusion_k0.90,experiment,20260331_b9d2_18hpf_plate02,70,45,0,0
strict_exclusion_k0.90,experiment,20260414_b9d2_14hpf_plate01,107,97,0,0
strict_exclusion_k0.90,experiment,20260414_b9d2_30hpf_plate01,106,93,0,0
strict_exclusion_k0.90,experiment,20260414_b9d2_30hpf_plate02,72,59,0,0
strict_exclusion_k0.90,experiment,20260415_b9d2_30to48hpf_plate01_t02,109,91,0,0
strict_exclusion_k0.90,experiment,20260415_b9d2_30to48hpf_plate02_t02,58,42,0,0
strict_exclusion_k0.90,experiment,20260415_cep290_18hpf_plate03,81,42,0,0
strict_exclusion_k0.90,experiment,20260415_cep290_30to48hpf_plate02_t01,93,51,0,0
strict_exclusion_k0.90,experiment,20260416_cep290_30to48hpf_plate01_t02,109,89,0,0
strict_exclusion_k0.90,experiment,20260416_cep290_30to48hpf_plate02_t02,70,49,0,0
strict_exclusion_k0.90,experiment,20260417_irx_pilot,4968,3611,0,0
strict_exclusion_k0.90,experiment,20260418_irx_pilot,15251,4390,0,0
strict_exclusion_k0.90,experiment,20260702_hotchem_24hpf_plate01,104,89,0,0
strict_exclusion_k0.90,experiment,20260702_hotchem_24hpf_plate02,117,94,0,0
strict_exclusion_k0.90,experiment,20260702_hotchem_30hpf_plate01,124,79,0,0
strict_exclusion_k0.90,experiment,20260702_hotchem_30hpf_plate02,107,78,0,0
strict_exclusion_k0.90,experiment,20260702_hotchem_36hpf_plate01,101,84,0,0
strict_exclusion_k0.90,experiment,20260702_hotchem_36hpf_plate02,99,87,0,0
strict_exclusion_k0.90,experiment,20260724_hotfish_24hpf_plate01,102,98,0,0
strict_exclusion_k0.90,experiment,20260724_hotfish_30hpf_plate01,98,92,0,0
strict_exclusion_k0.90,experiment,20260724_hotfish_36hpf_plate01,101,92,0,0
strict_exclusion_k0.90,nominal_stage_bin,18-<24,46905,16623,0,0
strict_exclusion_k0.90,nominal_stage_bin,24-<36,107676,35509,0,0
strict_exclusion_k0.90,nominal_stage_bin,36-<48,91759,29019,0,0
strict_exclusion_k0.90,nominal_stage_bin,48-<72,123516,39680,0,0
strict_exclusion_k0.90,nominal_stage_bin,<18,45665,35306,0,0
strict_exclusion_k0.90,nominal_stage_bin,>=72,115483,28245,0,0
strict_exclusion_k0.90,nominal_stage_bin,unavailable,898,737,0,0
strict_exclusion_k0.90,genotype_raw,H2B-mScarlet,5460,3001,0,0
strict_exclusion_k0.90,genotype_raw,ab,13478,6416,0,0
strict_exclusion_k0.90,genotype_raw,ab-ctrl-inj,17,16,0,0
strict_exclusion_k0.90,genotype_raw,ab-lmx1b,32,29,0,0
strict_exclusion_k0.90,genotype_raw,ab_inj_ctrl,4137,781,0,0
strict_exclusion_k0.90,genotype_raw,atf6,151,116,0,0
strict_exclusion_k0.90,genotype_raw,b9d2_het,203,175,0,0
strict_exclusion_k0.90,genotype_raw,b9d2_heterozygous,37280,15276,0,0
