policy,stratum,stratum_value,row_count,excluded_rows,physical_embryo_count,excluded_physical_embryos
candidate_aspect_circularity_v1,stage_bin,36-48,424,7,424,7
candidate_aspect_circularity_v1,stage_bin,30-36,88,0,88,0
candidate_aspect_circularity_v1,genotype,ctrl,1464,74,1464,74
candidate_aspect_circularity_v1,genotype,ctrl-inj,56,3,56,3
candidate_aspect_circularity_v1,genotype,her1,24,0,24,0
candidate_aspect_circularity_v1,genotype,"her1,her7",24,0,24,0
candidate_aspect_circularity_v1,genotype,her7,24,0,24,0
candidate_aspect_circularity_v1,genotype,prdm1a,16,0,16,0
candidate_aspect_circularity_v1,genotype,zeb1a,16,0,16,0
candidate_aspect_circularity_v1,genotype,"zeb1a,zeb1b",16,0,16,0
candidate_aspect_circularity_v1,genotype,zeb1b,16,0,16,0
candidate_aspect_circularity_v1,genotype,zeb2a,16,0,16,0
candidate_aspect_circularity_v1,genotype,"zeb2a,zeb2b",16,0,16,0
candidate_aspect_circularity_v1,genotype,zeb2b,16,0,16,0
candidate_aspect_circularity_v1,genotype,"meis1a,1b",8,0,8,0
candidate_aspect_circularity_v1,genotype,"meis2a,2b",8,0,8,0
candidate_aspect_circularity_v1,genotype,meis1a,8,0,8,0
candidate_aspect_circularity_v1,genotype,meis1b,8,0,8,0
candidate_aspect_circularity_v1,genotype,meis2a,8,0,8,0
candidate_aspect_circularity_v1,genotype,meis2b,8,0,8,0
candidate_aspect_circularity_v1,chem_perturbation,ctrl,40,0,40,0
candidate_aspect_circularity_v1,chem_perturbation,DMH1,32,0,32,0
candidate_aspect_circularity_v1,chem_perturbation,LY411575,32,1,32,1
candidate_aspect_circularity_v1,chem_perturbation,SB505124,40,0,40,0
candidate_aspect_circularity_v1,chem_perturbation,SU5402,40,1,40,1
candidate_aspect_circularity_v1,chem_perturbation,2-DG,32,0,32,0
candidate_aspect_circularity_v1,chem_perturbation,DMSO,96,1,96,1
candidate_aspect_circularity_v1,chem_perturbation,leflunomide,32,0,32,0
candidate_aspect_circularity_v1,chem_perturbation,LY294002,40,4,40,4
candidate_aspect_circularity_v1,chem_perturbation,oligomycin,32,0,32,0
candidate_aspect_circularity_v1,chem_perturbation,ruxolitibin,8,3,8,3
candidate_aspect_circularity_v1,chem_perturbation,simvastatin,32,0,32,0
candidate_aspect_circularity_v1,chem_perturbation,GNE-7883,32,0,32,0
candidate_aspect_circularity_v1,chem_perturbation,ruxolitinib,24,0,24,0
candidate_aspect_circularity_v1,chem_perturbation,SU6656,32,3,32,3
candidate_aspect_circularity_v1,chem_perturbation,DMSO_24hpf,24,0,24,0
candidate_aspect_circularity_v1,chem_perturbation,leflunomide_24hpf,24,0,24,0
candidate_aspect_circularity_v1,chem_perturbation,oligomycin_24hpf,8,0,8,0
candidate_aspect_circularity_v1,chem_perturbation,simvastatin_24hpf,16,0,16,0
candidate_aspect_circularity_v1,chem_perturbation,2-DG_24hpf,24,0,24,0
candidate_aspect_circularity_v1,chem_perturbation,rapamycin,24,0,24,0
candidate_aspect_circularity_v1,chem_perturbation,control_24C,56,0,56,0
candidate_aspect_circularity_v1,chem_perturbation,treatment_24C,56,8,56,8
candidate_aspect_circularity_v1,chem_perturbation,control_28C,56,10,56,10
candidate_aspect_circularity_v1,chem_perturbation,treatment_28C,56,19,56,19
candidate_aspect_circularity_v1,chem_perturbation,control_34C,56,0,56,0
candidate_aspect_circularity_v1,chem_perturbation,treatment_34C,56,20,56,20
candidate_aspect_circularity_v1,chem_perturbation,treatment_28C_14hpf_wash,24,0,24,0
candidate_aspect_circularity_v1,chem_perturbation,control_at_24hpf_28C,72,0,72,0
candidate_aspect_circularity_v1,chem_perturbation,treatment_at_24hpf_28C,72,0,72,0
candidate_aspect_circularity_v1,chem_perturbation,treatment_14hpf_wash_28C,24,0,24,0
candidate_aspect_circularity_v1,chem_perturbation,treatment_24hpf_wash_28C,24,0,24,0
candidate_aspect_circularity_v1,chem_perturbation,treatment_at_30hpf_28C,48,0,48,0
candidate_aspect_circularity_v1,chem_perturbation,treatment_at_48hpf_28C,24,0,24,0
candidate_aspect_circularity_v1,chem_perturbation,CP-673451,48,0,48,0
candidate_aspect_circularity_v1,chem_perturbation,AG1478,48,0,48,0
candidate_aspect_circularity_v1,chem_perturbation,VRI,48,0,48,0
candidate_aspect_circularity_v1,chem_perturbation,BGJ398,32,4,32,4
candidate_aspect_circularity_v1,chem_perturbation,<missing>,288,3,288,3
candidate_aspect_circularity_v1,perturbation_domain,chemical,1464,74,1464,74
candidate_aspect_circularity_v1,perturbation_domain,genetic,288,3,288,3
candidate_aspect_circularity_v1,incubation_temperature_c,28.5,1752,77,1752,77
candidate_aspect_circularity_v1,source_scope_resolved,seahub,1752,77,1752,77
candidate_aspect_circularity_v1,calibration_status_resolved,placeholder,1752,77,1752,77
candidate_aspect_circularity_v1,segmentation_backend,sam2_image_precomputed,1752,77,1752,77
candidate_aspect_circularity_v1,acquisition_mode,snapshot,1752,77,1752,77
candidate_aspect_circularity_v1,surface_area_qc_applicability,diagnostic_only,1752,77,1752,77
