k_lower,stratum,stratum_value,row_count,flagged_rows,recovered_rows_vs_production,physical_embryo_count,flagged_physical_embryos
0.75,experiment_id,20260804_seahub_CHEM16_shard004,96,0,0,96,0
0.75,experiment_id,20260804_seahub_CHEM16_shard005,96,0,6,96,0
0.75,experiment_id,20260804_seahub_CHEM16_shard006,96,0,11,96,0
0.75,experiment_id,20260804_seahub_CHEM16_shard007,48,0,15,48,0
0.75,experiment_id,20260804_seahub_CHEM17_shard001,96,0,0,96,0
0.75,experiment_id,20260804_seahub_CHEM17_shard002,96,4,0,96,4
0.75,experiment_id,20260804_seahub_CHEM17_shard003,32,0,4,32,0
0.75,experiment_id,20260804_seahub_GENE10_shard001,96,0,3,96,0
0.75,experiment_id,20260804_seahub_GENE10_shard002,96,0,0,96,0
0.75,experiment_id,20260804_seahub_GENE10_shard003,96,0,0,96,0
0.75,stage_bin,60-72,296,7,62,296,7
0.75,stage_bin,>72,168,8,40,168,8
0.75,stage_bin,<18,400,8,27,400,8
0.75,stage_bin,18-24,376,46,15,376,46
0.75,stage_bin,36-48,424,4,6,424,4
0.75,stage_bin,30-36,88,0,0,88,0
0.75,genotype,ctrl,1464,73,147,1464,73
0.75,genotype,ctrl-inj,56,0,3,56,0
0.75,genotype,her1,24,0,0,24,0
0.75,genotype,"her1,her7",24,0,0,24,0
0.75,genotype,her7,24,0,0,24,0
0.75,genotype,prdm1a,16,0,0,16,0
0.75,genotype,zeb1a,16,0,0,16,0
0.75,genotype,"zeb1a,zeb1b",16,0,0,16,0
0.75,genotype,zeb1b,16,0,0,16,0
0.75,genotype,zeb2a,16,0,0,16,0
0.75,genotype,"zeb2a,zeb2b",16,0,0,16,0
0.75,genotype,zeb2b,16,0,0,16,0
0.75,genotype,"meis1a,1b",8,0,0,8,0
0.75,genotype,"meis2a,2b",8,0,0,8,0
0.75,genotype,meis1a,8,0,0,8,0
0.75,genotype,meis1b,8,0,0,8,0
0.75,genotype,meis2a,8,0,0,8,0
0.75,genotype,meis2b,8,0,0,8,0
0.75,chem_perturbation,ctrl,40,2,13,40,2
0.75,chem_perturbation,DMH1,32,1,11,32,1
0.75,chem_perturbation,LY411575,32,1,14,32,1
0.75,chem_perturbation,SB505124,40,0,12,40,0
0.75,chem_perturbation,SU5402,40,5,14,40,5
0.75,chem_perturbation,2-DG,32,0,0,32,0
0.75,chem_perturbation,DMSO,96,1,7,96,1
0.75,chem_perturbation,leflunomide,32,0,1,32,0
0.75,chem_perturbation,LY294002,40,2,2,40,2
0.75,chem_perturbation,oligomycin,32,0,1,32,0
0.75,chem_perturbation,ruxolitibin,8,0,3,8,0
0.75,chem_perturbation,simvastatin,32,0,0,32,0
0.75,chem_perturbation,GNE-7883,32,0,0,32,0
0.75,chem_perturbation,ruxolitinib,24,0,0,24,0
0.75,chem_perturbation,SU6656,32,3,0,32,3
0.75,chem_perturbation,DMSO_24hpf,24,1,1,24,1
0.75,chem_perturbation,leflunomide_24hpf,24,0,0,24,0
0.75,chem_perturbation,oligomycin_24hpf,8,0,0,8,0
0.75,chem_perturbation,simvastatin_24hpf,16,0,0,16,0
0.75,chem_perturbation,2-DG_24hpf,24,0,1,24,0
0.75,chem_perturbation,rapamycin,24,0,3,24,0
0.75,chem_perturbation,control_24C,56,0,0,56,0
0.75,chem_perturbation,treatment_24C,56,0,8,56,0
0.75,chem_perturbation,control_28C,56,2,13,56,2
0.75,chem_perturbation,treatment_28C,56,24,11,56,24
0.75,chem_perturbation,control_34C,56,0,1,56,0
0.75,chem_perturbation,treatment_34C,56,27,5,56,27
