pair,genotype,n_embryos,n_timepoints,time_range_hpf,mean_total_length_um,std_total_length_um
b9d2_pair_6,b9d2_wildtype,1,182,10.0-31.5,661.5721177847101,446.580780904688
b9d2_pair_6,b9d2_heterozygous,2,291,10.0-32.3,929.1613432774315,716.2661591966151
b9d2_pair_6,b9d2_homozygous,1,348,10.0-51.3,1530.3288319639148,643.1302526300151
b9d2_pair_7,b9d2_wildtype,4,1182,10.0-51.3,1511.4681553043472,917.5990409837873
b9d2_pair_7,b9d2_heterozygous,7,1689,10.0-51.3,1433.9175926949604,928.9588765142581
b9d2_pair_7,b9d2_homozygous,4,1142,10.0-51.3,1388.5874780994068,841.3284057690704
