fold,alpha,r2,mae,rmse,pearson_r,n_train,n_test
1,100.0,0.9119520225833232,41.882692817765445,54.13450435224118,0.9555348356307055,4949,1238
2,100.0,0.8294991407135979,45.132891981788426,58.176820067969174,0.912482720650849,4947,1240
3,100.0,0.8150452915969013,48.07512762040037,61.83927038256252,0.9036718435420837,4949,1238
4,100.0,0.8733104621888162,45.31782082001682,61.072683283999076,0.9372873382056767,4951,1236
5,100.0,0.8620317756544671,40.8014326306374,53.61478663388799,0.941399363684219,4952,1235
