model,n_points,n_embryos,velocity_rmse,velocity_r2,median_cosine,one_step_skill_vs_persistence,predictable_drift_captured,gradient_excess_sse_vs_full,dense_fraction,median_tangent_dim,median_full_curl_fraction
unconstrained,5365,92,0.061255763912244965,0.8077443846096706,0.9553354417443638,0.6944973553372522,0.9299060887618096,0.05661796319797701,0.8965574866310161,4.0,0.5975199434721915
gradient,5365,92,0.06969423249775884,0.7511264214116935,0.9488096486237223,0.6493774622245886,0.9299060887618096,0.05661796319797701,0.8965574866310161,4.0,0.5975199434721915
