window,predictable_drift_captured,gradient_excess_sse_vs_full,dense_fraction,median_tangent_dim,median_full_curl_fraction,unconstrained_velocity_r2,unconstrained_median_cosine,unconstrained_one_step_skill,gradient_velocity_r2,gradient_median_cosine,gradient_one_step_skill
5,0.9163401172575428,0.061544280382362905,0.8984805476707297,4.0,0.594620716687846,0.7356486569772511,0.9315930324908754,0.6082958152947143,0.6741043765948883,0.9154697820245936,0.5617241578595695
7,0.9299060887618096,0.05661796319797701,0.8965574866310161,4.0,0.5975199434721915,0.8077443846096706,0.9553354417443638,0.6944973553372522,0.7511264214116935,0.9488096486237223,0.6493774622245886
11,0.955013334353198,0.03982143126096394,0.9038725154215216,4.0,0.6474721646531225,0.885182991191407,0.9751333269662333,0.7961249569887618,0.845361559930443,0.9722293011550824,0.76187351973104
