scope,corpus_dataset_id,pairing_status,linked_well_or_embryo_count,total_well_or_embryo_count,linked_gross_embryo_timepoints,collection_name,sequencing_modality,sequencing_dataset_id,pairing_granularity,evidence_source,curator_notes
Keyence,20260414_b9d2_30hpf_plate02,unknown,0,96,0.0,,,,,,
Keyence,20260415_b9d2_30to48hpf_plate01_t02,unknown,0,96,0.0,,,,,,
Keyence,20260415_b9d2_30to48hpf_plate02_t02,unknown,0,96,0.0,,,,,,
Keyence,20260415_cep290_18hpf_plate03,unknown,0,96,0.0,,,,,,
Keyence,20260415_cep290_30to48hpf_plate02_t01,unknown,0,96,0.0,,,,,,
Keyence,20260416_cep290_30to48hpf_plate01_t02,unknown,0,96,0.0,,,,,,
Keyence,20260416_cep290_30to48hpf_plate02_t02,unknown,0,62,0.0,,,,,,
Keyence,20260702_hotchem_24hpf_plate01,unknown,0,96,0.0,,,,,,
Keyence,20260702_hotchem_24hpf_plate02,unknown,0,96,0.0,,,,,,
Keyence,20260702_hotchem_30hpf_plate01,unknown,0,96,0.0,,,,,,
Keyence,20260702_hotchem_30hpf_plate02,unknown,0,96,0.0,,,,,,
Keyence,20260702_hotchem_36hpf_plate01,unknown,0,96,0.0,,,,,,
Keyence,20260702_hotchem_36hpf_plate02,unknown,0,96,0.0,,,,,,
