scope,gross_embryos,observed_unique_physical_embryos,gross_embryo_timepoints,gross_embryo_z_observations,observed_valid_snip_timepoints,qc_evaluated_timepoints,confirmed_usable_timepoints,projected_usable_timepoints,projected_usable_z_observations,dataset_count,z_expansion_factor,projected_retention_rate
Keyence,7193.0,1658.0,54967.0,1274756.0,23621.0,23293.0,11954.0,28209.140857768427,650852.7483793414,97.0,23.1912965961395,0.5132013909758296
SeaHub,8152.0,8064.0,8152.0,8152.0,0.0,0.0,0.0,8064.0,8064.0,20.0,1.0,0.9892051030421982
YX1,8380.0,7320.0,907794.0,9857900.0,763574.0,422276.0,153880.0,330805.7780219572,3580602.061154316,65.0,10.859181708625526,0.36440621773437276
All scopes,23725.0,17042.0,970913.0,11140808.0,787195.0,445569.0,165834.0,367078.9188797256,4239518.8095336575,182.0,11.47456878216689,0.37807601595583296
