,atf6 vs ctrl | 24C | 24hpf,ctcf vs ctrl | 24C | 24hpf,"wfs1a,wfs1b vs ctrl | 24C | 24hpf",atf6 vs ctrl | 24C | 30hpf,ctcf vs ctrl | 24C | 30hpf,"wfs1a,wfs1b vs ctrl | 24C | 30hpf",atf6 vs ctrl | 24C | 36hpf,ctcf vs ctrl | 24C | 36hpf,"wfs1a,wfs1b vs ctrl | 24C | 36hpf",atf6 vs ctrl | 28C | 24hpf,ctcf vs ctrl | 28C | 24hpf,"wfs1a,wfs1b vs ctrl | 28C | 24hpf",atf6 vs ctrl | 28C | 30hpf,ctcf vs ctrl | 28C | 30hpf,"wfs1a,wfs1b vs ctrl | 28C | 30hpf",atf6 vs ctrl | 28C | 36hpf,ctcf vs ctrl | 28C | 36hpf,"wfs1a,wfs1b vs ctrl | 28C | 36hpf",atf6 vs ctrl | 34C | 24hpf,ctcf vs ctrl | 34C | 24hpf,"wfs1a,wfs1b vs ctrl | 34C | 24hpf",atf6 vs ctrl | 34C | 30hpf,ctcf vs ctrl | 34C | 30hpf,"wfs1a,wfs1b vs ctrl | 34C | 30hpf",atf6 vs ctrl | 34C | 36hpf,ctcf vs ctrl | 34C | 36hpf,"wfs1a,wfs1b vs ctrl | 34C | 36hpf",atf6 vs ctrl | 35C | 24hpf,ctcf vs ctrl | 35C | 24hpf,"wfs1a,wfs1b vs ctrl | 35C | 24hpf",atf6 vs ctrl | 35C | 30hpf,ctcf vs ctrl | 35C | 30hpf,"wfs1a,wfs1b vs ctrl | 35C | 30hpf",atf6 vs ctrl | 35C | 36hpf,ctcf vs ctrl | 35C | 36hpf,"wfs1a,wfs1b vs ctrl | 35C | 36hpf"
atf6 vs ctrl | 34C | 30hpf,0.17049440767799104,0.35826508894787373,0.3675941812868702,0.14128832175783598,0.2616322161140648,0.023331522297782008,0.5544025833286588,0.7259038847147392,0.5234994076623419,0.19255955307723407,0.4900335229206014,0.3129158106567955,0.5525935973889576,0.33273599125073117,0.579391520393951,0.48706087108594537,0.4626043114133613,0.4283078879150611,0.38201690230645147,0.4974206640900118,0.3373420462134763,1.0,0.3493028675438058,0.16679910151754332,0.5787798500337747,0.015706951900321738,0.01276162126659315,0.3775546659787695,0.08247251707689991,0.3100203774251757,0.26998722174127615,0.47242420863326945,0.48496922174210805,0.04414855153384863,0.05376481280483548,0.3633854699483342
ctcf vs ctrl | 34C | 30hpf,0.4699143027853283,0.3504982654179102,0.10805440479489879,0.03761080088864006,0.2653550862293024,0.04943404461270786,0.06296842452033057,0.06629289845285018,0.07375198598281878,0.026785441846886606,0.17649211910648283,0.5142532407503047,0.20039650177045515,0.0644611464272189,0.5968752882513002,0.1960609249692133,0.6924864708771776,0.9150324112114593,0.36887086552404363,0.2917312203304883,0.5361609003866468,0.3493028675438058,1.0,0.6424452123400913,0.8306473565606037,0.7035521652771555,0.7459434070663354,0.5803114395484146,0.8597092232322562,0.4835689781373366,0.12498431719045931,0.2514888764564928,0.0806901494373963,0.6282158015851252,0.6080063296543429,0.11292424707051628
"wfs1a,wfs1b vs ctrl | 34C | 30hpf",0.30071859615879176,0.5368136967013232,0.39918821905343504,0.24716639162015214,0.4325081692163907,0.5204347404498563,0.12496624035912784,0.09718586506606908,0.2503583189469551,0.05245925245467198,0.374631569920666,0.14265104932333356,0.6705242661724712,0.4408467250006291,0.49660377548819207,0.27862776584110643,0.7418840733896882,0.8352465249558396,0.0501155916553232,0.04320307609140602,0.41720020908781197,0.16679910151754332,0.6424452123400913,1.0,0.4443472783281044,0.9451670521523841,0.9296089314631513,0.7371735905290602,0.6020867836887566,0.6624437682298413,0.3343145426498935,0.1688508207138763,0.04804233604658424,0.5856096818993278,0.13808203228065177,0.42163576322142077
atf6 vs ctrl | 34C | 36hpf,0.7890857579558755,0.6900968159359919,0.33182674234347925,0.1819281321992402,0.18010551215378756,0.10257323833118744,0.20400363097707247,0.032150944389459736,0.15499843613864664,0.025669473522322465,0.3942509645708864,0.21678956957102913,0.03570049920072892,0.10401511138864586,0.43354743222031655,0.003840207011276268,0.4496788310779657,0.7652095376222091,0.6486924941407445,0.04936493464666942,0.1133777471632292,0.5787798500337747,0.8306473565606037,0.4443472783281044,1.0,0.41674763996186087,0.5853773802923534,0.20152543856652555,0.7217645583059104,0.11523707595034857,0.30381229836604673,0.25252414672623136,0.20382470388255686,0.5777394591416459,0.746364295044194,0.27006943708753384
ctcf vs ctrl | 34C | 36hpf,0.30697476277116187,0.39783160789827815,0.3782381641843806,0.3214369136494616,0.6258254291007321,0.554714096847627,0.17941698793653,0.2606982106003663,0.11079029306170579,0.1754149424469335,0.5167966210645514,0.4497990719800966,0.7132881196238521,0.4245641457720411,0.3343033800901996,0.04601402534837115,0.615373377862603,0.7819604314126538,0.185667624154116,0.09226507189163922,0.46040909702404015,0.015706951900321738,0.7035521652771555,0.9451670521523841,0.41674763996186087,1.0,0.9508382709778332,0.7979140100527929,0.733080924859166,0.562423697036983,0.23840684642394053,0.1837175205237131,0.029662783650125858,0.49268295411312074,0.2519305595849274,0.2945779822161243
"wfs1a,wfs1b vs ctrl | 34C | 36hpf",0.5461926678611052,0.611341784209855,0.3703458802939078,0.3771055992669306,0.5672943156770712,0.4933162948994956,0.40229091495245806,0.3607486833934117,0.0866909419222111,0.07130808744552582,0.29619594481323547,0.3532399966367995,0.7609942907990458,0.5453032672251551,0.3329686107466362,0.012420251761649693,0.5871456389389107,0.8312180706552115,0.07824497422556953,0.22840030349772047,0.2446919408424016,0.01276162126659315,0.7459434070663354,0.9296089314631513,0.5853773802923534,0.9508382709778332,1.0,0.80008275090788,0.8361863773682265,0.43261750186967024,0.4893582193775364,0.40201870469890383,0.21890706597422088,0.6756052201940398,0.47052612949752987,0.08190120420383054
atf6 vs ctrl | 35C | 24hpf,0.13211285980275586,0.1469788740575289,0.20845400893102106,0.058451422073496476,0.2636587482698672,0.05910522448660674,0.41102734258549695,0.33240357635589934,0.027995460522643872,0.21671412551962782,0.6652436192043425,0.3469511114489038,0.7843075998189128,0.2909322114285865,0.3836008029697232,0.08934778913770115,0.5909330249853614,0.6584859154895486,0.0286097817184818,0.039274236629683115,0.32285896656945534,0.3775546659787695,0.5803114395484146,0.7371735905290602,0.20152543856652555,0.7979140100527929,0.80008275090788,1.0,0.7167269257524139,0.5587335094040863,0.47473202479145693,0.6136232943433041,0.3887088918163587,0.7350021947427643,0.3054606884424154,0.042675863956591405
ctcf vs ctrl | 35C | 24hpf,0.6702704924526316,0.44978270015604427,0.11822108384556253,0.26066694269867463,0.5047849965827071,0.17745117432923932,0.5268234425449589,0.44343134582807425,0.3832002025727463,0.1407527230491724,0.18389973903690182,0.6297359559039464,0.5518781142092474,0.31819385111871107,0.21628150888511455,0.400606733218152,0.3838860555354283,0.7396066085028612,0.310169582708155,0.17502574898489354,0.1585664940171986,0.08247251707689991,0.8597092232322562,0.6020867836887566,0.7217645583059104,0.733080924859166,0.8361863773682265,0.7167269257524139,1.0,0.1602352078002365,0.4460550927155724,0.5762623489950893,0.45128389870875146,0.6769186217457447,0.8229570043111702,0.4016665578135078
"wfs1a,wfs1b vs ctrl | 35C | 24hpf",0.3730186502850172,0.09008619688219577,0.1642848836172348,0.5086873357129135,0.1983036145481782,0.08295482775047942,0.4582417089236297,0.5528957545326156,0.8007999364798993,0.4729430809102326,0.5910652659774402,0.06211604750924508,0.1294647804267269,0.30411671907969323,0.8594770660941075,0.40307627713459454,0.9293216364027294,0.6836387014582913,0.046092777541517124,0.6606678238582883,0.8242308763034042,0.3100203774251757,0.4835689781373366,0.6624437682298413,0.11523707595034857,0.562423697036983,0.43261750186967024,0.5587335094040863,0.1602352078002365,1.0,0.14028560678077828,0.10440719240609457,0.35894945489177993,0.4167869406630064,0.33057582750687603,0.6043412555848601
atf6 vs ctrl | 35C | 30hpf,0.6248327932232797,0.676649991613549,0.03471887354827034,0.2675427339402992,0.02653218973802604,0.0306545530961786,0.8772528945401961,0.5666016343924412,0.5682551083984705,0.3588652331749427,0.2384192961609975,0.26220031115080095,0.678870995754854,0.6936597850013378,0.009592448325560481,0.2607996414872018,0.08271282425599076,0.27490648597440936,0.5321478315903475,0.6031237752264297,0.5929993046101008,0.26998722174127615,0.12498431719045931,0.3343145426498935,0.30381229836604673,0.23840684642394053,0.4893582193775364,0.47473202479145693,0.4460550927155724,0.14028560678077828,1.0,0.8672018311874536,0.8566518318478766,0.7521706373381596,0.5378942665855927,0.44986255944114983
