contrast,target,temperature,timepoint,shared_dim,loading
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","wfs1a,wfs1b",28.0,24.0,G00,0.4151491506024824
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","wfs1a,wfs1b",28.0,24.0,G01,-0.22352292085200293
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","wfs1a,wfs1b",28.0,24.0,G02,0.3891790864858991
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","wfs1a,wfs1b",28.0,24.0,G03,-0.6082688389541328
"wfs1a,wfs1b vs ctrl | 28C | 24hpf","wfs1a,wfs1b",28.0,24.0,G04,0.5061989182201194
atf6 vs ctrl | 28C | 30hpf,atf6,28.0,30.0,G00,0.31658385507564424
atf6 vs ctrl | 28C | 30hpf,atf6,28.0,30.0,G01,0.4955124729865918
atf6 vs ctrl | 28C | 30hpf,atf6,28.0,30.0,G02,-0.6625658489643564
atf6 vs ctrl | 28C | 30hpf,atf6,28.0,30.0,G03,0.2549450295739651
atf6 vs ctrl | 28C | 30hpf,atf6,28.0,30.0,G04,0.3876229862918703
ctcf vs ctrl | 28C | 30hpf,ctcf,28.0,30.0,G00,0.6972192593238083
ctcf vs ctrl | 28C | 30hpf,ctcf,28.0,30.0,G01,0.09208507778697331
ctcf vs ctrl | 28C | 30hpf,ctcf,28.0,30.0,G02,-0.6901993530851778
ctcf vs ctrl | 28C | 30hpf,ctcf,28.0,30.0,G03,0.0774136980924125
ctcf vs ctrl | 28C | 30hpf,ctcf,28.0,30.0,G04,0.15178147194366692
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","wfs1a,wfs1b",28.0,30.0,G00,0.36523867627025425
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","wfs1a,wfs1b",28.0,30.0,G01,-0.637022987082092
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","wfs1a,wfs1b",28.0,30.0,G02,-0.2846546251336527
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","wfs1a,wfs1b",28.0,30.0,G03,0.6119809319426268
"wfs1a,wfs1b vs ctrl | 28C | 30hpf","wfs1a,wfs1b",28.0,30.0,G04,-0.07248107762730001
atf6 vs ctrl | 28C | 36hpf,atf6,28.0,36.0,G00,-0.2592851301321879
atf6 vs ctrl | 28C | 36hpf,atf6,28.0,36.0,G01,-0.014037707863802797
