snip_id,regenerated_snip_id,comparable,legacy_shape,regenerated_shape,orientation_flipped,mean_abs_diff,rmse,max_abs_diff,p99_abs_diff,frac_pixels_above_floor,n_pixels_above_floor,legacy_mean,regenerated_mean,legacy_frac_saturated,regenerated_frac_saturated,legacy_foreground_px,regenerated_foreground_px
20250612_30hpf_ctrl_atf6_C02_e00_t0000,20250612_30hpf_ctrl_atf6_C02_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,14.005384657118055,23.120414980427743,232,108.0,0.9445258246527778,139276,21.952623155381943,30.545057508680557,0.00022379557291666666,0.0,147056,147454
20250612_30hpf_ctrl_atf6_C03_e00_t0000,20250612_30hpf_ctrl_atf6_C03_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,12.341837565104166,18.41502831077465,197,76.0,0.8484090169270834,125103,25.8896484375,33.33067491319444,0.0007052951388888889,0.0004679361979166667,147078,147449
20250612_30hpf_ctrl_atf6_C04_e00_t0000,20250612_30hpf_ctrl_atf6_C04_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,9.88216824001736,18.899747253199155,211,88.0,0.6909925672743056,101891,27.2025146484375,30.77315945095486,0.0004543728298611111,4.0690104166666664e-05,147068,147456
20250612_30hpf_ctrl_atf6_C05_e00_t0000,20250612_30hpf_ctrl_atf6_C05_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,7.350477430555555,12.088935482957591,182,53.0,0.6847059461805556,100964,28.0738525390625,31.82268608940972,0.0007527669270833334,0.00031195746527777775,147112,147451
20250612_30hpf_ctrl_atf6_C08_e00_t0000,20250612_30hpf_ctrl_atf6_C08_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,7.069430881076389,12.292792696480562,220,56.0,0.6829901801215278,100711,21.0224609375,24.99298773871528,0.00023735894097222222,0.0,147024,147456
20250612_30hpf_ctrl_atf6_C09_e00_t0000,20250612_30hpf_ctrl_atf6_C09_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,11.831468370225695,20.428713860376753,205,93.0,0.8099839952256944,119437,22.545389811197918,28.47641330295139,0.00025770399305555556,0.00018988715277777778,147019,147456
20250612_30hpf_ctrl_atf6_C10_e00_t0000,20250612_30hpf_ctrl_atf6_C10_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,10.441480848524305,13.92337258320382,142,51.0,0.8391384548611112,123736,27.367628309461807,34.712063259548614,0.0010172526041666667,0.0006374782986111111,147124,147449
20250612_30hpf_ctrl_atf6_C11_e00_t0000,20250612_30hpf_ctrl_atf6_C11_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,10.375800238715279,18.367610076841675,207,84.0,0.7559407552083334,111468,25.075419108072918,30.141499837239582,0.0003865559895833333,0.00012885199652777778,147115,147456
20250612_30hpf_ctrl_atf6_C12_e00_t0000,20250612_30hpf_ctrl_atf6_C12_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,5.163519965277778,9.555688586035997,178,43.0,0.4910481770833333,72408,19.86804877387153,22.06998019748264,0.00043402777777777775,5.425347222222222e-05,147041,147456
20250612_30hpf_ctrl_atf6_D01_e00_t0000,20250612_30hpf_ctrl_atf6_D01_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,9.00613064236111,13.961795571078111,209,59.0,0.7259521484375,107046,20.85309516059028,25.91225857204861,0.00030517578125,0.00010172526041666667,146984,147141
20250612_30hpf_ctrl_atf6_D02_e00_t0000,20250612_30hpf_ctrl_atf6_D02_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,13.355902777777779,24.953932979770027,238,123.0,0.8519151475694444,125620,20.87969970703125,25.69219970703125,0.0005221896701388889,0.0,147015,147456
20250612_30hpf_ctrl_atf6_D03_e00_t0000,20250612_30hpf_ctrl_atf6_D03_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,9.595194498697916,11.570793114971064,123,32.0,0.8414238823784722,124073,24.08281792534722,31.44046359592014,0.0002780490451388889,0.0001220703125,147042,147454
20250612_30hpf_ctrl_atf6_D04_e00_t0000,20250612_30hpf_ctrl_atf6_D04_e01_BF_t0000,True,"(576, 256)","(576, 256)",False,11.936848958333334,16.927856152229978,202,67.0,0.8687540690104166,128103,27.31674533420139,35.036526150173614,0.00037977430555555556,0.00013563368055555556,147147,147456
