experiment_order,experiment_id,path,stage_schema,row_count,unique_snip_count,unique_embryo_count,finite_stage_count,missing_stage_count,stage_min,stage_max,model_versions,unexpected_status_count,max_snips_per_embryo,trajectory_kind,ordered_finite_step_count,negative_stage_step_count,zero_stage_step_count,median_stage_step_hpf,p95_stage_step_hpf,max_stage_step_hpf
21,20260324_cep290_30hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260324_cep290_30hpf_plate01/stage_predictions/20260324_cep290_30hpf_plate01_stage_predictions.csv,with_status,98,98,98,98,0,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
22,20260324_cep290_30hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260324_cep290_30hpf_plate02/stage_predictions/20260324_cep290_30hpf_plate02_stage_predictions.csv,with_status,72,72,72,72,0,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
24,20260331_b9d2_18hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260331_b9d2_18hpf_plate02/stage_predictions/20260331_b9d2_18hpf_plate02_stage_predictions.csv,with_status,70,70,70,70,0,18.0,18.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
25,20260414_b9d2_14hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260414_b9d2_14hpf_plate01/stage_predictions/20260414_b9d2_14hpf_plate01_stage_predictions.csv,with_status,107,107,107,107,0,14.0,14.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
27,20260414_b9d2_30hpf_plate01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260414_b9d2_30hpf_plate01/stage_predictions/20260414_b9d2_30hpf_plate01_stage_predictions.csv,with_status,106,106,106,106,0,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
28,20260414_b9d2_30hpf_plate02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260414_b9d2_30hpf_plate02/stage_predictions/20260414_b9d2_30hpf_plate02_stage_predictions.csv,with_status,72,72,72,63,9,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
29,20260415_b9d2_30to48hpf_plate01_t02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260415_b9d2_30to48hpf_plate01_t02/stage_predictions/20260415_b9d2_30to48hpf_plate01_t02_stage_predictions.csv,with_status,109,109,109,109,0,48.0,48.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
30,20260415_b9d2_30to48hpf_plate02_t02,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260415_b9d2_30to48hpf_plate02_t02/stage_predictions/20260415_b9d2_30to48hpf_plate02_t02_stage_predictions.csv,with_status,58,58,58,51,7,48.0,48.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
31,20260415_cep290_18hpf_plate03,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260415_cep290_18hpf_plate03/stage_predictions/20260415_cep290_18hpf_plate03_stage_predictions.csv,with_status,81,81,81,56,25,18.0,18.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
32,20260415_cep290_30to48hpf_plate02_t01,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260415_cep290_30to48hpf_plate02_t01/stage_predictions/20260415_cep290_30to48hpf_plate02_t01_stage_predictions.csv,with_status,93,93,93,60,33,30.0,30.0,kimmel1995_temp_rate_v1,0,1,snapshot,0,0,0,,,
34,20230531,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230531/stage_predictions/20230531_stage_predictions.csv,with_status,7846,7846,124,7846,0,15.0,45.57120590277778,kimmel1995_temp_rate_v1,0,66,time_series,7722,0,0,0.4702653645833301,0.49801158203124696,3.2922444227430567
35,20230602,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230602/stage_predictions/20230602_stage_predictions.csv,with_status,8998,8998,95,8998,0,15.5,60.686110177951385,kimmel1995_temp_rate_v1,0,98,time_series,8903,0,0,0.465834722222219,0.4659663172743052,19.099010720486113
36,20230613,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230613/stage_predictions/20230613_stage_predictions.csv,with_status,5421,5421,83,5421,0,11.66,40.20612873263889,kimmel1995_temp_rate_v1,0,66,time_series,5338,0,0,0.4391664062500027,0.44003914062500016,1.3173842013888901
37,20230615,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20230615/stage_predictions/20230615_stage_predictions.csv,with_status,4216,4216,85,4216,0,10.0,32.67786345486111,kimmel1995_temp_rate_v1,0,50,time_series,4131,0,0,0.46280822482638584,0.4630015190972223,1.8513096788194474
