universe,axis,column,n,min,p05,median,p95,max
training_metadata,current_core_default,inferred_stage_hpf,129413,-7.706326081816995e+19,14.819882931819624,31.021265295339564,54.67200255890204,4.226588266899684e+18
training_metadata,nominal_clock,predicted_stage_hpf,130299,9.0,15.022365631262206,30.8380073798584,56.78514400587374,79.8017703635742
training_metadata,manual_anatomical,manual_stage_hpf,0,,,,,
legacy_age_key,legacy_mlp_age_key,inferred_stage_hpf_reg,83476,9.30941624410233,15.28531868678715,30.02820192058615,49.126505803722026,68.3195029294524
legacy_age_key,nominal_clock_age_key,calc_stage_hpf,83476,9.0,14.372315278048625,28.529819354174847,50.30313407852297,71.4850714220947
exact_age_key_metadata_join,current_core_default,inferred_stage_hpf,82808,-4.482023375099799e+19,14.267562188232576,28.772172820980565,49.711186382609874,75.93683761013497
exact_age_key_metadata_join,nominal_clock,predicted_stage_hpf,83476,9.0,14.372315278048621,28.52981935417481,50.303134078523,71.48507142209473
exact_age_key_metadata_join,legacy_mlp,inferred_stage_hpf_reg,83476,9.30941624410233,15.28531868678715,30.02820192058615,49.126505803722026,68.3195029294524
