experiment_id,source,authority,path,exists,row_count,size_bytes,mtime_ns,sha256
20260804_seahub_CHEM16_shard003,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM16_shard003/plate_metadata.csv,True,,66432.0,1.786036116391467e+18,a7b9662d1c9bc70c9307618a7977c054e7fd3be06e4bc04961bbe8c613ec86f6
20260804_seahub_CHEM16_shard003,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM16_shard003/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_CHEM16_shard004,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM16_shard004/stage_predictions/20260804_seahub_CHEM16_shard004_stage_predictions.csv,True,,27892.0,1.7860562229534776e+18,ba06e68de28ef6b7f120ced90bdf254122c74daee2e99cfb3c516eef9be4af7a
20260804_seahub_CHEM16_shard004,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM16_shard004/dropin_frame_inventory.csv,True,,54695.0,1.786036116499779e+18,5187c2a167f0468a50d76e47c4c53cd8654dc06dac7a364579ff3353f0689599
20260804_seahub_CHEM16_shard004,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM16_shard004/plate_metadata.csv,True,,65848.0,1.786036116557835e+18,f00d8e88560e2887ca9e3a00f77128ba961fc4c4a45f293a8445074d6ca248ba
20260804_seahub_CHEM16_shard004,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM16_shard004/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_CHEM16_shard005,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM16_shard005/stage_predictions/20260804_seahub_CHEM16_shard005_stage_predictions.csv,True,,27892.0,1.7860568420025288e+18,dd936df5bdf61ad159c0871522dca03b0e8fc4e9158967f7132c4f0df4483627
20260804_seahub_CHEM16_shard005,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM16_shard005/dropin_frame_inventory.csv,True,,54703.0,1.786036116664853e+18,c6b317f6e116a0c7f65167289d6b528e99323b0e961338700e969bb41be9cd26
20260804_seahub_CHEM16_shard005,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM16_shard005/plate_metadata.csv,True,,64800.0,1.786036116723672e+18,b759b53f31bb4d18534c0cdc11a7c87da0b1025c7a6c9aa121cb811a0829a311
20260804_seahub_CHEM16_shard005,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM16_shard005/ingest_metadata/collection_provenance.json,False,,,,
20260804_seahub_CHEM16_shard006,stage_predictions,tracked_paths.py merged template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/feature_extraction/20260804_seahub_CHEM16_shard006/stage_predictions/20260804_seahub_CHEM16_shard006_stage_predictions.csv,True,,27892.0,1.7860606250901074e+18,50a0089009deb641b2edd7e209a5f178665f0aa77767cd9eb4526115a3e8426b
20260804_seahub_CHEM16_shard006,declared_frame_inventory,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM16_shard006/dropin_frame_inventory.csv,True,,54687.0,1.786036116830688e+18,7b16aba7a0901beaf8e4b48c7c1405a1e967c34a876a03005d5b9f5aa14c7222
20260804_seahub_CHEM16_shard006,declared_plate_metadata,experiment_manifest.csv,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/seahub/derived/20260804_prod01/bundle/experiments/20260804_seahub_CHEM16_shard006/plate_metadata.csv,True,,64904.0,1.786036116888412e+18,e526740530f43d4fce1c38db97dde2605baaeb70947e8b30d6770b87ffaeb7c8
20260804_seahub_CHEM16_shard006,collection_provenance,tracked_paths.py experiment template,/net/trapnell/vol1/home/nlammers/projects/data/morphseq/pipeline/output/acquisition/20260804_seahub_CHEM16_shard006/ingest_metadata/collection_provenance.json,False,,,,
