path,matched_terms,line_numbers,role_class
results/mcolon/20251204_initial_b9d2_pair_analysis/build_length_reference/build_length_reference_spline.py,predicted_stage_hpf,132|133|147|180|181|318|320|348,launch_or_analysis_script
results/mcolon/20251204_initial_b9d2_pair_analysis/rank_embryos_by_surface_area.py,predicted_stage_hpf,20,launch_or_analysis_script
results/mcolon/20251204_initial_b9d2_pair_analysis/test_log2_length.py,predicted_stage_hpf,22,launch_or_analysis_script
results/mcolon/20251204_initial_b9d2_pair_analysis/test_smoothing_options.py,predicted_stage_hpf,25,launch_or_analysis_script
results/mcolon/20251205_b9d2_analysis_updated_plots/analyze_b9d2_pairs_unified.py,predicted_stage_hpf,78,launch_or_analysis_script
results/mcolon/20251208_tmem67_clustering_analysis_n_series_mapping/config.py,predicted_stage_hpf,34,launch_or_analysis_script
results/mcolon/20251208_tmem67_clustering_analysis_n_series_mapping/run_tmem67_clustering.py,predicted_stage_hpf,132|133,launch_or_analysis_script
results/mcolon/20251209/analyze_b9d2_pairs_qc_staged.py,predicted_stage_hpf,83,launch_or_analysis_script
results/mcolon/20251209/analyze_curvature_colored_by_length.py,predicted_stage_hpf,53,launch_or_analysis_script
results/mcolon/20251209_earliest_predictive_timepoint/horizon_prediction.py,predicted_stage_hpf,41|106|112|696,launch_or_analysis_script
results/mcolon/20251209_earliest_predictive_timepoint/trajectory_trend_classifier.py,predicted_stage_hpf,61,launch_or_analysis_script
results/mcolon/20251210_b9d2_earliest_prediction_analysis/b9d2_prediction_vs_divergence_plot.py,predicted_stage_hpf,54,launch_or_analysis_script
results/mcolon/20251210_b9d2_earliest_prediction_analysis/b9d2_trajectory_classifier.py,predicted_stage_hpf,59,launch_or_analysis_script
results/mcolon/20251210_b9d2_earliest_prediction_analysis/b9d2_trajectory_clustering.py,predicted_stage_hpf,54,launch_or_analysis_script
results/mcolon/20251210_revaluate_cep290_experiments/config.py,predicted_stage_hpf,24,launch_or_analysis_script
results/mcolon/20251210_variation_decomposition_analysis_cep290/cep290_variance_decomposition.py,predicted_stage_hpf,54,launch_or_analysis_script
results/mcolon/20251210_variation_decomposition_analysis_cep290/cep290_variance_decomposition_v2.py,predicted_stage_hpf,119,launch_or_analysis_script
results/mcolon/20251215_test_updated_pair_plotting/test_deprecation_warnings.py,predicted_stage_hpf,31,launch_or_analysis_script
results/mcolon/20251215_test_updated_pair_plotting/test_refactored_plotting.py,predicted_stage_hpf,55,launch_or_analysis_script
results/mcolon/20251215_test_updated_pair_plotting/test_row_labels.py,predicted_stage_hpf,34,launch_or_analysis_script
results/mcolon/20251216_b9d2_analysis_refactored/analyze_b9d2_refactored.py,predicted_stage_hpf,54,launch_or_analysis_script
results/mcolon/20251218_MD-DTW-morphseq_analysis/md_dtw_prototype.py,predicted_stage_hpf,64|80|1056|1135,launch_or_analysis_script
results/mcolon/20251218_MD-DTW-morphseq_analysis/run_analysis.py,predicted_stage_hpf,227|244|580,launch_or_analysis_script
results/mcolon/20251218_MD-DTW-morphseq_analysis/test_interpolate_multi_df.py,predicted_stage_hpf,14|16|25|30|38|40|45,launch_or_analysis_script
results/mcolon/20251218_MD-DTW-morphseq_analysis/test_md_dtw_functions.py,predicted_stage_hpf,43|54,launch_or_analysis_script
results/mcolon/20251218_MD-DTW-morphseq_analysis/test_multimetric_plotting.py,predicted_stage_hpf,58|71,launch_or_analysis_script
