axis,window_hpf,finite_anchor_count,self_inclusive_zero_count,self_exclusive_zero_count,other_relation_zero_count,self_inclusive_median_candidates,self_inclusive_p05_candidates,self_inclusive_p95_candidates,other_relation_median_candidates,other_relation_p05_candidates,other_relation_p95_candidates,scope_note
current_core_default,1.5,82808,0,0,138,508.0,67.0,2709.0,502.0,60.350000000000364,2703.0,pooled pre-split upper bound; relation content preserved from metric_key
current_core_default,3.0,82808,0,0,137,1022.0,132.0,5388.0,1010.0,119.0,5377.0,pooled pre-split upper bound; relation content preserved from metric_key
nominal_clock,1.5,83476,0,0,87,549.0,67.0,3002.0,543.0,61.0,2995.0,pooled pre-split upper bound; relation content preserved from metric_key
nominal_clock,3.0,83476,0,0,86,1096.0,131.0,5748.0,1085.0,119.0,5736.0,pooled pre-split upper bound; relation content preserved from metric_key
legacy_mlp,1.5,83476,0,0,86,542.0,69.0,2497.0,533.0,62.0,2489.0,pooled pre-split upper bound; relation content preserved from metric_key
legacy_mlp,3.0,83476,0,0,86,1121.0,135.0,4850.0,1106.0,122.0,4839.0,pooled pre-split upper bound; relation content preserved from metric_key
