alternative_axis,window_hpf,stratum,stratum_value,sampled_anchor_count,median_jaccard,p05_jaccard,p95_jaccard,median_baseline_candidate_count,median_alternative_candidate_count
legacy_mlp,1.5,trajectory_kind,time_series,128,0.5001683501683502,0.07953820771357893,0.9439632677639501,688.5,627.0
legacy_mlp,3.0,trajectory_kind,time_series,128,0.6587810112051093,0.21636974707902698,0.9334591859850485,1447.0,1303.0
nominal_clock,1.5,trajectory_kind,time_series,128,0.5299924761528638,0.10149284351082716,0.9757712652998184,688.5,689.0
nominal_clock,3.0,trajectory_kind,time_series,128,0.6862412819636715,0.17535522740335402,0.9744683721934368,1447.0,1277.0
legacy_mlp,1.5,temperature_c,22,44,0.43946330928988225,0.07724143865083463,0.8452631578947368,1438.5,1304.5
legacy_mlp,1.5,temperature_c,29,25,0.5809471365638766,0.2606990785983527,0.9426282051282049,1032.0,1118.0
legacy_mlp,1.5,temperature_c,30,59,0.5363111516256457,0.08814166314007618,0.9564174564174562,336.0,329.0
legacy_mlp,3.0,temperature_c,22,44,0.6263111972732842,0.2083765305190333,0.8889275902668761,2883.5,2638.5
legacy_mlp,3.0,temperature_c,29,25,0.73464447806354,0.4760894300533448,0.905945945945946,2037.0,2170.0
legacy_mlp,3.0,temperature_c,30,59,0.6535947712418301,0.24647676184529815,0.9678051259832021,625.0,676.0
nominal_clock,1.5,temperature_c,22,44,0.38969124256647736,0.14748633346349083,0.8732653272576637,1438.5,1211.5
nominal_clock,1.5,temperature_c,29,25,0.653250773993808,0.4082120776850371,0.8870213610902099,1032.0,989.0
nominal_clock,1.5,temperature_c,30,59,0.6526806526806527,0.04337473756091076,1.0,336.0,320.0
nominal_clock,3.0,temperature_c,22,44,0.546479857940187,0.21173220799275805,0.9262172953320782,2883.5,2698.5
nominal_clock,3.0,temperature_c,29,25,0.7733439744612929,0.650407450310826,0.9178956696511131,2037.0,2121.0
nominal_clock,3.0,temperature_c,30,59,0.7389558232931727,0.14540614234044877,0.9933333333333333,625.0,598.0
legacy_mlp,1.5,experiment_id,1,5,0.08045325779036827,0.07697232470517788,0.4133481382360338,1086.0,1808.0
legacy_mlp,1.5,experiment_id,10,1,0.9468085106382979,0.9468085106382979,0.9468085106382979,89.0,94.0
legacy_mlp,1.5,experiment_id,15,2,0.16195210574502175,0.09759226939803159,0.2263119420920119,2170.0,1849.0
legacy_mlp,1.5,experiment_id,17,4,0.102271408679508,0.06161774027137378,0.4581882785052698,534.5,648.5
legacy_mlp,1.5,experiment_id,2,6,0.4583460738187951,0.34875360527400084,0.4838595819338278,1971.0,2417.0
legacy_mlp,1.5,experiment_id,20,4,0.5169300521529471,0.21926471940417447,0.7719243517254826,219.0,130.5
legacy_mlp,1.5,experiment_id,21,7,0.3818537859007833,0.3398132865690118,0.6304070952126782,400.0,711.0
legacy_mlp,1.5,experiment_id,22,1,0.29577464788732394,0.29577464788732394,0.29577464788732394,150.0,494.0
legacy_mlp,1.5,experiment_id,23,3,0.549407114624506,0.46540096250847574,0.6997168308654356,185.0,163.0
legacy_mlp,1.5,experiment_id,24,3,0.5363111516256457,0.46783566061711,0.8294931841280817,136.0,134.0
