version,cutoff_date,censusable_dataset_count,gross_count,lower_estimate,midpoint_estimate,upper_estimate,unique_perturbation_count,midpoint_5z_estimate
v1,2023-09-01,10,48904.0,26731.3300650186,31132.70706859984,35534.08407218108,2,155663.5353429992
v2,2024-02-07,13,68279.0,33791.700533622075,40424.701522464136,47057.702511306205,4,202123.50761232068
v3,2024-11-07,37,161635.0,67928.1811038644,85297.8157956401,102667.4504874158,16,426489.0789782005
v4,2025-07-31,84,318893.0,125780.58020183275,161187.74381892578,196594.9074360188,25,805938.7190946289
v5,all,168,971322.0,369138.75670837273,478726.86701130035,588314.977314228,51,2361202.335056502
